ID	Gene.symbol	Gene.title	log2(fold change)(Stg1-Tumor vs Stg1-Normal)	-log10(Pvalue)(Stg1-Tumor vs Stg1-Normal)
218660_at	DYSF	dysferlin	1.229	3.24
218661_at	NAA60	N(alpha)-acetyltransferase 60, NatF catalytic subunit	-0.662	3.137
218671_s_at	ATPIF1	ATPase inhibitory factor 1	-0.807	4.165
218672_at	TNFAIP8L2-SCNM1///SCNM1	TNFAIP8L2-SCNM1 readthrough///sodium channel modifier 1	0.933	2.889
218677_at	S100A14	S100 calcium binding protein A14	-1.133	3.182
218678_at	NES	nestin	-1.041	2.661
218680_x_at	SERF2-C15ORF63///MIR1282///HYPK///SERF2	SERF2-C15orf63 readthrough///microRNA 1282///huntingtin interacting protein K///small EDRK-rich factor 2	-0.461	2.396
218687_s_at	MUC13	mucin 13, cell surface associated	-2.196	2.126
218688_at	TKFC	triokinase and FMN cyclase	-1.777	4.712
218699_at	RAB29	RAB29, member RAS oncogene family	-1.851	8.033
218700_s_at	RAB29	RAB29, member RAS oncogene family	-2.308	6.086
218706_s_at	GRAMD3	GRAM domain containing 3	0.743	2.278
218707_at	ZNF444	zinc finger protein 444	-1.64	2.081
218714_at	PRR14	proline rich 14	0.77	2.504
218719_s_at	GINS3	GINS complex subunit 3	1.879	2.473
218720_x_at	SEZ6L2	seizure related 6 homolog like 2	2.922	3.664
218722_s_at	CCDC51	coiled-coil domain containing 51	-0.929	3.182
218723_s_at	RGCC	regulator of cell cycle	2.341	3.581
218729_at	LXN	latexin	1.518	6.769
218731_s_at	VWA1	von Willebrand factor A domain containing 1	2.09	3.703
218733_at	MSL2	male-specific lethal 2 homolog (Drosophila)	1.254	2.597
218738_s_at	RNF138	ring finger protein 138	0.664	2.674
218747_s_at	TAPBPL	TAP binding protein like	0.803	2.152
218748_s_at	EXOC5	exocyst complex component 5	2.291	2.979
218755_at	KIF20A	kinesin family member 20A	2.488	2.02
218756_s_at	DHRS11	dehydrogenase/reductase 11	-2.008	5.978
218761_at	RNF111	ring finger protein 111	0.767	3.489
218763_at	STX18	syntaxin 18	-0.61	2.244
218764_at	PRKCH	protein kinase C eta	1.55	5.218
218767_at	REXO4	REX4 homolog, 3'-5' exonuclease	1.762	2.568
218768_at	NUP107	nucleoporin 107	0.574	2
218769_s_at	ANKRA2	ankyrin repeat family A member 2	0.952	2.892
218772_x_at	TMEM38B	transmembrane protein 38B	1.03	2.338
218781_at	SMC6	structural maintenance of chromosomes 6	0.731	3.417
218786_at	NT5DC3	5'-nucleotidase domain containing 3	1.758	2.834
218787_x_at	CWF19L1	CWF19-like 1, cell cycle control (S. pombe)	0.945	2.111
218792_s_at	BSPRY	B-box and SPRY domain containing	-1.703	3.452
218796_at	FERMT1	fermitin family member 1	-3.147	3.64
218802_at	MCUB	mitochondrial calcium uniporter dominant negative beta subunit	3.274	3.946
218805_at	GIMAP1-GIMAP5///GIMAP5	GIMAP1-GIMAP5 readthrough///GTPase, IMAP family member 5	1.142	3.763
218807_at	VAV3	vav guanine nucleotide exchange factor 3	-1.034	5.172
218808_at	DALRD3	DALR anticodon binding domain containing 3	-1.029	2.679
218818_at	FHL3	four and a half LIM domains 3	1.603	2.194
218820_at	C14orf132	chromosome 14 open reading frame 132	-1.092	2.948
218823_s_at	KCTD9	potassium channel tetramerization domain containing 9	1.001	2.6
218827_s_at	CEP192	centrosomal protein 192	0.95	2.62
218828_at	TMEM256-PLSCR3///PLSCR3	TMEM256-PLSCR3 readthrough (NMD candidate)///phospholipid scramblase 3	1.84	2.899
218837_s_at	UBE2D4	ubiquitin conjugating enzyme E2 D4 (putative)	-0.855	3.31
218838_s_at	TTC31	tetratricopeptide repeat domain 31	0.854	3.766
218839_at	HEY1	hes related family bHLH transcription factor with YRPW motif 1	3.325	2.232
218840_s_at	NADSYN1	NAD synthetase 1	2.165	2.612
218841_at	ASB8	ankyrin repeat and SOCS box containing 8	-0.843	2.838
218844_at	ACSF2	acyl-CoA synthetase family member 2	-3.948	9.408
218847_at	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	-2.943	4.254
218848_at	THOC6	THO complex 6	1.924	3.989
218849_s_at	PPP1R13L	protein phosphatase 1 regulatory subunit 13 like	0.918	3.177
218851_s_at	SFT2D3///WDR33	SFT2 domain containing 3///WD repeat domain 33	1.515	2.454
218854_at	DSE	dermatan sulfate epimerase	0.916	3.139
218858_at	DEPTOR	DEP domain containing MTOR-interacting protein	-1.256	3.164
218862_at	ASB13	ankyrin repeat and SOCS box containing 13	-0.696	2.413
218870_at	LOC101928361///ARHGAP15	uncharacterized LOC101928361///Rho GTPase activating protein 15	2.194	4.863
218871_x_at	CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2	0.854	2.575
218872_at	TESC	tescalcin	1.484	2.133
218883_s_at	CENPU	centromere protein U	1.329	2.8
218887_at	MRPL2	mitochondrial ribosomal protein L2	-0.67	2.722
218888_s_at	NETO2	neuropilin and tolloid like 2	4.584	6.474
218889_at	NOC3L	NOC3 like DNA replication regulator	0.725	2.517
218891_at	C10orf76	chromosome 10 open reading frame 76	1.902	2.937
218897_at	TMEM177	transmembrane protein 177	-0.928	2.923
218898_at	FAM57A	family with sequence similarity 57 member A	0.804	2.433
218902_at	NOTCH1	notch 1	0.892	2.399
218908_at	ASPSCR1	ASPSCR1, UBX domain containing tether for SLC2A4	-0.994	2.542
218910_at	ANO10	anoctamin 10	-1.739	6.178
218918_at	MAN1C1	mannosidase alpha class 1C member 1	-2.974	6.172
218921_at	SIGIRR	single Ig and TIR domain containing	-1.531	5.319
218927_s_at	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12	2.168	4.596
218931_at	RAB17	RAB17, member RAS oncogene family	-1.371	3.979
218934_s_at	HSPB7	heat shock protein family B (small) member 7	-2.154	2.936
218942_at	PIP4K2C	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma	-1.245	6.208
218952_at	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor	-2.873	9.064
218954_s_at	BRF2	BRF2, RNA polymerase III transcription initiation factor 50 kDa subunit	2.392	5.058
218972_at	TTC17	tetratricopeptide repeat domain 17	0.494	2.03
218974_at	SOBP	sine oculis binding protein homolog	-1.498	5.183
218976_at	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12	-3.398	5.166
218980_at	FHOD3	formin homology 2 domain containing 3	-1.578	4.78
218983_at	C1RL	complement C1r subcomponent like	0.905	1.98
218984_at	PUS7	pseudouridylate synthase 7 (putative)	0.953	2.538
218986_s_at	DDX60	DEXD/H-box helicase 60	1.458	4.548
218993_at	MRM3	mitochondrial rRNA methyltransferase 3	-0.478	2.058
218994_s_at	STAG3L4	stromal antigen 3-like 4 (pseudogene)	-1.088	1.991
218995_s_at	EDN1	endothelin 1	2.314	5.949
218999_at	TMEM140	transmembrane protein 140	1.625	5.44
