ID	Gene.symbol	Gene.title	log2(fold change)(Stg1-Tumor vs Stg1-Normal)	-log10(Pvalue)(Stg1-Tumor vs Stg1-Normal)
210461_s_at	ABLIM1	actin binding LIM protein 1	-0.866	3.307
210466_s_at	SERBP1	SERPINE1 mRNA binding protein 1	0.849	2.296
210476_s_at	PRLR	prolactin receptor	-1.884	2.136
210479_s_at	RORA	RAR related orphan receptor A	-0.784	3.108
210482_x_at	MAP2K5	mitogen-activated protein kinase kinase 5	1.617	2.203
210495_x_at	FN1	fibronectin 1	2.409	6.717
210499_s_at	PQBP1	polyglutamine binding protein 1	-0.834	2.197
210501_x_at	EIF3K	eukaryotic translation initiation factor 3 subunit K	-0.445	2.608
210502_s_at	PPIE	peptidylprolyl isomerase E	0.521	2.183
210510_s_at	NRP1	neuropilin 1	3.421	7.365
210512_s_at	VEGFA	vascular endothelial growth factor A	1.918	9.464
210513_s_at	VEGFA	vascular endothelial growth factor A	2.524	7.027
210514_x_at	HLA-G	major histocompatibility complex, class I, G	1.879	4.618
210515_at	HNF1A	HNF1 homeobox A	-0.989	4.112
210524_x_at			-3.534	6.978
210538_s_at	BIRC3	baculoviral IAP repeat containing 3	2.404	2.392
210544_s_at	ALDH3A2	aldehyde dehydrogenase 3 family member A2	-1.259	4.292
210554_s_at	CTBP2	C-terminal binding protein 2	0.641	2.772
210565_at	GCGR	glucagon receptor	-3.857	6.291
210568_s_at	RECQL	RecQ like helicase	1.256	4.227
210571_s_at	CMAHP	cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene	1.442	2.059
210577_at	CASR	calcium sensing receptor	-2.435	5.131
210581_x_at	PATZ1	POZ/BTB and AT hook containing zinc finger 1	1.3	2.055
210588_x_at	HNRNPH3	heterogeneous nuclear ribonucleoprotein H3	1.272	4.323
210592_s_at	SAT1	spermidine/spermine N1-acetyltransferase 1	-0.753	3.954
210597_x_at	PRB1	proline rich protein BstNI subfamily 1	-1.669	2.663
210601_at	CDH6	cadherin 6	1.45	4.132
210602_s_at	CDH6	cadherin 6	3.58	3.12
210606_x_at	KLRD1	killer cell lectin like receptor D1	2.813	4.905
210619_s_at	HYAL1	hyaluronoglucosaminidase 1	-1.823	5.996
210621_s_at	RASA1	RAS p21 protein activator 1	0.811	3.377
210624_s_at	ILVBL	ilvB acetolactate synthase like	-1.064	5.474
210629_x_at	LST1	leukocyte specific transcript 1	1.225	3.926
210633_x_at	KRT10	keratin 10	-0.557	2.175
210638_s_at	FBXO9	F-box protein 9	-0.66	2.524
210643_at	TNFSF11	tumor necrosis factor superfamily member 11	2.497	3.152
210644_s_at	LAIR1	leukocyte associated immunoglobulin like receptor 1	1.2	4.368
210650_s_at	PCLO	piccolo presynaptic cytomatrix protein	-1.277	3.671
210651_s_at	EPHB2	EPH receptor B2	-0.759	2.327
210653_s_at	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	-1.586	7.218
210671_x_at	MAPK8	mitogen-activated protein kinase 8	-1.24	2.791
210689_at	CLDN14	claudin 14	-1.769	3.424
210694_s_at	MID1	midline 1	0.614	2.321
210717_at			1.749	2.233
210720_s_at	NECAB3	N-terminal EF-hand calcium binding protein 3	-0.764	2.677
210727_at	CALCA	calcitonin related polypeptide alpha	-2.031	2.399
210731_s_at	LGALS8	galectin 8	-0.768	2.728
210739_x_at	SLC4A4	solute carrier family 4 member 4	-2.191	6.544
210740_s_at	ITPK1	inositol-tetrakisphosphate 1-kinase	-0.631	3.514
210751_s_at	RGN	regucalcin	-1.402	4.715
210754_s_at	LYN	LYN proto-oncogene, Src family tyrosine kinase	1.729	3.998
210756_s_at	NOTCH2	notch 2	2.388	2.922
210759_s_at	PSMA1	proteasome subunit alpha 1	0.545	2.79
210769_at	CNGB1	cyclic nucleotide gated channel beta 1	-1.52	1.983
210778_s_at	MIR4800///MXD4	microRNA 4800///MAX dimerization protein 4	-0.966	3.608
210784_x_at	LILRB3	leukocyte immunoglobulin like receptor B3	1.486	3.151
210785_s_at	THEMIS2	thymocyte selection associated family member 2	1.184	5.113
210786_s_at	FLI1	Fli-1 proto-oncogene, ETS transcription factor	1.889	2.918
210790_s_at	SAR1A	secretion associated Ras related GTPase 1A	1.717	2.27
210802_s_at	DIMT1	DIM1 dimethyladenosine transferase 1 homolog	3.224	6.034
210807_s_at	SLC16A7	solute carrier family 16 member 7	-1.594	5.231
210809_s_at	POSTN	periostin	1.863	2.3
210815_s_at	CALCRL	calcitonin receptor like receptor	2.823	3.046
210825_s_at	PEBP1	phosphatidylethanolamine binding protein 1	-1.299	6.738
210829_s_at	SSBP2	single stranded DNA binding protein 2	1.121	2.312
210831_s_at	PTGER3	prostaglandin E receptor 3	-2.523	3.004
210832_x_at	PTGER3	prostaglandin E receptor 3	-2.299	3.109
210834_s_at	PTGER3	prostaglandin E receptor 3	-1.749	2.79
210840_s_at	IQGAP1	IQ motif containing GTPase activating protein 1	0.963	4.477
210841_s_at	NRP2	neuropilin 2	1.047	2.197
210847_x_at	TNFRSF25	TNF receptor superfamily member 25	1.315	2.041
210854_x_at	SLC6A8	solute carrier family 6 member 8	1.443	3.407
210858_x_at	ATM	ATM serine/threonine kinase	0.745	2.951
210861_s_at	WISP3	WNT1 inducible signaling pathway protein 3	-1.912	2.221
210869_s_at	MIR6756///MCAM	microRNA 6756///melanoma cell adhesion molecule	2.236	4.494
210875_s_at	ZEB1	zinc finger E-box binding homeobox 1	2.112	2.568
210886_x_at	TP53TG1	TP53 target 1 (non-protein coding)	-0.633	2.304
210892_s_at	GTF2I	general transcription factor IIi	1.687	2.154
210895_s_at	CD86	CD86 molecule	2.181	4.247
210905_x_at	POU5F1P4	POU class 5 homeobox 1 pseudogene 4	2.401	3.339
210909_x_at	LPAL2	lipoprotein(a) like 2, pseudogene	-2.225	4.34
210915_x_at	TRBC1	T cell receptor beta constant 1	1.747	2.26
210925_at	CIITA	class II major histocompatibility complex transactivator	1.303	2.052
210944_s_at	CAPN3	calpain 3	-1.971	4.716
210946_at	PLPP1	phospholipid phosphatase 1	1.26	2.738
210950_s_at	FDFT1	farnesyl-diphosphate farnesyltransferase 1	-0.71	2.499
210951_x_at	RAB27A	RAB27A, member RAS oncogene family	1.026	2.336
210953_at	TSC22D2	TSC22 domain family member 2	-1.792	2.295
210971_s_at	ARNTL	aryl hydrocarbon receptor nuclear translocator like	2.94	3.215
210972_x_at	TRAC///TRAJ17///TRAV20///TRDV2	T-cell receptor alpha constant///T cell receptor alpha joining 17///T cell receptor alpha variable 20///T cell receptor delta variable 2	1.875	2.746
210973_s_at	FGFR1	fibroblast growth factor receptor 1	2.364	3.798
210976_s_at	PFKM	phosphofructokinase, muscle	-0.677	2.683
210977_s_at	HSF4	heat shock transcription factor 4	2.567	2.118
210978_s_at	TAGLN2	transgelin 2	1.862	3.091
210979_at	ASAH1	N-acylsphingosine amidohydrolase 1	-2.115	2.293
210982_s_at	HLA-DRA	major histocompatibility complex, class II, DR alpha	2.829	7.634
210983_s_at	MCM7	minichromosome maintenance complex component 7	2.165	5.026
210986_s_at	TPM1	tropomyosin 1 (alpha)	1.419	6.589
210987_x_at	TPM1	tropomyosin 1 (alpha)	1.684	7.659
210992_x_at	FCGR2C	Fc fragment of IgG receptor IIc (gene/pseudogene)	3.251	3.637
210994_x_at	TRIM23	tripartite motif containing 23	3.453	5.177
210995_s_at	TRIM23	tripartite motif containing 23	1.436	2.511
211001_at	TRIM29	tripartite motif containing 29	-0.833	2.702
211004_s_at	ALDH3B1	aldehyde dehydrogenase 3 family member B1	-0.662	2.211
211012_s_at	PML	promyelocytic leukemia	1.898	3.519
211023_at	PDHB	pyruvate dehydrogenase (lipoamide) beta	-1.323	5.743
211025_x_at	COX5B	cytochrome c oxidase subunit 5B	-0.765	3.925
211028_s_at	KHK	ketohexokinase	-1.504	4.951
211031_s_at	CLIP2	CAP-Gly domain containing linker protein 2	0.966	2.71
211032_at	COBLL1	cordon-bleu WH2 repeat protein like 1	-1.967	2.634
211033_s_at	PEX7	peroxisomal biogenesis factor 7	-0.968	3.338
211042_x_at	MIR6756///MCAM	microRNA 6756///melanoma cell adhesion molecule	0.694	2.643
211053_at	KCNG1	potassium voltage-gated channel modifier subfamily G member 1	-0.99	2.364
211058_x_at	TUBA1B	tubulin alpha 1b	0.847	4.044
211060_x_at	GPAA1	glycosylphosphatidylinositol anchor attachment 1	-0.782	2.208
211063_s_at	NCK1	NCK adaptor protein 1	0.958	4.336
211066_x_at	PCDHGA1///PCDHGA2///PCDHGA3///PCDHGA4///PCDHGA5///PCDHGA6///PCDHGA7///PCDHGA9///PCDHGA10///PCDHGA11///PCDHGB1///PCDHGB2///PCDHGB3///PCDHGB5///PCDHGB6///PCDHGB7///PCDHGC4///PCDHGC5///PCDHGA12///PCDHGA8///PCDHGB4///PCDHGC3	protocadherin gamma subfamily A, 1///protocadherin gamma subfamily A, 2///protocadherin gamma subfamily A, 3///protocadherin gamma subfamily A, 4///protocadherin gamma subfamily A, 5///protocadherin gamma subfamily A, 6///protocadherin gamma subfamily A, 7///protocadherin gamma subfamily A, 9///protocadherin gamma subfamily A, 10///protocadherin gamma subfamily A, 11///protocadherin gamma subfamily B, 1///protocadherin gamma subfamily B, 2///protocadherin gamma subfamily B, 3///protocadherin gamma subfamily B, 5///protocadherin gamma subfamily B, 6///protocadherin gamma subfamily B, 7///protocadherin gamma subfamily C, 4///protocadherin gamma subfamily C, 5///protocadherin gamma subfamily A, 12///protocadherin gamma subfamily A, 8///protocadherin gamma subfamily B, 4///protocadherin gamma subfamily C, 3	0.928	3.267
211069_s_at	SUMO1	small ubiquitin-like modifier 1	-0.463	2.125
211070_x_at	DBI	diazepam binding inhibitor, acyl-CoA binding protein	-0.805	2.945
211072_x_at	TUBA1B	tubulin alpha 1b	0.915	4.189
211075_s_at	CD47	CD47 molecule	0.633	2.419
211090_s_at	PRPF4B	pre-mRNA processing factor 4B	1.477	2.512
211094_s_at	NF1P9///NF1	neurofibromin 1 pseudogene 9///neurofibromin 1	2.946	3.161
211100_x_at	LILRA2	leukocyte immunoglobulin like receptor A2	2.252	3.656
211101_x_at	LILRA2	leukocyte immunoglobulin like receptor A2	2.482	3.347
211113_s_at	ABCG1	ATP binding cassette subfamily G member 1	1.207	4.29
211115_x_at	GEMIN2	gem nuclear organelle associated protein 2	0.681	2.71
211116_at	SLC9A2	solute carrier family 9 member A2	-2.464	3.617
211121_s_at	DOK1	docking protein 1	2.068	3.909
211122_s_at	CXCL11	C-X-C motif chemokine ligand 11	2.455	3.938
211123_at	SLC5A5	solute carrier family 5 member 5	-1.202	2.753
211143_x_at	NR4A1	nuclear receptor subfamily 4 group A member 1	-2.011	2.802
211148_s_at	ANGPT2	angiopoietin 2	4.806	3.984
211160_x_at	ACTN1	actinin alpha 1	1.577	2.53
211161_s_at	COL3A1	collagen type III alpha 1 chain	1.753	2.668
211174_s_at	CCKAR	cholecystokinin A receptor	-1.973	2.721
211177_s_at	TXNRD2	thioredoxin reductase 2	-1.222	5.678
211185_s_at	SF3B1	splicing factor 3b subunit 1	0.421	2.153
211190_x_at	CD84	CD84 molecule	0.782	2.587
211192_s_at	CD84	CD84 molecule	1.701	2.343
211210_x_at	SH2D1A	SH2 domain containing 1A	1.423	2.747
211211_x_at	SH2D1A	SH2 domain containing 1A	1.918	2.407
211231_x_at	CYP4A11	cytochrome P450 family 4 subfamily A member 11	-1.828	4.089
211266_s_at	GPR4	G protein-coupled receptor 4	1.56	2.04
211270_x_at	PTBP1	polypyrimidine tract binding protein 1	0.395	2.103
211276_at	TCEAL2	transcription elongation factor A like 2	-2.938	6.388
211282_x_at	TNFRSF25	TNF receptor superfamily member 25	2.81	4.307
211298_s_at	ALB	albumin	-5.831	6.846
211302_s_at	PDE4B	phosphodiesterase 4B	1.102	3.799
211312_s_at	WISP1	WNT1 inducible signaling pathway protein 1	-1.336	2.713
211328_x_at	HFE	hemochromatosis	0.596	2.355
211339_s_at	ITK	IL2 inducible T-cell kinase	1.608	2.853
211340_s_at	MIR6756///MCAM	microRNA 6756///melanoma cell adhesion molecule	1.267	2.464
211348_s_at	CDC14B	cell division cycle 14B	-2.228	3.49
211352_s_at	NCOA3	nuclear receptor coactivator 3	1.153	3.407
211357_s_at	ALDOB	aldolase, fructose-bisphosphate B	-4.343	6.887
211358_s_at	CIZ1	CDKN1A interacting zinc finger protein 1	0.94	2.062
211360_s_at	ITPR2	inositol 1,4,5-trisphosphate receptor type 2	-0.847	2.406
211366_x_at	CASP1	caspase 1	1.698	5.874
211367_s_at	CASP1	caspase 1	3.018	6.171
211368_s_at	CASP1	caspase 1	2.361	6.63
211379_x_at	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	1.021	2.439
211384_s_at	CASR	calcium sensing receptor	-3.296	5.182
211395_x_at	FCGR2C	Fc fragment of IgG receptor IIc (gene/pseudogene)	1.094	2.498
211413_s_at	PADI4	peptidyl arginine deiminase 4	-1.58	2.326
211423_s_at	SC5D	sterol-C5-desaturase	-1.085	4.614
211432_s_at	TYRO3	TYRO3 protein tyrosine kinase	-1.496	4.283
211434_s_at	CCRL2	C-C motif chemokine receptor like 2	1.377	2.191
211445_x_at	NACAP1	nascent polypeptide associated complex alpha subunit pseudogene 1	0.801	2.333
211450_s_at	MSH6	mutS homolog 6	2.046	3.694
211452_x_at	LRRFIP1	LRR binding FLII interacting protein 1	-0.425	2.204
211454_x_at	FKSG49	FKSG49	-0.612	2.275
211456_x_at	MT1HL1	metallothionein 1H-like 1	-3.206	4.797
211458_s_at	GABARAPL3///GABARAPL1	GABA type A receptor associated protein like 3 pseudogene///GABA type A receptor associated protein like 1	-2.423	10.6
211463_at	ZIC4	Zic family member 4	-1.973	2.649
211465_x_at	FUT6	fucosyltransferase 6	-1.474	7.322
211466_at	NFIB	nuclear factor I B	1	2.073
211467_s_at	NFIB	nuclear factor I B	2.187	3.819
211469_s_at	CXCR6	C-X-C motif chemokine receptor 6	2.067	2.226
211470_s_at	SULT1C2	sulfotransferase family 1C member 2	-2.169	4.25
211483_x_at	CAMK2B	calcium/calmodulin dependent protein kinase II beta	-1.512	3.464
211494_s_at	SLC4A4	solute carrier family 4 member 4	-1.958	6.375
211504_x_at	ROCK2	Rho associated coiled-coil containing protein kinase 2	-0.974	3.174
211509_s_at	RTN4	reticulon 4	-0.661	5.139
211527_x_at	VEGFA	vascular endothelial growth factor A	4.462	6.93
211528_x_at	HLA-G	major histocompatibility complex, class I, G	1.571	5.542
211529_x_at	HLA-G	major histocompatibility complex, class I, G	1.998	7.268
211530_x_at	HLA-G	major histocompatibility complex, class I, G	2.172	4.654
211537_x_at	MAP3K7	mitogen-activated protein kinase kinase kinase 7	0.63	2.617
211538_s_at	HSPA2	heat shock protein family A (Hsp70) member 2	-3.007	5.58
211548_s_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	-3.136	4.763
211549_s_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	-3.615	5.465
211552_s_at	ALDH4A1	aldehyde dehydrogenase 4 family member A1	-1.977	3.386
211555_s_at	GUCY1B3	guanylate cyclase 1 soluble subunit beta	1.222	4.798
211559_s_at	CCNG2	cyclin G2	0.874	2.684
211562_s_at	LMOD1	leiomodin 1	-1.29	2.087
211566_x_at	BRE	brain and reproductive organ-expressed (TNFRSF1A modulator)	-0.657	2.518
211569_s_at	HADH	hydroxyacyl-CoA dehydrogenase	-1.687	5.339
211571_s_at	VCAN	versican	4.334	3.001
211574_s_at	CD46	CD46 molecule	1.715	2.412
211575_s_at	UBE3A	ubiquitin protein ligase E3A	0.724	2.063
211576_s_at	SLC19A1	solute carrier family 19 member 1	-1.625	2.906
211580_s_at	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3	1.627	2.328
211581_x_at	LST1	leukocyte specific transcript 1	2.073	5.289
211582_x_at	LST1	leukocyte specific transcript 1	2.924	7.209
211596_s_at	LRIG1	leucine rich repeats and immunoglobulin like domains 1	0.751	2.044
211597_s_at	HOPX	HOP homeobox	1.138	2.693
211600_at	PTPRO	protein tyrosine phosphatase, receptor type O	-1.154	5.983
211602_s_at	TRPC1	transient receptor potential cation channel subfamily C member 1	2.064	2.129
211603_s_at	ETV4	ETS variant 4	-1.916	2.26
211614_at	ERVH-6	endogenous retrovirus group H member 6	-1.141	2.183
211623_s_at	FBL	fibrillarin	0.831	2.883
211630_s_at	GSS	glutathione synthetase	-0.703	2.676
211635_x_at	IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1	immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 4 (G4m marker)///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1	2.076	2.372
211638_at	IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH	immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus	2.563	2.627
211651_s_at	LAMB1	laminin subunit beta 1	-0.647	2.315
211654_x_at	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	2.82	3.798
211656_x_at	LOC101060835///HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1	2.228	3.4
211658_at	PRDX2	peroxiredoxin 2	-0.64	2.266
211661_x_at	PTAFR	platelet activating factor receptor	1.89	2.558
211663_x_at	PTGDS	prostaglandin D2 synthase	-2.138	8.271
211666_x_at	SNORD83B///SNORD139///RPL3	small nucleolar RNA, C/D box 83B///small nucleolar RNA, C/D box 139///ribosomal protein L3	0.621	4.237
211671_s_at	NR3C1	nuclear receptor subfamily 3 group C member 1	0.992	4.798
211675_s_at	MDFIC	MyoD family inhibitor domain containing	0.875	2.686
211676_s_at	IFNGR1	interferon gamma receptor 1	1.539	5.144
211681_s_at	PDLIM5	PDZ and LIM domain 5	0.784	2.019
211682_x_at	UGT2B28	UDP glucuronosyltransferase family 2 member B28	-2.218	3.646
211689_s_at	TMPRSS2	transmembrane protease, serine 2	-4.421	8.255
211703_s_at	TM2D1	TM2 domain containing 1	0.683	3.078
211707_s_at	IQCB1	IQ motif containing B1	0.812	3.338
211709_s_at	CLEC11A	C-type lectin domain family 11 member A	1.293	2.049
211712_s_at	ANXA9	annexin A9	-2.994	4.817
211714_x_at	TUBB	tubulin beta class I	1.164	5.066
211715_s_at	BDH1	3-hydroxybutyrate dehydrogenase, type 1	-2.948	4.78
211717_at	ANKRD40	ankyrin repeat domain 40	1.454	2.475
211719_x_at	FN1	fibronectin 1	2.386	6.607
211725_s_at	BID	BH3 interacting domain death agonist	1.235	3.882
211726_s_at	FMO2	flavin containing monooxygenase 2	1.282	2.076
211727_s_at	COX11	COX11, cytochrome c oxidase copper chaperone	-0.493	2.346
211730_s_at	POLR2L	RNA polymerase II subunit L	-0.713	2.699
211742_s_at	EVI2B	ecotropic viral integration site 2B	2.105	5.476
211744_s_at	CD58	CD58 molecule	1.605	4.438
211748_x_at	PTGDS	prostaglandin D2 synthase	-3.168	7.066
211749_s_at	VAMP3	vesicle associated membrane protein 3	1.674	3.61
211750_x_at	TUBA1C	tubulin alpha 1c	0.562	2.866
211752_s_at	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7	-0.714	2.487
211755_s_at	ATP5F1	ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1	-0.486	4.041
211761_s_at	CACYBP	calcyclin binding protein	-0.487	2.27
211762_s_at	KPNA2	karyopherin subunit alpha 2	0.797	2.397
211769_x_at	SERINC3	serine incorporator 3	0.793	2.665
211774_s_at	MMACHC	methylmalonic aciduria (cobalamin deficiency) cblC type, with homocystinuria	-1.126	2.225
211778_s_at	OVOL2	ovo like zinc finger 2	-1.056	3.565
211787_s_at	LOC101928634///SENP3-EIF4A1///SNORD10///SNORA48///SNORA67///EIF4A1	uncharacterized LOC101928634///SENP3-EIF4A1 readthrough (NMD candidate)///small nucleolar RNA, C/D box 10///small nucleolar RNA, H/ACA box 48///small nucleolar RNA, H/ACA box 67///eukaryotic translation initiation factor 4A1	0.653	2.746
211792_s_at	CDKN2C	cyclin dependent kinase inhibitor 2C	1.089	2.058
211795_s_at	FYB	FYN binding protein	1.626	3.066
211796_s_at	TRBC1	T cell receptor beta constant 1	4.225	2.767
211799_x_at	HLA-C	major histocompatibility complex, class I, C	2.486	6.609
211806_s_at	KCNJ15	potassium voltage-gated channel subfamily J member 15	-1.129	3.668
211812_s_at	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	1.062	2.25
211813_x_at	DCN	decorin	-2.67	5.078
211822_s_at	NLRP1	NLR family pyrin domain containing 1	1.544	2.203
211829_s_at	GPER1	G protein-coupled estrogen receptor 1	3.422	3.622
211833_s_at	BAX	BCL2 associated X, apoptosis regulator	2.247	3.119
211841_s_at	TNFRSF25	TNF receptor superfamily member 25	2.504	3.709
211846_s_at	NECTIN1	nectin cell adhesion molecule 1	-1.357	3.431
211864_s_at	MYOF	myoferlin	1.91	4.15
211867_s_at	PCDHA10	protocadherin alpha 10	-1.694	2.206
211882_x_at	FUT6	fucosyltransferase 6	-2.693	3.074
211883_x_at	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1	-0.93	4.065
211885_x_at	FUT6	fucosyltransferase 6	-1.75	2.002
211887_x_at	MSR1	macrophage scavenger receptor 1	2.476	4.576
211889_x_at	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1	-0.872	2.062
211890_x_at	CAPN3	calpain 3	-2.122	2.906
211896_s_at	DCN	decorin	-3.08	4.7
211911_x_at	HLA-B	major histocompatibility complex, class I, B	1.672	5.061
211913_s_at	MERTK	MER proto-oncogene, tyrosine kinase	0.782	2.31
211917_s_at	PRLR	prolactin receptor	-2.683	4.334
211919_s_at	CXCR4	C-X-C motif chemokine receptor 4	2.84	8.369
211921_x_at	LOC100506248///MIR1244-2///MIR1244-3///MIR1244-1///LOC728026///PTMA	prothymosin alpha///microRNA 1244-2///microRNA 1244-3///microRNA 1244-1///prothymosin alpha-like///prothymosin, alpha	-0.581	2.397
211922_s_at	CAT	catalase	-1.304	4.365
211929_at	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3	0.734	3.049
211935_at	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1	0.499	2.23
211939_x_at	BTF3	basic transcription factor 3	0.388	2.257
211941_s_at	PEBP1	phosphatidylethanolamine binding protein 1	-1.189	5.938
211942_x_at	RPL13AP5///RPL13AP6///SNORD32A///SNORD33///SNORD34///SNORD35A///RPL13A	ribosomal protein L13a pseudogene 5///ribosomal protein L13a pseudogene 6///small nucleolar RNA, C/D box 32A///small nucleolar RNA, C/D box 33///small nucleolar RNA, C/D box 34///small nucleolar RNA, C/D box 35A///ribosomal protein L13a	0.461	2.542
211943_x_at	LOC101928826///TPT1	uncharacterized LOC101928826///tumor protein, translationally-controlled 1	-0.303	1.995
211945_s_at	ITGB1	integrin subunit beta 1	1.208	8.34
211946_s_at	PRRC2C	proline rich coiled-coil 2C	0.584	3.343
211959_at	IGFBP5	insulin like growth factor binding protein 5	-0.983	2.152
211962_s_at	ZFP36L1	ZFP36 ring finger protein like 1	0.915	3.35
211963_s_at	ARPC5	actin related protein 2/3 complex subunit 5	1.219	6.632
211964_at	COL4A2	collagen type IV alpha 2 chain	1.091	2.689
211966_at	COL4A2	collagen type IV alpha 2 chain	2.564	4.228
211967_at	TMEM123	transmembrane protein 123	0.968	5.808
211968_s_at	HSP90AA1	heat shock protein 90 alpha family class A member 1	-1.167	5.238
211969_at	HSP90AA1	heat shock protein 90 alpha family class A member 1	-1.085	5.974
211973_at	NUDT3	nudix hydrolase 3	-0.983	2.408
211980_at	COL4A1	collagen type IV alpha 1 chain	2.108	6.097
211981_at	COL4A1	collagen type IV alpha 1 chain	3.959	4.506
211986_at	AHNAK	AHNAK nucleoprotein	1.323	3.814
211989_at	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	0.755	3.955
211990_at	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	1.723	7.903
211991_s_at	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	2.711	8.614
211992_at	WNK1	WNK lysine deficient protein kinase 1	-1.552	7.717
211993_at	WNK1	WNK lysine deficient protein kinase 1	-0.683	2.657
211994_at	WNK1	WNK lysine deficient protein kinase 1	-1.32	5.734
211999_at	MIR4738///H3F3B///H3F3A	microRNA 4738///H3 histone, family 3B///H3 histone, family 3A	0.557	2.075
212003_at	SZRD1	SUZ RNA binding domain containing 1	1.905	2.385
212008_at	UBXN4	UBX domain protein 4	1.168	2.338
212012_at	PXDN	peroxidasin	1.035	2.243
212013_at	PXDN	peroxidasin	1.97	3.852
212015_x_at	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1	0.471	2.099
212026_s_at	EXOC7	exocyst complex component 7	2.615	3.083
212032_s_at	PTOV1	prostate tumor overexpressed 1	-0.602	2.018
212035_s_at	EXOC7	exocyst complex component 7	0.597	2.13
212039_x_at	SNORD83B///SNORD139///RPL3	small nucleolar RNA, C/D box 83B///small nucleolar RNA, C/D box 139///ribosomal protein L3	0.402	2.308
212041_at	ATP6V0D1	ATPase H+ transporting V0 subunit d1	-0.758	2.088
212048_s_at	YARS	tyrosyl-tRNA synthetase	0.52	2.475
212058_at	U2SURP	U2 snRNP associated SURP domain containing	0.621	2.761
212060_at	U2SURP	U2 snRNP associated SURP domain containing	0.929	2.02
212062_at	ATP9A	ATPase phospholipid transporting 9A (putative)	-1.175	2.38
212063_at	CD44	CD44 molecule (Indian blood group)	1.329	3.195
212077_at	CALD1	caldesmon 1	0.795	2.966
212087_s_at	ERAL1	Era like 12S mitochondrial rRNA chaperone 1	-0.42	2.196
212095_s_at	MTUS1	microtubule associated tumor suppressor 1	-0.881	2.306
212097_at	CAV1	caveolin 1	2.963	8.205
212098_at	MGAT5	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	-0.834	4.955
212099_at	RHOB	ras homolog family member B	1.262	2.7
212108_at	FAF2	Fas associated factor family member 2	0.592	2.33
212112_s_at	STX12	syntaxin 12	0.498	2.804
212114_at	ATXN7L3B	ataxin 7 like 3B	-0.376	2.161
212115_at	HN1L	hematological and neurological expressed 1 like	0.906	2.119
212119_at	RHOQ	ras homolog family member Q	-0.728	2.475
212128_s_at	DAG1	dystroglycan 1	-1.314	2.127
212132_at	LSM14A	LSM14A, mRNA processing body assembly factor	0.62	2.855
212134_at	MIR6716///PHLDB1	microRNA 6716///pleckstrin homology like domain family B member 1	-0.585	2.038
212135_s_at	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	0.895	5.711
212136_at	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	0.615	3.385
212138_at	PDS5A	PDS5 cohesin associated factor A	0.745	3.586
212139_at	GCN1	GCN1, eIF2 alpha kinase activator homolog	-0.764	3.97
212143_s_at	IGFBP3	insulin like growth factor binding protein 3	4.012	9.514
212148_at	PBX1	PBX homeobox 1	-0.948	3.103
212150_at	EFR3A	EFR3 homolog A	0.561	2.151
212151_at	PBX1	PBX homeobox 1	-0.727	2.187
212168_at	RBM12	RNA binding motif protein 12	0.431	2.07
212171_x_at	VEGFA	vascular endothelial growth factor A	2.71	9.358
