ID	Gene.symbol	Gene.title	log2(fold change)(TX vs NR)	-log10(Pvalue)(TX vs NR)
1486_at	POLR2J	RNA polymerase II subunit J	-0.348	3.363
1488_at	PTPRK	protein tyrosine phosphatase, receptor type K	0.954	4.258
1489_s_at	MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog	-0.246	1.665
1492_f_at	CYP2A7	cytochrome P450 family 2 subfamily A member 7	-0.413	3.513
1493_r_at	CYP2A6	cytochrome P450 family 2 subfamily A member 6	-1.051	3.169
1494_f_at	CYP2A6	cytochrome P450 family 2 subfamily A member 6	-0.448	2.582
1495_at	LTBP1	latent transforming growth factor beta binding protein 1	0.677	3.038
1496_at	PTPRA	protein tyrosine phosphatase, receptor type A	0.372	1.892
1499_at	FNTA	farnesyltransferase, CAAX box, alpha	0.779	3.037
1504_s_at	FGF12	fibroblast growth factor 12	-0.332	2.224
1508_at	ITGA9	integrin subunit alpha 9	-0.482	3.279
1509_at	MMP16	matrix metallopeptidase 16	-0.315	2.192
150_at	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1	-0.848	2.696
1510_g_at	MMP16	matrix metallopeptidase 16	-0.364	1.89
1511_at	SHC3	SHC adaptor protein 3	-0.567	4.596
1512_at	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A	1.16	5.915
1513_at	KLK3	kallikrein related peptidase 3	-0.616	5.655
1514_g_at	KLK3	kallikrein related peptidase 3	-1.24	3.556
1516_g_at	FEN1	flap structure-specific endonuclease 1	-0.407	4.22
1517_at	CYP2F1	cytochrome P450 family 2 subfamily F member 1	-0.534	5.111
1518_at	ETS1	ETS proto-oncogene 1, transcription factor	-0.256	2.438
1519_at	ETS2	ETS proto-oncogene 2, transcription factor	-0.806	2.104
1521_at	NME1	NME/NM23 nucleoside diphosphate kinase 1	0.603	2.703
1522_at	TNK1	tyrosine kinase non receptor 1	-0.415	4.556
1523_g_at	TNK1	tyrosine kinase non receptor 1	-0.572	2.485
1524_at	MOK	MOK protein kinase	-0.627	5.657
1525_s_at	FGF8	fibroblast growth factor 8	-0.892	5.351
152_f_at	HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I	histone cluster 2, H4b///histone cluster 4, H4///histone cluster 2, H4a///histone cluster 1, H4l///histone cluster 1, H4e///histone cluster 1, H4b///histone cluster 1, H4h///histone cluster 1, H4c///histone cluster 1, H4j///histone cluster 1, H4k///histone cluster 1, H4f///histone cluster 1, H4d///histone cluster 1, H4a///histone cluster 1, H4i	-0.339	2.732
1532_g_at	N4BP2L2	NEDD4 binding protein 2 like 2	0.777	5.854
1535_at	FOXN3	forkhead box N3	0.346	2.079
1537_at	EGFR	epidermal growth factor receptor	0.273	2.267
1538_s_at	IL2	interleukin 2	-0.349	1.779
1539_at	NRAS	neuroblastoma RAS viral oncogene homolog	-0.489	2.114
1540_f_at	IFNA5	interferon alpha 5	-0.341	1.839
1541_f_at	IFNA6///IFNA5	interferon alpha 6///interferon alpha 5	-0.296	1.769
1542_at	EGF	epidermal growth factor	-0.338	2.928
1543_at	MAP2K6	mitogen-activated protein kinase kinase 6	-0.525	1.892
1544_at	BLM	Bloom syndrome RecQ like helicase	-0.514	3.566
1547_at	JAK3	Janus kinase 3	-0.503	5.43
1548_s_at	IL10	interleukin 10	-0.519	5.514
1551_g_at	MRPL28	mitochondrial ribosomal protein L28	-0.363	2.041
1553_r_at	CYP2A13	cytochrome P450 family 2 subfamily A member 13	-0.921	8.662
1554_f_at	CYP2A13	cytochrome P450 family 2 subfamily A member 13	-0.513	5.011
1555_f_at	CYP2A7///CYP2A6	cytochrome P450 family 2 subfamily A member 7///cytochrome P450 family 2 subfamily A member 6	-0.295	2.15
1556_at	RBM5	RNA binding motif protein 5	0.692	3.138
1559_at	PAK2	p21 (RAC1) activated kinase 2	-0.856	4.664
155_s_at	SUMO1	small ubiquitin-like modifier 1	0.956	3.862
1561_at	LOC101927562///DUSP8	uncharacterized LOC101927562///dual specificity phosphatase 8	-1.056	7.744
1563_s_at	TNFRSF1A	TNF receptor superfamily member 1A	-0.526	2.25
1566_at	NCAM1	neural cell adhesion molecule 1	-0.769	5.004
1569_r_at	IL10RB	interleukin 10 receptor subunit beta	-0.537	2.601
156_s_at	GPR19	G protein-coupled receptor 19	-0.804	4.092
1571_f_at	RB1	RB transcriptional corepressor 1	1.073	5.529
1572_s_at	INSR	insulin receptor	-0.33	1.68
1573_at	PDGFB	platelet derived growth factor subunit B	-0.55	8.111
1574_s_at	IL4	interleukin 4	-1.188	3.343
1575_at	ABCB1	ATP binding cassette subfamily B member 1	1.237	5.175
1577_at	AR	androgen receptor	0.331	2.404
157_at	PRAME	preferentially expressed antigen in melanoma	-0.772	3.743
1584_at	CDC25C	cell division cycle 25C	-0.422	2.708
1585_at	ERBB3	erb-b2 receptor tyrosine kinase 3	1.835	4.041
1587_at	RARG	retinoic acid receptor gamma	-0.306	1.889
1592_at	TOP2A	topoisomerase (DNA) II alpha	-0.439	1.74
1596_g_at	TEK	TEK receptor tyrosine kinase	1.513	4.431
1598_g_at	GAS6	growth arrest specific 6	-0.266	2.61
159_at	VEGFC	vascular endothelial growth factor C	0.388	2.624
160020_at	MMP14	matrix metallopeptidase 14	-0.489	2.247
160023_at	WNT2	Wnt family member 2	-0.485	2.099
160024_at	CDK10	cyclin dependent kinase 10	-0.501	4.378
160025_at	TGFA	transforming growth factor alpha	-0.349	1.884
160028_s_at	RET	ret proto-oncogene	-0.347	2.307
160033_s_at	XRCC1	X-ray repair cross complementing 1	-0.415	3.728
160034_s_at	FANCC	Fanconi anemia complementation group C	-0.31	1.958
160035_at	CEACAM7	carcinoembryonic antigen related cell adhesion molecule 7	-0.745	4.484
160036_at	ESRRB	estrogen related receptor beta	-0.695	4.73
160038_s_at	INS	insulin	-0.519	5.3
160039_at	MAPK4	mitogen-activated protein kinase 4	-0.375	3.847
160041_at	PTPN18	protein tyrosine phosphatase, non-receptor type 18	-0.6	3.802
160042_s_at	HOXB6	homeobox B6	-0.335	2.941
160044_g_at	ACO2	aconitase 2	0.688	2.027
1602_at	PRKCI	protein kinase C iota	1.937	6.174
1603_g_at	PRKCI	protein kinase C iota	1.557	8.316
1604_at	EPHA5	EPH receptor A5	-0.678	1.942
1605_g_at	EPHA5	EPH receptor A5	-0.673	5.64
1607_at	CDKN2B	cyclin dependent kinase inhibitor 2B	-0.53	2.872
160_at	STAM	signal transducing adaptor molecule	0.44	4.713
1612_s_at	JUND	JunD proto-oncogene, AP-1 transcription factor subunit	1.233	4.286
1613_s_at	USP32///USP6	ubiquitin specific peptidase 32///ubiquitin specific peptidase 6	-0.711	5.41
1616_at	FGF9	fibroblast growth factor 9	1.482	5.794
1619_g_at	CYP19A1	cytochrome P450 family 19 subfamily A member 1	-0.365	2.781
1624_at	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	0.336	2.02
1626_at	MUSK	muscle associated receptor tyrosine kinase	-0.809	5.628
1628_at			-0.376	3.881
1629_s_at	PTPN13	protein tyrosine phosphatase, non-receptor type 13	0.356	2.496
1631_at			-0.314	1.99
1632_at			-1.042	2.253
1634_s_at	TGFB1	transforming growth factor beta 1	-0.629	6.823
1635_at	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	0.437	4.129
1637_at	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	0.436	4.081
1638_at	ETV6	ETS variant 6	-0.638	3.634
163_at	DVL1	dishevelled segment polarity protein 1	-0.448	3.908
1640_at	ST13	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	1.018	2.773
1641_s_at	DDB1	damage specific DNA binding protein 1	0.323	1.667
1642_at	MTA1	metastasis associated 1	-0.498	3.992
1643_g_at	MTA1	metastasis associated 1	0.564	2.218
1644_at	EIF3I	eukaryotic translation initiation factor 3 subunit I	1.184	4.496
1645_at	KISS1	KiSS-1 metastasis-suppressor	-0.436	3.822
1646_at	XIAP	X-linked inhibitor of apoptosis	-0.594	2.254
164_at	GNB3	G protein subunit beta 3	-0.467	4.191
1650_g_at	SMOX	spermine oxidase	-0.678	5.557
1651_at	UBE2C	ubiquitin conjugating enzyme E2 C	-0.511	2.378
1652_at	PIM2	Pim-2 proto-oncogene, serine/threonine kinase	-0.358	2.167
1659_s_at	RHEB	Ras homolog enriched in brain	0.879	3.749
1660_at	UBE2N	ubiquitin conjugating enzyme E2 N	1.113	3.975
1662_r_at			-0.724	3.41
1663_at	RARG	retinoic acid receptor gamma	-0.444	4.763
1665_s_at	TYMP	thymidine phosphorylase	-0.483	2.525
1666_at	IFNA1	interferon alpha 1	-0.537	3.383
1667_s_at	CYP4B1	cytochrome P450 family 4 subfamily B member 1	-0.68	5.501
166_at	GPR68	G protein-coupled receptor 68	-0.393	2.745
1670_at	TFDP1	transcription factor Dp-1	-0.351	2.286
1674_at	YES1	YES proto-oncogene 1, Src family tyrosine kinase	1.13	5.623
1675_at	RASA1	RAS p21 protein activator 1	0.697	6.308
1678_g_at	IGFBP5	insulin like growth factor binding protein 5	0.876	4.624
167_at	EIF5	eukaryotic translation initiation factor 5	0.913	4.133
1684_s_at	WT1	Wilms tumor 1	-0.313	1.916
1685_at	SPHAR///RAB4A	S-phase response (cyclin related)///RAB4A, member RAS oncogene family	0.576	2.975
1689_at	DCHS1	dachsous cadherin-related 1	-0.559	2.747
1690_at	PCDHGB5///PCDHGB4	protocadherin gamma subfamily B, 5///protocadherin gamma subfamily B, 4	-0.514	3.216
1692_s_at	GFRA2	GDNF family receptor alpha 2	-0.685	4.492
