ID	Gene.symbol	Gene.title	log2(fold change)(TX vs NR)	-log10(Pvalue)(TX vs NR)
40473_at	STK24	serine/threonine kinase 24	0.865	6.562
40474_r_at	KPNA1	karyopherin subunit alpha 1	-0.895	3.373
40478_at	TMX4	thioredoxin related transmembrane protein 4	0.939	6.513
40479_at	FYN	FYN proto-oncogene, Src family tyrosine kinase	-1.036	3.592
40480_s_at	FYN	FYN proto-oncogene, Src family tyrosine kinase	1.556	7.235
40481_r_at	FYN	FYN proto-oncogene, Src family tyrosine kinase	-0.787	2.98
40482_s_at	C1orf61	chromosome 1 open reading frame 61	-0.691	2.216
40484_g_at	C1orf61	chromosome 1 open reading frame 61	-0.328	2.167
40487_at	TRIM44	tripartite motif containing 44	1.748	6.837
40493_at	CD44	CD44 molecule (Indian blood group)	1.086	3.085
40494_at	DEDD	death effector domain containing	0.548	3.169
40495_at	ORAI2	ORAI calcium release-activated calcium modulator 2	-0.318	2.361
40499_r_at	NPRL2	NPR2-like, GATOR1 complex subunit	-0.476	3.146
40500_at	NDRG4	NDRG family member 4	-0.456	2.923
40506_s_at	LOC100996696///PABPC4	polyadenylate-binding protein 4 pseudogene///poly(A) binding protein cytoplasmic 4	0.581	3.297
40507_at	SLC2A1	solute carrier family 2 member 1	-0.435	2.56
40508_at	GSTA4	glutathione S-transferase alpha 4	0.368	3.403
40509_at	ETFA	electron transfer flavoprotein alpha subunit	0.942	2.547
40511_at	GATA3	GATA binding protein 3	0.376	2.381
40512_at	CHN1	chimerin 1	-0.679	1.88
40515_at	EIF2B2	eukaryotic translation initiation factor 2B subunit beta	0.794	5.263
40516_at	AHR	aryl hydrocarbon receptor	1.329	4.741
40517_at	TTC37	tetratricopeptide repeat domain 37	1.083	4.074
40523_at	FOXA2	forkhead box A2	-0.769	3.384
40525_at	DOT1L	DOT1 like histone lysine methyltransferase	-0.262	1.785
40526_at	DOT1L	DOT1 like histone lysine methyltransferase	-0.395	3.521
40527_at	KCNQ1	potassium voltage-gated channel subfamily Q member 1	-0.803	3.554
40529_at	LHX2	LIM homeobox 2	-0.412	4.233
40530_at	APBB2	amyloid beta precursor protein binding family B member 2	-0.539	2.426
40531_at	SOX3	SRY-box 3	-0.844	3.119
40532_at	BIRC5	baculoviral IAP repeat containing 5	-0.461	2.446
40533_at	BIRC5	baculoviral IAP repeat containing 5	-0.67	3.686
40534_at			-0.708	2.017
40539_at	MYO9B	myosin IXB	-0.453	2.104
40540_at	KIAA1211L	KIAA1211 like	-0.426	3.041
40542_at	ASCL1	achaete-scute family bHLH transcription factor 1	-0.294	2.033
40544_g_at	ASCL1	achaete-scute family bHLH transcription factor 1	-0.476	2.576
40547_at	IK	IK cytokine, down-regulator of HLA II	-0.661	2.588
40550_at	IDS	iduronate 2-sulfatase	-0.665	7.2
40555_at	RHOQ	ras homolog family member Q	0.527	2.961
40557_at	GUCA1B	guanylate cyclase activator 1B	-0.564	4.678
40558_at	GUCA1B	guanylate cyclase activator 1B	-0.574	3.386
40559_at	FAM27B///FAM27C///FAM182B	family with sequence similarity 27 member B///family with sequence similarity 27 member C///family with sequence similarity 182 member B	-0.439	3.565
40560_at	TBX2	T-box 2	-0.357	3.1
40561_at	TLX2	T-cell leukemia homeobox 2	-0.693	5.199
40562_at	GNA11	G protein subunit alpha 11	0.689	3.769
40564_at	NUP50	nucleoporin 50	1	5.775
40565_at			-0.369	3.639
40566_at	PRKCA	protein kinase C alpha	-0.373	2.277
40568_at	ATP6V1B2	ATPase H+ transporting V1 subunit B2	0.988	3.241
40572_at	AAK1	AP2 associated kinase 1	-0.566	2.134
40576_f_at	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like	1.484	7.782
40581_at	TRIO	trio Rho guanine nucleotide exchange factor	0.534	4.723
40585_at	ADCY7	adenylate cyclase 7	0.799	2.134
40586_at	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	-0.433	2.465
40587_s_at	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	0.74	2.927
40589_at	SNTB2	syntrophin beta 2	0.397	2.199
40590_at			-0.277	1.663
40594_r_at	ACVRL1	activin A receptor like type 1	-0.971	5.419
40597_g_at	TCOF1	treacle ribosome biogenesis factor 1	-0.86	6.187
40598_at	STARD5	StAR related lipid transfer domain containing 5	-0.383	3.081
40599_at	IL16	interleukin 16	-0.754	2.764
405_at	RXRA	retinoid X receptor alpha	-0.544	4.521
40600_at	DNAJC4	DnaJ heat shock protein family (Hsp40) member C4	-0.523	2.215
40601_at	TM2D1	TM2 domain containing 1	0.904	3.206
40603_at	SPRED2	sprouty related EVH1 domain containing 2	-0.524	6.281
40605_at	SNX4	sorting nexin 4	1.067	4.714
40607_at	DPYSL2	dihydropyrimidinase like 2	1.22	4.776
40611_s_at	ZFR	zinc finger RNA binding protein	-0.584	4.625
40612_at	DOPEY1	dopey family member 1	-0.473	2.133
40613_at	C6orf62	chromosome 6 open reading frame 62	1.03	2.858
40615_at	SPG11	spastic paraplegia 11 (autosomal recessive)	0.691	4.578
40617_at	THUMPD1	THUMP domain containing 1	0.717	2.271
40618_at	CDV3	CDV3 homolog	1.404	5.727
40620_at	PAWR	pro-apoptotic WT1 regulator	-0.508	4.104
40621_at	PAWR	pro-apoptotic WT1 regulator	0.722	3.925
40622_r_at	UBE3B	ubiquitin protein ligase E3B	-0.846	5.237
40629_at	PIGH	phosphatidylinositol glycan anchor biosynthesis class H	0.774	6.049
40630_at			-0.374	3.065
40631_at	TOB1	transducer of ERBB2, 1	1.825	7.378
40638_at	SFPQ	splicing factor proline and glutamine rich	0.944	3.218
40639_at	SCO2	SCO2 cytochrome c oxidase assembly protein	-0.434	3.288
40640_at	NCAPH2	non-SMC condensin II complex subunit H2	-0.392	2.381
40641_at	BTAF1	B-TFIID TATA-box binding protein associated factor 1	0.278	1.765
40643_at	ITGA2B	integrin subunit alpha 2b	-0.377	2.785
40645_at	GSK3B	glycogen synthase kinase 3 beta	0.386	1.961
40650_r_at	CRHR1	corticotropin releasing hormone receptor 1	-0.775	6.248
40651_s_at	CRHR1	corticotropin releasing hormone receptor 1	-0.423	3.303
40653_at	RGS7	regulator of G-protein signaling 7	0.49	1.846
40654_at	PEX7	peroxisomal biogenesis factor 7	1.213	6.422
40659_at	NR4A3	nuclear receptor subfamily 4 group A member 3	-1.93	4.225
40660_at	NR4A3	nuclear receptor subfamily 4 group A member 3	-0.463	2.418
40662_g_at	NR4A3	nuclear receptor subfamily 4 group A member 3	-0.432	2.785
40666_at	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	0.912	5.524
40667_at	CD6	CD6 molecule	-0.212	1.813
40668_s_at	CD6	CD6 molecule	-0.452	3.439
40673_at	ACADSB	acyl-CoA dehydrogenase, short/branched chain	2.048	6.297
40677_at	CCDC106	coiled-coil domain containing 106	-0.244	2.091
40678_at	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	-0.396	2.463
40679_at	SLC6A12	solute carrier family 6 member 12	0.367	1.725
40683_at	GRB14	growth factor receptor bound protein 14	0.704	2.974
40684_at	GCHFR	GTP cyclohydrolase I feedback regulator	0.801	6.588
40697_at	CCNA2	cyclin A2	-0.361	3.549
406_at	ITGB4	integrin subunit beta 4	-1.096	3.599
40700_at	SP140	SP140 nuclear body protein	-0.545	1.692
40701_at	USP13	ubiquitin specific peptidase 13 (isopeptidase T-3)	-0.947	4.804
40702_at	IFNG	interferon gamma	-0.246	1.917
40703_at	RBP3	retinol binding protein 3	-0.288	2.533
40706_at			-0.415	2.99
40710_at	CLGN	calmegin	-0.431	2.125
40713_at	NFAT5	nuclear factor of activated T-cells 5	0.425	2.113
40718_at	CTSW	cathepsin W	-0.289	2.197
40719_at	TRAF3IP3	TRAF3 interacting protein 3	-1.633	3.411
40722_at	EFCAB11	EF-hand calcium binding domain 11	-0.695	2.487
40725_at	GOSR1	golgi SNAP receptor complex member 1	1.141	6.368
40726_at	KIF11	kinesin family member 11	-0.703	3.509
40727_at	ANAPC10	anaphase promoting complex subunit 10	0.542	2.6
40728_at	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2	-0.391	4.039
40729_s_at	LTB	lymphotoxin beta	-0.853	3.727
40730_at	PNOC	prepronociceptin	-0.458	3.75
40732_at	NPAT	nuclear protein, coactivator of histone transcription	0.432	2.134
40733_f_at	MSX2	msh homeobox 2	-0.546	1.989
40735_at	HAL	histidine ammonia-lyase	-0.418	2.017
40737_at	KCNMA1	potassium calcium-activated channel subfamily M alpha 1	-0.311	2.295
40741_at	CETP	cholesteryl ester transfer protein	-0.511	1.891
40742_at	HCK	HCK proto-oncogene, Src family tyrosine kinase	-0.828	2.274
40743_at	AMPD1	adenosine monophosphate deaminase 1	-0.388	2.045
40744_at	RAD52	RAD52 homolog, DNA repair protein	-0.488	4.045
40745_at	AP1B1	adaptor related protein complex 1 beta 1 subunit	-0.733	2.354
40748_at	CPA2	carboxypeptidase A2	-0.282	1.749
40750_at	PDE4A	phosphodiesterase 4A	-0.502	3.02
40751_at	IZUMO4	IZUMO family member 4	-0.357	1.859
40754_at	GTF2H3	general transcription factor IIH subunit 3	-0.531	1.789
40759_at	MMP16	matrix metallopeptidase 16	-0.58	3.351
40762_g_at	SLC16A5	solute carrier family 16 member 5	-0.692	4.116
40764_at	GOT2	glutamic-oxaloacetic transaminase 2	0.974	3.934
40765_at	LOC102724985///PDXDC1	pyridoxal-dependent decarboxylase domain-containing protein 1///pyridoxal dependent decarboxylase domain containing 1	0.589	5.147
40767_at	TFPI	tissue factor pathway inhibitor	0.846	2.746
40769_r_at	NUP214	nucleoporin 214	-0.339	2.063
40770_f_at	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like	1.677	8.487
40771_at	MSN	moesin	0.764	3.523
40772_at	MFSD7	major facilitator superfamily domain containing 7	-0.612	4.427
40775_at	ITM2A	integral membrane protein 2A	1.573	3.324
40778_at	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10	0.346	2.168
40779_at	KIFAP3	kinesin associated protein 3	0.85	3.354
40780_at	CTBP2	C-terminal binding protein 2	0.717	4.958
40784_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	0.4	1.713
40785_g_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	0.453	4.55
40786_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	1.356	7.875
40790_at	BHLHE40	basic helix-loop-helix family member e40	1.401	3.853
40791_at	POLR2A	RNA polymerase II subunit A	-0.511	4.366
40794_at	KLK3	kallikrein related peptidase 3	-0.748	3.896
40799_at	HN1L	hematological and neurological expressed 1 like	-0.551	3.404
40801_at	GAPVD1	GTPase activating protein and VPS9 domains 1	0.878	4.03
40803_at	TMEM123	transmembrane protein 123	1.643	5.515
40805_at	SIPA1L1	signal induced proliferation associated 1 like 1	1.12	4.317
40806_at	MGAT2	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	0.534	1.996
40808_at	CHGA	chromogranin A	-0.539	3.315
40809_at	SNTB2	syntrophin beta 2	-0.636	2.737
40813_at	SLC5A3	solute carrier family 5 member 3	1.676	5.679
40815_g_at	IDS	iduronate 2-sulfatase	-0.256	1.773
40816_at	PWP1	PWP1 homolog, endonuclein	0.564	4.42
40817_at	NUCB1	nucleobindin 1	0.331	1.842
40818_at	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	0.744	1.775
40819_at	RBM8A	RNA binding motif protein 8A	-0.302	1.786
40821_at	AHCY	adenosylhomocysteinase	0.862	3.63
40824_at	XPO7	exportin 7	0.778	7.125
40826_at	MARK3	microtubule affinity regulating kinase 3	0.664	4.523
40827_at	IARS	isoleucyl-tRNA synthetase	0.81	2.169
40828_at	ARHGEF7	Rho guanine nucleotide exchange factor 7	0.533	4.32
40829_at	WDTC1	WD and tetratricopeptide repeats 1	-0.644	4.872
40830_at	DNAJC4	DnaJ heat shock protein family (Hsp40) member C4	-0.565	3.726
40831_at	KIF1BP	KIF1 binding protein	0.551	3.735
40832_s_at	TOR1AIP1	torsin 1A interacting protein 1	1.385	5.09
40835_at	TUT1	terminal uridylyl transferase 1, U6 snRNA-specific	-0.482	3.071
40836_s_at	EML3	echinoderm microtubule associated protein like 3	-0.395	2.192
40838_at	ZNF292	zinc finger protein 292	0.802	2.837
40839_at	UBL3	ubiquitin like 3	-0.442	5.174
40842_at	SNRPA	small nuclear ribonucleoprotein polypeptide A	0.44	2.175
40844_at	CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component	0.952	5.172
40849_s_at	CREB3	cAMP responsive element binding protein 3	-0.302	2.282
40851_r_at	SEC23B	Sec23 homolog B, coat complex II component	0.601	2.544
40855_at	SAMD4A	sterile alpha motif domain containing 4A	0.342	2.57
40857_f_at	PSG11///PSG3	pregnancy specific beta-1-glycoprotein 11///pregnancy specific beta-1-glycoprotein 3	-0.627	4.258
40859_at	ZC3H14	zinc finger CCCH-type containing 14	1.194	4.57
40860_s_at	ZC3H14	zinc finger CCCH-type containing 14	-0.547	1.741
40861_at	MORF4L2	mortality factor 4 like 2	1.191	4.926
40867_at	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	0.341	2.121
40868_at	THUMPD1	THUMP domain containing 1	0.659	2.291
40874_at	CDV3	CDV3 homolog	0.55	3.094
40875_s_at	SNRNP70	small nuclear ribonucleoprotein U1 subunit 70	0.599	2.772
40876_at	GYG1	glycogenin 1	0.644	2.327
40878_f_at	HERC2P2	hect domain and RLD 2 pseudogene 2	0.899	2.47
40884_g_at	STX16	syntaxin 16	-0.655	3.607
40888_f_at			-1.6	4.604
40889_at	LOC100510710///GBAP1///GBA	glucosylceramidase-like///glucosylceramidase beta pseudogene 1///glucosylceramidase beta	-0.813	3.153
40891_f_at	LAGE3	L antigen family member 3	-0.568	2.196
40892_s_at			-0.625	2.685
40893_at	SUCLA2	succinate-CoA ligase ADP-forming beta subunit	0.764	2.297
40896_at	POU2F1	POU class 2 homeobox 1	-0.285	1.69
40897_at	PDE6A	phosphodiesterase 6A	-0.357	2.587
40900_at	MYH10	myosin, heavy chain 10, non-muscle	0.97	2.356
40901_at	STRN3	striatin 3	1.185	4.563
40906_at	ZNF688	zinc finger protein 688	-0.32	3.778
40907_at			-0.435	2.852
40909_at	RABL3	RAB, member of RAS oncogene family like 3	-0.585	2.962
40910_at	CAPZA1	capping actin protein of muscle Z-line alpha subunit 1	1.027	3.055
40911_at			-0.66	7.001
40912_s_at	BPHL	biphenyl hydrolase like	0.617	2.89
40914_s_at	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	-0.439	3.335
40916_at	BEX4	brain expressed X-linked 4	0.535	2.907
40921_at	CDC14BL	CDC14 cell division cycle 14 C-like	-0.78	6.714
40923_at	SLC36A1	solute carrier family 36 member 1	-0.556	1.904
40925_at			-0.641	6.704
40927_at	SLC6A8	solute carrier family 6 member 8	-0.588	4.174
40928_at	WSB1	WD repeat and SOCS box containing 1	1.21	2.688
40931_at	TMED5	transmembrane p24 trafficking protein 5	1.456	3.735
40932_at	ZDHHC18	zinc finger DHHC-type containing 18	-0.469	1.825
40934_at	MFSD5	major facilitator superfamily domain containing 5	-0.73	2.369
40936_at	LOC101929500///CRIM1	uncharacterized LOC101929500///cysteine rich transmembrane BMP regulator 1	0.781	3.071
40937_at	SCAPER	S-phase cyclin A associated protein in the ER	0.343	2.333
40945_at	KLF11	Kruppel like factor 11	-0.367	1.946
40947_at	ISG20L2	interferon stimulated exonuclease gene 20 like 2	-0.469	3.871
40949_at	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2	0.311	1.68
40951_at	NPIPA5///NPIPB5///LOC613037///NPIPB4///NPIPB3	nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B5///nuclear pore complex interacting protein member///nuclear pore complex interacting protein family member B4///nuclear pore complex interacting protein family member B3	0.886	4.72
40957_at	SUZ12	SUZ12 polycomb repressive complex 2 subunit	0.506	2.007
40958_at	SPTB	spectrin beta, erythrocytic	-0.49	5.768
40959_at	PLEKHG3	pleckstrin homology and RhoGEF domain containing G3	-0.557	7.354
40962_s_at	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	1.213	6.123
40963_at	ABCA4	ATP binding cassette subfamily A member 4	-0.481	3.905
40964_at	HK2	hexokinase 2	-0.558	3.393
40968_at	SOCS3	suppressor of cytokine signaling 3	-0.577	3.43
40970_at	RFXAP	regulatory factor X associated protein	-0.465	3.286
40972_at	AKT2	AKT serine/threonine kinase 2	-0.612	3.343
40973_at	PARD3	par-3 family cell polarity regulator	0.778	5.839
40974_at	SRRD	SRR1 domain containing	-0.505	5.744
40975_s_at	TFIP11	tuftelin interacting protein 11	-0.645	2.62
40976_at	KATNB1	katanin regulatory subunit B1	-1.33	3.088
40979_at	AHSA1	activator of Hsp90 ATPase activity 1	0.484	3.322
40980_at	CHD8	chromodomain helicase DNA binding protein 8	0.483	3.95
40988_at	YME1L1	YME1 like 1 ATPase	0.865	3.208
40989_at			-0.602	3.022
40995_at	NEFL	neurofilament, light polypeptide	0.714	1.662
40999_at	MED12	mediator complex subunit 12	-0.724	5.069
409_at	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	0.753	2.063
41000_at	FOXN3	forkhead box N3	0.909	4.076
41001_at	RPH3A	rabphilin 3A	-0.445	3.858
41004_at	TOP3A	topoisomerase (DNA) III alpha	-0.377	3.317
41008_at	FAM169A	family with sequence similarity 169 member A	1.168	5.959
41010_at	HOMER1	homer scaffolding protein 1	1.128	3.991
41013_at	VSTM4	V-set and transmembrane domain containing 4	0.663	2.936
41016_at	TNR	tenascin R	-0.356	1.954
41017_at	MYBPH	myosin binding protein H	-0.458	3.493
41020_at	PCSK2	proprotein convertase subtilisin/kexin type 2	-0.556	2.884
41024_f_at	GYPE	glycophorin E (MNS blood group)	-0.36	2.043
41027_at	FOXC1	forkhead box C1	0.995	3.384
41030_at	FOXJ1	forkhead box J1	-0.326	1.669
41035_at	TBKBP1	TBK1 binding protein 1	-0.3	1.883
41041_s_at	MYO7A	myosin VIIA	-0.606	2.175
41042_r_at	MYO7A	myosin VIIA	-0.9	6.21
41043_at	SOX15	SRY-box 15	-0.463	4.637
41049_at	IRS1	insulin receptor substrate 1	0.656	3.951
41051_at	TSNAX	translin associated factor X	0.914	6.156
41052_s_at	LOC100507353///CACNA1A	uncharacterized LOC100507353///calcium voltage-gated channel subunit alpha1 A	-0.494	4.277
41054_at	FCHO1	FCH domain only 1	-0.298	2.028
41055_at	NACAD	NAC alpha domain containing	-0.443	5.006
41058_g_at	ACOT13	acyl-CoA thioesterase 13	1.166	3.815
41059_at	CD300A	CD300a molecule	-0.488	2.784
41060_at	CCNE1	cyclin E1	-0.423	2.613
41063_g_at	PCGF1	polycomb group ring finger 1	-0.367	2.013
41064_at	PCGF1	polycomb group ring finger 1	-0.556	2.95
41069_at	LECT1	leukocyte cell derived chemotaxin 1	-0.31	1.772
41070_r_at	MTERF1	mitochondrial transcription termination factor 1	0.742	2.175
41075_at	AKAP3	A-kinase anchoring protein 3	-0.311	1.691
41076_at	GJB3	gap junction protein beta 3	-0.643	5.939
41081_at	BUB1	BUB1 mitotic checkpoint serine/threonine kinase	-0.46	1.653
41088_at	ABHD2	abhydrolase domain containing 2	-0.357	3.376
41091_at	BPTF	bromodomain PHD finger transcription factor	0.998	4.869
41095_at	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	-0.335	1.822
41098_at	DAAM2	dishevelled associated activator of morphogenesis 2	-0.322	1.882
410_s_at	CSNK2B	casein kinase 2 beta	0.702	4.65
41110_at	CUL5	cullin 5	0.847	5.249
41112_at	ZNF500	zinc finger protein 500	-0.518	4.044
41113_at	ZNF500	zinc finger protein 500	-0.32	1.829
41114_at	MAST2	microtubule associated serine/threonine kinase 2	-0.32	2.013
41117_s_at	SLC9A3R2	SLC9A3 regulator 2	-0.245	1.654
41120_at	AMT	aminomethyltransferase	0.584	6.82
41121_at	STX16	syntaxin 16	-0.353	2.333
41122_at	KDM1A	lysine demethylase 1A	0.37	1.703
41123_s_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	1.032	2.72
41124_r_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	0.956	2.437
41125_r_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	-0.99	7.822
41128_at	TMEM183B///TMEM183A	transmembrane protein 183B///transmembrane protein 183A	0.572	5.861
41129_at	TMEM41B	transmembrane protein 41B	0.39	3.224
41131_f_at	RPL36A-HNRNPH2///HNRNPH2	RPL36A-HNRNPH2 readthrough///heterogeneous nuclear ribonucleoprotein H2 (H')	0.742	1.836
41132_r_at	RPL36A-HNRNPH2///HNRNPH2	RPL36A-HNRNPH2 readthrough///heterogeneous nuclear ribonucleoprotein H2 (H')	1.528	3.506
41133_at	G3BP1	G3BP stress granule assembly factor 1	1.431	5.129
41135_at	RPL39	ribosomal protein L39	-0.686	2.557
41138_at	CD99	CD99 molecule	-0.66	2.85
41139_at	MAGED1	MAGE family member D1	0.402	2.03
41140_at	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	0.42	2.348
41141_at	THAP12	THAP domain containing 12	0.593	3.481
41142_at	OXCT1	3-oxoacid CoA-transferase 1	1.312	4.249
41143_at	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1	0.836	2.481
41144_g_at	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1	1.243	7.443
41146_at	PARP1	poly(ADP-ribose) polymerase 1	1.075	7.323
41147_at	ISCA1	iron-sulfur cluster assembly 1	1.239	8.716
41150_r_at	POFUT1	protein O-fucosyltransferase 1	-1.202	3.913
41151_at	INPP5K	inositol polyphosphate-5-phosphatase K	-0.306	2.328
41153_f_at	CTNNA1	catenin alpha 1	0.879	3.472
41154_r_at	CTNNA1	catenin alpha 1	0.697	1.659
41155_at	CTNNA1	catenin alpha 1	0.863	1.967
41156_g_at	CTNNA1	catenin alpha 1	0.881	3.135
41160_at	MBD3	methyl-CpG binding domain protein 3	-0.513	2.995
41164_at	IGHM	immunoglobulin heavy constant mu	1.522	1.896
41167_at	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha	0.617	3.715
41168_at	TAPBP	TAP binding protein (tapasin)	1.118	4.544
41170_at	LOC441155///ZC3H11A	zinc finger CCCH-type domain-containing-like///zinc finger CCCH-type containing 11A	1.007	4.028
41174_at	RGPD6///RGPD8///RGPD3///RGPD4///RGPD5///GCC2	RANBP2-like and GRIP domain containing 6///RANBP2-like and GRIP domain containing 8///RANBP2-like and GRIP domain containing 3///RANBP2-like and GRIP domain containing 4///RANBP2-like and GRIP domain containing 5///GRIP and coiled-coil domain containing 2	1.405	4.756
41175_at	CBFB	core-binding factor beta subunit	0.292	1.772
41179_at	RNF44	ring finger protein 44	0.41	1.979
41181_r_at	DDTL///DDT	D-dopachrome tautomerase-like///D-dopachrome tautomerase	-0.648	4.628
41185_f_at	LOC101929087///SUMO2///SUMO3	small ubiquitin-related modifier 2 pseudogene///small ubiquitin-like modifier 2///small ubiquitin-like modifier 3	0.578	1.717
41187_at	MYL12B	myosin light chain 12B	0.634	2.145
41189_at	TNFRSF25	TNF receptor superfamily member 25	-0.292	2.309
41190_at	TNFRSF25	TNF receptor superfamily member 25	-0.526	3.725
41191_at	PALLD	palladin, cytoskeletal associated protein	0.915	3.058
41201_at	DNM1L	dynamin 1 like	0.853	4.107
41202_s_at	CTDSP2	CTD small phosphatase 2	0.409	1.854
41204_s_at	SF1	splicing factor 1	-0.431	2.893
41207_at	C9orf3	chromosome 9 open reading frame 3	0.314	1.892
41212_r_at	EIF4H	eukaryotic translation initiation factor 4H	1.163	7.404
41215_s_at	ID2B///ID2	inhibitor of DNA binding 2B, HLH protein (pseudogene)///inhibitor of DNA binding 2, HLH protein	1.183	2.921
41217_at	VPS41	VPS41, HOPS complex subunit	0.397	2.128
41219_at	AHSA2	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)	0.733	2.949
41220_at	SEPT9	septin 9	-0.893	3.404
41224_at	LOC101929240///SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase pseudogene///small nuclear ribonucleoprotein U5 subunit 200	0.611	4.074
41225_at	DUSP3	dual specificity phosphatase 3	0.843	2.255
41226_at	DUSP3	dual specificity phosphatase 3	-0.341	3.43
41228_r_at	ATP5F1	ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1	1.062	1.7
41229_at	NFIB	nuclear factor I B	0.629	3.196
41230_at	MAP2K5	mitogen-activated protein kinase kinase 5	-0.381	2.831
41233_at	TMEM135///DNAJB6	transmembrane protein 135///DnaJ heat shock protein family (Hsp40) member B6	0.925	3.781
41238_s_at	CELA3B///CELA3A	chymotrypsin like elastase family member 3B///chymotrypsin like elastase family member 3A	-0.691	2.479
41240_at	PSMA2	proteasome subunit alpha 2	1.003	5.246
41241_at	NARS	asparaginyl-tRNA synthetase	0.693	1.752
41242_at	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1	0.666	2.99
41243_at	SLC35E2B///SLC35E2	solute carrier family 35 member E2B///solute carrier family 35 member E2	0.909	3.908
41244_f_at	PPP1CB	protein phosphatase 1 catalytic subunit beta	-0.458	3.484
41245_at	GDF10	growth differentiation factor 10	-0.737	2.603
41247_at	KCNB1	potassium voltage-gated channel subfamily B member 1	-0.682	2.186
41248_at	CSTF2T	cleavage stimulation factor subunit 2, tau variant	0.528	3.706
41250_at	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2	0.629	3.128
41253_s_at	PLEKHB2	pleckstrin homology domain containing B2	0.602	3.248
41255_at	ADAM22	ADAM metallopeptidase domain 22	-0.503	4.398
41256_at	EEF1D	eukaryotic translation elongation factor 1 delta	0.682	2.87
41257_at	CAST	calpastatin	0.82	3.1
41259_at	NOP16	NOP16 nucleolar protein	-0.592	4.386
41262_at	GTPBP1	GTP binding protein 1	-0.62	4.392
41263_at	GTPBP1	GTP binding protein 1	-0.617	4.16
41265_at	RBM4B	RNA binding motif protein 4B	-0.513	3.771
41266_at	ITGA6	integrin subunit alpha 6	1.092	4.015
41267_at	TCF25	transcription factor 25	0.419	2.998
41272_s_at	MXRA7	matrix remodeling associated 7	-0.676	2.745
41275_at	E2F5	E2F transcription factor 5	0.333	1.781
41277_at	SAP18	Sin3A associated protein 18	0.878	6.927
41278_at	ACTL6A	actin like 6A	0.999	4.048
41280_r_at	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1	-0.433	4.211
41281_s_at	PEX10	peroxisomal biogenesis factor 10	-0.52	5.536
41283_at	HNRNPH3	heterogeneous nuclear ribonucleoprotein H3	1.005	3.841
41284_at	INPP5A	inositol polyphosphate-5-phosphatase A	-0.239	1.681
41285_at	INPP5A	inositol polyphosphate-5-phosphatase A	-0.53	2.72
41287_s_at	CALM1	calmodulin 1	-0.379	2.635
41288_at	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1	0.55	2.505
41289_at	NCAM1	neural cell adhesion molecule 1	-0.348	2.881
41291_at	TMEM259	transmembrane protein 259	-0.585	4.767
41293_at	KRT7	keratin 7	-0.331	2.038
41294_at	KRT7	keratin 7	-0.659	2.723
41295_at	STARD7	StAR related lipid transfer domain containing 7	0.559	2.035
41299_f_at	CFAP20	cilia and flagella associated protein 20	-0.343	2.504
41303_r_at	RSRP1	arginine and serine rich protein 1	0.588	2.321
41305_at	SLC5A2	solute carrier family 5 member 2	-0.401	2.725
41306_at	NECAB3	N-terminal EF-hand calcium binding protein 3	-0.412	2.856
