ID	Gene.symbol	Gene.title	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)
31347_at	IGLC1	immunoglobulin lambda constant 1	0.937	3.791
31350_at	OR10H3	olfactory receptor family 10 subfamily H member 3	-0.771	1.976
31353_f_at	FOXE1	forkhead box E1	-0.46	3.14
31354_r_at	FOXE1	forkhead box E1	-0.442	3.016
31359_at	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2	-0.651	3.288
31360_at			-0.428	2.24
31361_at			-0.464	2.237
31363_at			-0.378	2.803
31364_i_at	NFAT5	nuclear factor of activated T-cells 5	-0.661	3.069
31367_at	TTLL5	tubulin tyrosine ligase like 5	-0.525	2.647
31375_at			0.309	2.072
31377_r_at			-0.32	2.541
31382_f_at	UGT2B11	UDP glucuronosyltransferase family 2 member B11	-2.177	5.231
31391_at	HAP1	huntingtin associated protein 1	-0.351	3.022
31392_r_at	ERC2-IT1	ERC2 intronic transcript 1	-0.449	2.403
31393_r_at	UTF1	undifferentiated embryonic cell transcription factor 1	-0.671	2.845
31396_r_at	MSI1	musashi RNA binding protein 1	-0.623	4.144
31398_at	ABCB11	ATP binding cassette subfamily B member 11	-0.405	3.074
31399_at	BMP10	bone morphogenetic protein 10	-0.555	3.74
31405_at	MTNR1B	melatonin receptor 1B	-0.231	2.264
31408_at	RRH	retinal pigment epithelium-derived rhodopsin homolog	-0.35	3.215
31414_at	TTTY2B///TTTY2	testis-specific transcript, Y-linked 2B (non-protein coding)///testis-specific transcript, Y-linked 2 (non-protein coding)	0.273	1.904
31415_at	XKRY2///XKRY	XK related, Y-linked 2///XK related, Y-linked	-0.383	3.645
31419_r_at			-0.518	2.827
31423_at			-0.85	2.263
31425_g_at	OR2F2///OR2F1	olfactory receptor family 2 subfamily F member 2///olfactory receptor family 2 subfamily F member 1 (gene/pseudogene)	-0.55	3.985
31427_at			-0.485	2.119
31429_at	YME1L1	YME1 like 1 ATPase	-0.417	1.909
31435_at	ADAM7	ADAM metallopeptidase domain 7	-0.543	3.693
31436_s_at	ESR2	estrogen receptor 2	-0.413	4.266
31438_s_at	CD163	CD163 molecule	2.01	8.073
31439_f_at	RHD///RHCE	Rh blood group D antigen///Rh blood group CcEe antigens	0.72	5.57
31440_at	TCF7	transcription factor 7 (T-cell specific, HMG-box)	-0.325	3.073
31441_at	ECRP	ribonuclease A family member 2 pseudogene	-0.42	2.493
31444_s_at	ANXA2P3///ANXA2P1///ANXA2	annexin A2 pseudogene 3///annexin A2 pseudogene 1///annexin A2	0.953	5.289
31446_s_at	SMR3A///SMR3B	submaxillary gland androgen regulated protein 3A///submaxillary gland androgen regulated protein 3B	0.353	3.25
31449_at	IL23A///TRBV19	interleukin 23 subunit alpha///T cell receptor beta variable 19	0.425	1.956
31451_at	ARHGAP1	Rho GTPase activating protein 1	-0.311	2.69
31457_at	FOXD2	forkhead box D2	-0.376	2.515
31462_f_at	SSX5	SSX family member 5	-0.613	4.273
31465_g_at	DCT	dopachrome tautomerase	-0.253	2.853
31467_at	HLA-DOA	major histocompatibility complex, class II, DO alpha	-0.293	2.155
31470_at	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	-0.568	2.881
31471_at	ZNF674	zinc finger protein 674	-0.266	1.879
31476_g_at	TNKS	tankyrase	-0.781	5.134
31477_at	TFF3	trefoil factor 3	0.394	2.296
31481_s_at	TMSB10	thymosin beta 10	1.465	6.01
31484_at			-0.563	3.347
31491_s_at	CASP8	caspase 8	-0.634	2.905
31493_s_at	GH1///CSHL1///CSH2///CSH1	growth hormone 1///chorionic somatomammotropin hormone like 1///chorionic somatomammotropin hormone 2///chorionic somatomammotropin hormone 1	0.296	2.058
31494_at			-0.816	3.787
31499_s_at	FCGR3B	Fc fragment of IgG receptor IIIb	1.157	4.939
31501_at			-0.993	2.973
31503_at			-0.715	2.957
31506_s_at	DEFA1B///DEFA3///DEFA1	defensin alpha 1B///defensin alpha 3///defensin alpha 1	0.853	3.114
31508_at	TXNIP	thioredoxin interacting protein	0.777	3.711
31510_s_at	MIR4738///H3F3B///H3F3A	microRNA 4738///H3 histone, family 3B///H3 histone, family 3A	0.947	2.23
31511_at	RPS9	ribosomal protein S9	0.366	3.169
31526_f_at	CCDC144B///USP32P2///USP32P1///USP32///USP6	coiled-coil domain containing 144B (pseudogene)///ubiquitin specific peptidase 32 pseudogene 2///ubiquitin specific peptidase 32 pseudogene 1///ubiquitin specific peptidase 32///ubiquitin specific peptidase 6	0.989	2.499
31527_at	SNORA64///RPS2	small nucleolar RNA, H/ACA box 64///ribosomal protein S2	0.999	3.765
31528_f_at	HIST1H2BM	histone cluster 1, H2bm	-0.345	2.36
31533_s_at	KCND3	potassium voltage-gated channel subfamily D member 3	-0.511	3.113
31535_i_at			-0.67	2.505
31544_at	FOXI1	forkhead box I1	-0.959	6.68
31546_at	RPL18	ribosomal protein L18	0.869	3.046
31548_at	ADPRH	ADP-ribosylarginine hydrolase	-0.241	2.684
31549_at	MAS1	MAS1 proto-oncogene, G protein-coupled receptor	-0.327	2.462
31550_at	ADRB1	adrenoceptor beta 1	-0.476	2.095
31554_at	CHRND	cholinergic receptor nicotinic delta subunit	-0.342	2.737
31557_at	TMSB4X	thymosin beta 4, X-linked	0.806	5.376
31561_at			-0.282	2.042
31572_at	S100A12	S100 calcium binding protein A12	-0.397	3.555
31585_at	LOC100996542///GRM7	uncharacterized LOC100996542///glutamate metabotropic receptor 7	-0.531	3.317
31586_f_at	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant	2.348	2.617
31590_g_at	OR2H1///OR2H2	olfactory receptor family 2 subfamily H member 1///olfactory receptor family 2 subfamily H member 2	-0.663	3.491
31592_at			-0.307	2.55
31595_at	SARDH	sarcosine dehydrogenase	0.291	1.908
31597_r_at	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	-0.847	6.681
31600_s_at	PMS2P9///PMS2P5///PMS2P4///PMS2P2///PMS2P1	PMS1 homolog 2, mismatch repair system component pseudogene 9///PMS1 homolog 2, mismatch repair system component pseudogene 5///PMS1 homolog 2, mismatch repair system component pseudogene 4///PMS1 homolog 2, mismatch repair system component pseudogene 2///PMS1 homolog 2, mismatch repair system component pseudogene 1	0.527	3.308
31602_at	TBX6	T-box 6	-0.532	5.791
31610_at	PDZK1IP1	PDZK1 interacting protein 1	-1.339	3.894
31612_at	SCGB1D1	secretoglobin family 1D member 1	0.293	2.338
31622_f_at	MT1F	metallothionein 1F	-1.156	4.688
31623_f_at	MT1A	metallothionein 1A	-1.117	4.224
31626_i_at	AOC4P	amine oxidase, copper containing 4, pseudogene	-0.308	1.997
31627_f_at	AOC4P	amine oxidase, copper containing 4, pseudogene	-0.622	6.211
31635_g_at	PRH1	proline rich protein HaeIII subfamily 1	-0.749	4.76
31640_r_at	SOX1	SRY-box 1	-0.507	3.3
31643_at	NEU3	neuraminidase 3	-0.507	2.459
31653_at	SLC6A2	solute carrier family 6 member 2	-0.471	2.434
31656_at	DKFZP547J0410	DKFZP547J0410 protein	-0.464	1.903
31660_at	DKFZP434A062	uncharacterized LOC26102	-0.423	2.696
31662_at	VPS45	vacuolar protein sorting 45 homolog	-0.556	2.591
31663_at	HGC6.3	uncharacterized LOC100128124	-0.502	3.019
31664_at	AGFG2	ArfGAP with FG repeats 2	-0.502	1.965
31667_r_at	NR2E3	nuclear receptor subfamily 2 group E member 3	-0.351	2.456
31670_s_at	SRP72	signal recognition particle 72	0.689	3.3
31672_g_at	RBMS1	RNA binding motif single stranded interacting protein 1	0.637	4.131
31674_s_at	BRD3	bromodomain containing 3	-0.262	2.133
31675_s_at	PTENP1///PTEN	phosphatase and tensin homolog pseudogene 1///phosphatase and tensin homolog	1.068	2.892
31680_at	TOP1P2	topoisomerase (DNA) I pseudogene 2	0.725	3.331
31682_s_at	VCAN	versican	0.554	3.565
31683_at	THRA1/BTR	uncharacterized LOC105371807	-0.493	2.086
31684_at	ANXA2P1	annexin A2 pseudogene 1	0.973	4.047
31687_f_at	HBB	hemoglobin subunit beta	1.05	2.267
31688_at	LCE2B	late cornified envelope 2B	0.319	2.196
31691_g_at	GLUD1	glutamate dehydrogenase 1	-0.591	2.02
316_g_at	PRDM2	PR/SET domain 2	0.592	2.146
31705_at	SLURP1	secreted LY6/PLAUR domain containing 1	-0.196	1.96
31719_at	FN1	fibronectin 1	0.497	3.373
31720_s_at	FN1	fibronectin 1	0.993	5.028
31721_at	LPA	lipoprotein(a)	-1.117	5.264
31728_at	HLA-DOA	major histocompatibility complex, class II, DO alpha	1.004	6.227
31733_at	P2RX3	purinergic receptor P2X 3	-0.372	2.251
31735_at	PPP1R2P9	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 9	-0.29	2.241
31738_at			0.199	1.88
31740_s_at	PAX4	paired box 4	-0.364	2.458
31746_at	POM121L2	POM121 transmembrane nucleoporin like 2	-0.263	1.961
31748_at	POM121L2	POM121 transmembrane nucleoporin like 2	-0.728	5.887
31749_f_at	HIST1H2AK	histone cluster 1, H2ak	0.692	3.381
31750_at	HIST1H1B	histone cluster 1, H1b	-0.364	2.269
31757_at	STK35	serine/threonine kinase 35	-0.34	2.338
31760_at	SAG	S-antigen visual arrestin	-0.733	3.643
31762_at			-0.701	3.43
31763_at	OR7A5	olfactory receptor family 7 subfamily A member 5	-0.413	2.025
31766_s_at	DOCK10	dedicator of cytokinesis 10	-0.369	3.203
31768_at	HIST1H2AH///HIST1H2AG///HIST1H2AM///HIST1H2AL///HIST1H2AK///HIST1H2AI	histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2am///histone cluster 1, H2al///histone cluster 1, H2ak///histone cluster 1, H2ai	-0.423	2.793
31772_at	OVOL3	ovo like zinc finger 3	-0.406	3.445
31778_at	GJA8	gap junction protein alpha 8	-0.29	2.351
31783_at	RENBP	renin binding protein	-0.426	1.955
31789_at	CYP17A1	cytochrome P450 family 17 subfamily A member 1	-0.799	3.539
31792_at	ANXA3	annexin A3	0.991	2.354
31794_at	NT5C2	5'-nucleotidase, cytosolic II	0.818	3.08
31796_at	KIF1C	kinesin family member 1C	-0.45	2.512
31797_at	TBPL1	TATA-box binding protein like 1	0.654	3.554
317_at	LGMN	legumain	-0.66	4.046
31800_at			0.344	2.425
31802_at	RUBCN	RUN and cysteine rich domain containing beclin 1 interacting protein	0.758	5.297
31806_at	FMO1	flavin containing monooxygenase 1	-1.098	3.425
31808_at	ING3	inhibitor of growth family member 3	0.873	4.437
31812_at	GMPR	guanosine monophosphate reductase	-0.388	3.294
31815_r_at	LRP3	LDL receptor related protein 3	-0.572	3.137
31820_at	HCLS1	hematopoietic cell-specific Lyn substrate 1	2.689	8.889
31822_at	CUX1	cut like homeobox 1	-0.416	2.567
31824_at	ME1	malic enzyme 1	0.538	2.314
31826_at	FKBP15	FK506 binding protein 15	0.383	4.184
31831_at	SMTN	smoothelin	-0.31	2.606
31832_at	NEMP1	nuclear envelope integral membrane protein 1	0.445	3.023
31833_at	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha	-0.314	2.937
31834_r_at	ACSL6	acyl-CoA synthetase long-chain family member 6	-0.598	2.047
31835_at	HRG	histidine rich glycoprotein	-0.319	1.893
31838_at	FAM216A	family with sequence similarity 216 member A	0.678	3.359
31841_at	CTNNA2	catenin alpha 2	-0.596	1.875
31843_at	ESRRG	estrogen related receptor gamma	-0.826	3.703
31845_at	ELF4	E74 like ETS transcription factor 4	1.021	2.77
31847_at	USPL1	ubiquitin specific peptidase like 1	0.433	2.786
31849_at	VWA8	von Willebrand factor A domain containing 8	-0.632	3.209
31856_at	LRRC32	leucine rich repeat containing 32	0.457	2.65
31859_at	MMP9	matrix metallopeptidase 9	0.944	4.079
31863_at	RRP1B	ribosomal RNA processing 1B	0.888	4.403
31865_at	DBF4	DBF4 zinc finger	0.545	2.146
31868_at	STK16	serine/threonine kinase 16	-0.353	2.946
31869_at	SWAP70	SWAP switching B-cell complex 70kDa subunit	0.727	3.671
31870_at	CD37	CD37 molecule	1.184	4.405
31871_r_at	EHHADH	enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase	-0.81	3.11
31890_s_at	ZNF143	zinc finger protein 143	0.569	2.253
31895_at	GRIK1-AS2///BACH1	GRIK1 antisense RNA 2///BTB domain and CNC homolog 1	1.08	3.901
31906_at	HSBP1	heat shock factor binding protein 1	0.97	4.636
31915_at	DRP2	dystrophin related protein 2	-0.393	3.616
31918_at	PROX1	prospero homeobox 1	-0.493	2.988
31919_at	GPR171	G protein-coupled receptor 171	1.066	5.903
31921_at	OR2F1	olfactory receptor family 2 subfamily F member 1 (gene/pseudogene)	0.472	3.009
31925_s_at	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1	-0.345	2.788
31927_s_at	C21orf33	chromosome 21 open reading frame 33	-0.443	2.246
31933_r_at	BTF3	basic transcription factor 3	-0.591	6.639
31936_s_at	KIAA0430	KIAA0430	0.743	7.563
31943_g_at	TULP3	tubby like protein 3	-0.467	2.37
31947_r_at	FOXG1	forkhead box G1	-0.381	1.929
31950_at	PABPC1	poly(A) binding protein cytoplasmic 1	1.117	4.064
31951_s_at	PABPC1	poly(A) binding protein cytoplasmic 1	0.527	1.942
31961_r_at			-0.495	2.832
31964_at			-0.622	2.157
31966_at	DIO1	deiodinase, iodothyronine type I	-1.92	4.891
31969_i_at	PPEF2	protein phosphatase with EF-hand domain 2	-0.385	2.313
31973_at	CACNA1G	calcium voltage-gated channel subunit alpha1 G	-0.382	2.201
31975_at	MT4	metallothionein 4	0.741	7.535
31976_at	MEP1B	meprin A subunit beta	-0.442	3.203
31978_at	KIF25	kinesin family member 25	-0.369	2.069
31994_at	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2	-0.767	2.971
31998_at	ABCA1	ATP binding cassette subfamily A member 1	-0.565	3.485
32004_s_at	CDK11A///CDK11B	cyclin dependent kinase 11A///cyclin dependent kinase 11B	-0.405	2.29
32005_at	PMCH	pro-melanin concentrating hormone	0.368	2.471
32012_at	PCNX1	pecanex homolog 1 (Drosophila)	-0.649	2.102
32015_at	PYGO1	pygopus family PHD finger 1	-0.792	4.265
32024_at	KHDRBS2	KH RNA binding domain containing, signal transduction associated 2	-0.601	4.829
32027_at	PDZK1P1///PDZK1	PDZ domain containing 1 pseudogene 1///PDZ domain containing 1	-1.63	3.176
32034_at	ZNF217	zinc finger protein 217	0.567	2.915
32035_at	HLA-DRB4	major histocompatibility complex, class II, DR beta 4	1.873	7.369
32047_at	DFFA	DNA fragmentation factor subunit alpha	-0.462	4.451
32048_at	TCEB3-AS1	TCEB3 antisense RNA 1	-0.517	2.711
32050_r_at	TCEB3	transcription elongation factor B subunit 3	-0.492	4.904
32052_at	HBB	hemoglobin subunit beta	2.082	2.978
32059_at	UBXN2B	UBX domain protein 2B	0.932	2.806
32069_at	N4BP1	NEDD4 binding protein 1	1.177	2.002
32070_at	PTPRCAP	protein tyrosine phosphatase, receptor type C associated protein	0.701	5.153
32072_at	MSLN	mesothelin	-0.436	6.984
32076_at	RCAN2	regulator of calcineurin 2	-0.492	2.174
32079_at	KIF13B	kinesin family member 13B	-0.479	4.971
32084_at	SLC22A5	solute carrier family 22 member 5	-0.429	2.387
32086_at	ZNF184	zinc finger protein 184	-0.448	2.416
32087_at	HSF2	heat shock transcription factor 2	0.678	3.543
32092_at	SDC3	syndecan 3	0.398	3.684
32095_at	IPO13	importin 13	-0.383	4.294
32100_r_at	GALNS	galactosamine (N-acetyl)-6-sulfatase	-0.628	3.117
32103_at	SERPINF2	serpin family F member 2	-0.52	3.174
32104_i_at	CAMK2G	calcium/calmodulin dependent protein kinase II gamma	-0.397	3.124
32105_f_at	CAMK2G	calcium/calmodulin dependent protein kinase II gamma	-0.262	2.545
32107_at	C2CD2	C2 calcium dependent domain containing 2	0.269	2.042
32112_s_at	AIM1	absent in melanoma 1	0.924	5.607
32113_at	AIM1	absent in melanoma 1	-0.543	2.072
32114_s_at	SPECC1L-ADORA2A///ADORA2A	SPECC1L-ADORA2A readthrough (NMD candidate)///adenosine A2a receptor	0.43	2.633
32116_at	TMC6	transmembrane channel like 6	0.371	1.966
32122_at	SUOX	sulfite oxidase	-0.462	2.361
32129_at	RNF115	ring finger protein 115	0.376	1.993
32132_at	DZIP3	DAZ interacting zinc finger protein 3	-0.456	3.671
32134_at	TES	testin LIM domain protein	0.783	4.489
32140_at	SORL1	sortilin related receptor 1	0.849	2.077
32143_at	OSR2	odd-skipped related transciption factor 2	-0.358	3.273
32147_at	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1	-0.587	2.944
32148_at	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1	0.637	6.562
32151_at	RANGAP1	Ran GTPase activating protein 1	0.424	3.094
32157_at	PPP1CA	protein phosphatase 1 catalytic subunit alpha	0.675	2.177
32162_r_at			-0.902	5.811
32165_at	SRSF7	serine and arginine rich splicing factor 7	0.465	2.435
32166_at	TLN1	talin 1	0.658	2.235
32169_at	FBXO21	F-box protein 21	-0.831	4.457
32170_g_at	FBXO21	F-box protein 21	-1.064	4.409
32173_at	RIDA	reactive intermediate imine deaminase A homolog	-1.945	3.825
32174_at	SLC9A3R1	SLC9A3 regulator 1	-0.771	4.25
32175_at	SEPT7	septin 7	1.122	4.577
32183_at	SRSF11	serine and arginine rich splicing factor 11	1.127	4.38
32189_g_at	MYT1	myelin transcription factor 1	-0.516	5.558
32190_at	FADS2	fatty acid desaturase 2	-0.325	2.35
32191_at	PCGF2	polycomb group ring finger 2	-0.298	3.317
32192_g_at	PCGF2	polycomb group ring finger 2	-0.455	3.331
32193_at	PLXNC1	plexin C1	1.451	2.586
32196_at	CAND1	cullin associated and neddylation dissociated 1	0.451	3.644
321_at	WASL	Wiskott-Aldrich syndrome like	-0.621	3.266
32203_at	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1	0.752	7.754
32204_at	PDE6G	phosphodiesterase 6G	-0.291	2.931
32207_at	MPP1	membrane palmitoylated protein 1	-0.53	5.407
32208_at	KIAA0355	KIAA0355	0.49	2.077
32211_at	PSMD13	proteasome 26S subunit, non-ATPase 13	0.609	5.185
32217_at	CSRNP2	cysteine and serine rich nuclear protein 2	0.673	5.274
32220_at	HMGB1	high mobility group box 1	0.736	2.895
32222_at	NFATC2IP	nuclear factor of activated T-cells 2 interacting protein	0.467	3.699
32223_at	SUGP2	SURP and G-patch domain containing 2	0.378	2.545
32225_at	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	-0.677	2.108
32227_at	SRGN	serglycin	2.966	9.135
32231_at			-0.543	2.542
32233_at	TOR1B	torsin family 1 member B	0.585	2.737
32235_at	MGRN1	mahogunin ring finger 1	0.359	2.153
32241_at	TARDBP	TAR DNA binding protein	0.866	4.826
32249_at	CFHR1///CFH	complement factor H related 1///complement factor H	1.71	3.554
32253_at	RERE	arginine-glutamic acid dipeptide repeats	0.438	2.097
32260_at	PEA15	phosphoprotein enriched in astrocytes 15	1.253	9.152
32263_at	CCNB2	cyclin B2	0.284	2.471
32264_at	GZMM	granzyme M	0.474	4.68
32268_at	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1	-0.336	1.861
32272_at	TUBA1B	tubulin alpha 1b	1.712	10.366
32274_r_at	XRCC6	X-ray repair cross complementing 6	-1.107	6.036
32275_at	SLPI	secretory leukocyte peptidase inhibitor	0.804	4.4
32278_at	CHML	CHM like, Rab escort protein 2	0.4	3.413
32282_at			0.339	2.206
32287_s_at	KLRC3///KLRC2///KLRC1	killer cell lectin like receptor C3///killer cell lectin like receptor C2///killer cell lectin like receptor C1	0.719	2.275
32289_at	PTPRS	protein tyrosine phosphatase, receptor type S	-0.491	4.317
32290_at	SCAMP1	secretory carrier membrane protein 1	-0.429	3.032
32295_at	HCG9	HLA complex group 9 (non-protein coding)	-0.314	3.171
32297_s_at	KLRC2///KLRC1	killer cell lectin like receptor C2///killer cell lectin like receptor C1	0.662	4.14
32298_at	ADAM2	ADAM metallopeptidase domain 2	-0.922	3.181
32306_g_at	COL1A2	collagen type I alpha 2 chain	1.548	3.873
32307_s_at	COL1A2	collagen type I alpha 2 chain	1.708	3.446
32315_at	RPS24	ribosomal protein S24	0.877	2.922
32317_s_at	SLX1B-SULT1A4///SLX1A-SULT1A3///SULT1A4///SULT1A3///SULT1A1///SULT1A2	SLX1B-SULT1A4 readthrough (NMD candidate)///SLX1A-SULT1A3 readthrough (NMD candidate)///sulfotransferase family 1A member 4///sulfotransferase family 1A member 3///sulfotransferase family 1A member 1///sulfotransferase family 1A member 2	0.953	3.713
32318_s_at	ACTB	actin beta	0.554	2.602
32320_at	ANXA13	annexin A13	-0.546	1.855
32321_at	HLA-E	major histocompatibility complex, class I, E	2.016	7.427
32323_at	TRH	thyrotropin releasing hormone	-0.652	2.508
32324_at	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta	0.883	8.266
32328_at	KRT85	keratin 85	-0.292	2.724
32331_at	LOC100507855///AK4	adenylate kinase 4, mitochondrial-like///adenylate kinase 4	-1.598	4.936
32332_at	IDH2	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial	-0.559	2.582
32333_at	ZNF549	zinc finger protein 549	-0.449	2.064
32342_at	CYP11B2	cytochrome P450 family 11 subfamily B member 2	-0.334	2.021
32346_at			-0.649	2.269
32347_at	CYP4F11	cytochrome P450 family 4 subfamily F member 11	-0.343	2.433
32350_at	MALT1	MALT1 paracaspase	0.329	2.342
32351_at	GPR20	G protein-coupled receptor 20	-0.341	2.733
32356_at	KCNJ5	potassium voltage-gated channel subfamily J member 5	-0.479	2.525
32357_at	KCNIP4	potassium voltage-gated channel interacting protein 4	-0.288	1.993
32362_r_at	TOP3B	topoisomerase (DNA) III beta	-0.632	4.042
32363_at	CH25H	cholesterol 25-hydroxylase	-0.317	2.427
32366_at	CNTFR	ciliary neurotrophic factor receptor	-0.359	3.195
32374_at	PCDHA12	protocadherin alpha 12	0.449	4.836
32382_at	UPK1B	uroplakin 1B	-0.338	2.232
32385_at			0.7	5.504
32392_s_at	UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10	UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A7///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10	-2.024	4.744
323_at	PSKH1	protein serine kinase H1	-0.364	2.166
32401_at	NRTN	neurturin	0.326	3.066
32408_s_at	HNRNPCL4///HNRNPCL3///HNRNPCL2///HNRNPCL1///HNRNPC	heterogeneous nuclear ribonucleoprotein C-like 4///heterogeneous nuclear ribonucleoprotein C-like 3///heterogeneous nuclear ribonucleoprotein C-like 2///heterogeneous nuclear ribonucleoprotein C-like 1///heterogeneous nuclear ribonucleoprotein C (C1/C2)	0.725	3.201
32409_at	PIGO	phosphatidylinositol glycan anchor biosynthesis class O	-0.403	1.975
32410_at	MYOG	myogenin (myogenic factor 4)	-0.426	3.94
