ID	Gene.symbol	Gene.title	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)
34803_at	USP12	ubiquitin specific peptidase 12	-0.413	3.647
34830_at	VOPP1	vesicular, overexpressed in cancer, prosurvival protein 1	1.088	8.464
34833_at	FAM32A	family with sequence similarity 32 member A	0.646	5.132
34834_at	NUDCD3	NudC domain containing 3	-0.559	3.918
34837_at	SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like	0.427	2.631
34838_at	HSDL2	hydroxysteroid dehydrogenase like 2	-0.419	3.653
34840_at	SERINC5	serine incorporator 5	0.682	2.561
34844_at	ZNF516	zinc finger protein 516	-0.339	2.105
34853_at	LOC100506718///FLRT2	uncharacterized LOC100506718///fibronectin leucine rich transmembrane protein 2	-0.651	1.983
34872_at	CHMP7	charged multivesicular body protein 7	-0.746	5.98
34877_at	JAK1	Janus kinase 1	1.393	6.473
34878_at	SMC4	structural maintenance of chromosomes 4	0.595	2.235
34879_at	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	0.7	2.768
34888_at	HEXB	hexosaminidase subunit beta	1.233	9.089
34891_at	DYNLL1	dynein light chain LC8-type 1	0.692	2.079
34892_at	TNFRSF10B	TNF receptor superfamily member 10b	0.395	4.781
34894_r_at	PRSS22	protease, serine 22	-0.533	4.454
34897_at			0.506	3.835
34901_at	USP2	ubiquitin specific peptidase 2	-0.684	5.128
34903_at	ATXN7L1	ataxin 7 like 1	-0.402	3.234
34911_r_at	PHTF2	putative homeodomain transcription factor 2	-0.843	2.628
34912_at	DAPK2	death associated protein kinase 2	-0.55	1.999
34916_s_at	TNFRSF4	TNF receptor superfamily member 4	-0.305	2.282
