ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)
152_f_at	HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I	histone cluster 2, H4b///histone cluster 4, H4///histone cluster 2, H4a///histone cluster 1, H4l///histone cluster 1, H4e///histone cluster 1, H4b///histone cluster 1, H4h///histone cluster 1, H4c///histone cluster 1, H4j///histone cluster 1, H4k///histone cluster 1, H4f///histone cluster 1, H4d///histone cluster 1, H4a///histone cluster 1, H4i	-0.468	5.442
1530_g_at	FRY	FRY microtubule binding protein	0.848	1.882
1532_g_at	N4BP2L2	NEDD4 binding protein 2 like 2	0.809	7.668
1534_at	IL12RB2	interleukin 12 receptor subunit beta 2	-0.337	1.512
1535_at	FOXN3	forkhead box N3	0.233	1.533
1538_s_at	IL2	interleukin 2	-0.528	4.162
1539_at	NRAS	neuroblastoma RAS viral oncogene homolog	-0.597	3.596
1540_f_at	IFNA5	interferon alpha 5	-0.403	3.019
1542_at	EGF	epidermal growth factor	-0.485	5.977
1543_at	MAP2K6	mitogen-activated protein kinase kinase 6	-0.494	2.205
1544_at	BLM	Bloom syndrome RecQ like helicase	-0.604	5.571
1547_at	JAK3	Janus kinase 3	-0.443	5.751
1548_s_at	IL10	interleukin 10	-0.666	9.089
1551_g_at	MRPL28	mitochondrial ribosomal protein L28	-0.439	3.451
1553_r_at	CYP2A13	cytochrome P450 family 2 subfamily A member 13	-1.122	12.454
1554_f_at	CYP2A13	cytochrome P450 family 2 subfamily A member 13	-0.673	8.601
1555_f_at	CYP2A7///CYP2A6	cytochrome P450 family 2 subfamily A member 7///cytochrome P450 family 2 subfamily A member 6	-0.259	2.276
1556_at	RBM5	RNA binding motif protein 5	0.595	3.28
1559_at	PAK2	p21 (RAC1) activated kinase 2	-1.166	8.311
155_s_at	SUMO1	small ubiquitin-like modifier 1	1.06	5.569
1561_at	LOC101927562///DUSP8	uncharacterized LOC101927562///dual specificity phosphatase 8	-0.984	8.733
1563_s_at	TNFRSF1A	TNF receptor superfamily member 1A	-0.494	2.718
1564_at	AKT1	AKT serine/threonine kinase 1	0.383	5.086
1565_s_at	GRB2	growth factor receptor bound protein 2	-0.348	1.835
1566_at	NCAM1	neural cell adhesion molecule 1	-0.757	6.074
1568_s_at	IFNAR2	interferon alpha and beta receptor subunit 2	0.461	1.579
1569_r_at	IL10RB	interleukin 10 receptor subunit beta	-0.618	4.056
156_s_at	GPR19	G protein-coupled receptor 19	-0.666	3.893
1571_f_at	RB1	RB transcriptional corepressor 1	0.713	4.579
1572_s_at	INSR	insulin receptor	-0.544	4.411
1573_at	PDGFB	platelet derived growth factor subunit B	-0.399	6.996
1574_s_at	IL4	interleukin 4	-1.308	4.777
1575_at	ABCB1	ATP binding cassette subfamily B member 1	1.101	5.668
1576_g_at	ABCB4///ABCB1	ATP binding cassette subfamily B member 4///ATP binding cassette subfamily B member 1	-0.377	3.144
1577_at	AR	androgen receptor	0.222	1.77
157_at	PRAME	preferentially expressed antigen in melanoma	-1.1	7.407
1580_f_at	IFNA4	interferon alpha 4	-0.337	1.917
1585_at	ERBB3	erb-b2 receptor tyrosine kinase 3	1.73	4.922
1587_at	RARG	retinoic acid receptor gamma	-0.362	3.103
1588_at	IFNAR2	interferon alpha and beta receptor subunit 2	-0.295	2.265
1592_at	TOP2A	topoisomerase (DNA) II alpha	-0.511	2.788
1594_at	POLR2C	RNA polymerase II subunit C	0.335	2.632
1596_g_at	TEK	TEK receptor tyrosine kinase	1.337	4.917
1598_g_at	GAS6	growth arrest specific 6	-0.455	6.681
159_at	VEGFC	vascular endothelial growth factor C	0.446	4.111
160023_at	WNT2	Wnt family member 2	-0.629	3.903
160024_at	CDK10	cyclin dependent kinase 10	-0.413	4.259
160025_at	TGFA	transforming growth factor alpha	-0.49	3.944
160028_s_at	RET	ret proto-oncogene	-0.499	4.917
160033_s_at	XRCC1	X-ray repair cross complementing 1	-0.455	5.341
160034_s_at	FANCC	Fanconi anemia complementation group C	-0.511	5.112
160035_at	CEACAM7	carcinoembryonic antigen related cell adhesion molecule 7	-0.699	5.109
160036_at	ESRRB	estrogen related receptor beta	-0.825	7.245
160038_s_at	INS	insulin	-0.711	9.446
160039_at	MAPK4	mitogen-activated protein kinase 4	-0.441	5.994
160040_at	EDN3	endothelin 3	-0.415	2.076
160041_at	PTPN18	protein tyrosine phosphatase, non-receptor type 18	-0.72	6.065
160042_s_at	HOXB6	homeobox B6	-0.368	4.289
160044_g_at	ACO2	aconitase 2	0.621	2.192
1601_s_at	IGFBP5	insulin like growth factor binding protein 5	-0.587	4.806
1602_at	PRKCI	protein kinase C iota	1.737	6.991
1603_g_at	PRKCI	protein kinase C iota	1.369	9.002
1604_at	EPHA5	EPH receptor A5	-1.054	4.662
1605_g_at	EPHA5	EPH receptor A5	-0.674	6.92
1607_at	CDKN2B	cyclin dependent kinase inhibitor 2B	-0.609	4.433
1608_at	MET	MET proto-oncogene, receptor tyrosine kinase	-0.466	2.055
1609_g_at	MET	MET proto-oncogene, receptor tyrosine kinase	-0.289	2.321
160_at	STAM	signal transducing adaptor molecule	0.444	6.021
1610_s_at	DHFR	dihydrofolate reductase	-0.403	4.352
1611_s_at	IFNG	interferon gamma	-0.286	2.892
1612_s_at	JUND	JunD proto-oncogene, AP-1 transcription factor subunit	0.912	3.34
1613_s_at	USP32///USP6	ubiquitin specific peptidase 32///ubiquitin specific peptidase 6	-0.773	7.361
1614_s_at	CCDC144B///USP32P2///USP32P1///USP32///USP6	coiled-coil domain containing 144B (pseudogene)///ubiquitin specific peptidase 32 pseudogene 2///ubiquitin specific peptidase 32 pseudogene 1///ubiquitin specific peptidase 32///ubiquitin specific peptidase 6	-0.413	2.893
1616_at	FGF9	fibroblast growth factor 9	1.113	5.252
1619_g_at	CYP19A1	cytochrome P450 family 19 subfamily A member 1	-0.431	4.472
1624_at	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1	0.553	5.137
1625_at	IGF1	insulin like growth factor 1	-0.767	4.356
1626_at	MUSK	muscle associated receptor tyrosine kinase	-0.961	8.46
1628_at			-0.395	5.217
162_at	USP11	ubiquitin specific peptidase 11	-0.367	1.789
1631_at			-0.479	4.636
1632_at			-1.447	4.436
1634_s_at	TGFB1	transforming growth factor beta 1	-0.816	10.933
1635_at	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	0.439	5.286
1637_at	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	0.491	6.011
1638_at	ETV6	ETS variant 6	-0.675	4.941
163_at	DVL1	dishevelled segment polarity protein 1	-0.552	6.444
1640_at	ST13	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	0.788	2.437
1641_s_at	DDB1	damage specific DNA binding protein 1	0.373	2.65
1642_at	MTA1	metastasis associated 1	-0.645	6.94
1643_g_at	MTA1	metastasis associated 1	0.652	3.522
1644_at	EIF3I	eukaryotic translation initiation factor 3 subunit I	1.248	6.012
1645_at	KISS1	KiSS-1 metastasis-suppressor	-0.433	4.77
1646_at	XIAP	X-linked inhibitor of apoptosis	-0.544	2.507
1647_at	IQGAP2	IQ motif containing GTPase activating protein 2	0.433	1.954
164_at	GNB3	G protein subunit beta 3	-0.515	6.033
1650_g_at	SMOX	spermine oxidase	-0.723	7.562
1651_at	UBE2C	ubiquitin conjugating enzyme E2 C	-0.517	3.093
1652_at	PIM2	Pim-2 proto-oncogene, serine/threonine kinase	-0.375	2.973
1656_s_at	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	-0.354	1.568
1657_at	PTPRR	protein tyrosine phosphatase, receptor type R	-0.547	3.478
1659_s_at	RHEB	Ras homolog enriched in brain	1.143	6.643
1660_at	UBE2N	ubiquitin conjugating enzyme E2 N	1.396	6.7
1661_i_at	KLK3	kallikrein related peptidase 3	-0.356	2.187
1662_r_at			-1.106	7.214
1663_at	RARG	retinoic acid receptor gamma	-0.375	4.757
1665_s_at	TYMP	thymidine phosphorylase	-0.506	3.465
1666_at	IFNA1	interferon alpha 1	-0.872	7.937
1667_s_at	CYP4B1	cytochrome P450 family 4 subfamily B member 1	-0.733	7.565
166_at	GPR68	G protein-coupled receptor 68	-0.512	5.035
1674_at	YES1	YES proto-oncogene 1, Src family tyrosine kinase	1.128	7.08
1675_at	RASA1	RAS p21 protein activator 1	0.692	7.776
1676_s_at	MIR3654///EEF1G	microRNA 3654///eukaryotic translation elongation factor 1 gamma	0.454	1.684
1677_at	IGFBP5	insulin like growth factor binding protein 5	-0.527	4.062
1678_g_at	IGFBP5	insulin like growth factor binding protein 5	0.651	4.08
167_at	EIF5	eukaryotic translation initiation factor 5	0.89	5.137
1684_s_at	WT1	Wilms tumor 1	-0.368	3.105
1685_at	SPHAR///RAB4A	S-phase response (cyclin related)///RAB4A, member RAS oncogene family	0.594	4.013
1688_s_at	MNAT1	MNAT1, CDK activating kinase assembly factor	-0.398	2.608
1689_at	DCHS1	dachsous cadherin-related 1	-0.566	3.547
1690_at	PCDHGB5///PCDHGB4	protocadherin gamma subfamily B, 5///protocadherin gamma subfamily B, 4	-0.671	5.822
1691_at	PCDHGA12	protocadherin gamma subfamily A, 12	-0.629	3.699
1692_s_at	GFRA2	GDNF family receptor alpha 2	-0.792	6.745
1693_s_at	TIMP1	TIMP metallopeptidase inhibitor 1	0.458	2.361
1694_s_at	HNRNPU	heterogeneous nuclear ribonucleoprotein U	-0.533	2.871
1695_at	NEDD8	neural precursor cell expressed, developmentally down-regulated 8	0.724	7.555
1696_at	POLB	DNA polymerase beta	-0.258	3.221
1698_g_at	MAP2K5	mitogen-activated protein kinase kinase 5	0.402	1.905
169_at	CDX1	caudal type homeobox 1	-0.999	5.63
1700_at	MIR3190///MIR3191///BBC3	microRNA 3190///microRNA 3191///BCL2 binding component 3	-0.36	2.927
1701_at	TEP1	telomerase associated protein 1	-0.479	6.233
1702_at	IL2RA	interleukin 2 receptor subunit alpha	-0.74	3.061
1703_g_at	E2F4	E2F transcription factor 4	-0.296	2.542
1704_at	VAV2	vav guanine nucleotide exchange factor 2	-0.597	3.241
1705_s_at	RARB	retinoic acid receptor beta	-0.733	5.247
1706_at	ARAF	A-Raf proto-oncogene, serine/threonine kinase	-0.505	6.456
1707_g_at	ARAF	A-Raf proto-oncogene, serine/threonine kinase	-0.489	5.813
1708_at	MAPK10	mitogen-activated protein kinase 10	0.763	5.314
1709_g_at	MAPK10	mitogen-activated protein kinase 10	-0.285	2.201
170_at	CDX2	caudal type homeobox 2	-0.591	7.208
1712_s_at	MAP2K4	mitogen-activated protein kinase kinase 4	-0.477	3.157
1713_s_at	CDKN2A	cyclin dependent kinase inhibitor 2A	-0.728	6.613
1714_at	RREB1	ras responsive element binding protein 1	-0.312	2.084
1715_at	TNFSF10	tumor necrosis factor superfamily member 10	1.882	5.591
1716_at	KSR1	kinase suppressor of ras 1	-0.293	3.223
1717_s_at	BIRC3	baculoviral IAP repeat containing 3	1.619	3.94
1718_at	ARPC2	actin related protein 2/3 complex subunit 2	0.684	3.861
1719_at	MSH3	mutS homolog 3	1.446	7.994
171_at	VBP1	VHL binding protein 1	1.182	7.015
1720_at	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	-0.766	7.032
1722_at	MAP2K5	mitogen-activated protein kinase kinase 5	-0.667	5.661
1723_g_at	ERBB3	erb-b2 receptor tyrosine kinase 3	-0.536	5.819
1724_at	E2F4	E2F transcription factor 4	-0.258	2.404
1725_s_at	UBE3A	ubiquitin protein ligase E3A	1.156	5.706
1728_at	COMMD3-BMI1///BMI1	COMMD3-BMI1 readthrough///BMI1 proto-oncogene, polycomb ring finger	1.01	5.324
172_at	INPP5D	inositol polyphosphate-5-phosphatase D	-0.411	1.959
1730_s_at	FGF4	fibroblast growth factor 4	-0.492	2.355
1732_at	FGF5	fibroblast growth factor 5	-0.597	3.289
1735_g_at	TGFB3	transforming growth factor beta 3	-0.502	4.168
1736_at	IGFBP6	insulin like growth factor binding protein 6	-0.353	1.702
1737_s_at	IGFBP4	insulin like growth factor binding protein 4	0.971	2.783
1738_at	CDC25A	cell division cycle 25A	-0.535	5.642
1739_at	FOLH1B///FOLH1	folate hydrolase 1B///folate hydrolase (prostate-specific membrane antigen) 1	0.984	4.731
173_at	CDH18	cadherin 18	-0.754	4.515
1743_s_at	SKIL	SKI-like proto-oncogene	-0.501	1.532
1744_at			-0.465	4.855
1745_at	RET	ret proto-oncogene	-0.884	6.131
1747_at	DNASE2	deoxyribonuclease 2, lysosomal	-0.321	4.154
1748_s_at	KLF1	Kruppel like factor 1	-0.413	2.983
1749_at	GCDH	glutaryl-CoA dehydrogenase	0.461	3.483
174_s_at	ITSN2	intersectin 2	0.665	2.242
1750_at	FARSA	phenylalanyl-tRNA synthetase alpha subunit	-0.423	5.443
1751_g_at	FARSA	phenylalanyl-tRNA synthetase alpha subunit	0.467	4.259
1753_s_at	RAD23A	RAD23 homolog A, nucleotide excision repair protein	-0.584	4.118
1757_i_at	CYP3A7-CYP3A51P///CYP3A7	CYP3A7-CYP3A51P readthrough///cytochrome P450 family 3 subfamily A member 7	-1.504	2.675
1760_s_at	PTPN7	protein tyrosine phosphatase, non-receptor type 7	-0.603	7.992
1761_at	PDGFRL	platelet derived growth factor receptor like	-0.64	4.312
1762_at	PMS2P4	PMS1 homolog 2, mismatch repair system component pseudogene 4	-0.803	4.773
1763_at	PMS2P5	PMS1 homolog 2, mismatch repair system component pseudogene 5	-0.407	3.761
1764_s_at	MAZ	MYC associated zinc finger protein	-0.574	4.033
1765_at	CASP10	caspase 10	-0.346	2.043
1767_s_at	TGFB3	transforming growth factor beta 3	-0.33	2.499
1769_at	MAST1	microtubule associated serine/threonine kinase 1	-0.522	5.432
176_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	1.102	8.181
1771_s_at	PDGFRB	platelet derived growth factor receptor beta	-0.378	3.912
1772_s_at	FNTA	farnesyltransferase, CAAX box, alpha	0.802	3.935
1773_at	CHURC1-FNTB///FNTB	CHURC1-FNTB readthrough///farnesyltransferase, CAAX box, beta	-0.41	6.709
1775_at	POLA2	DNA polymerase alpha 2, accessory subunit	-0.408	3.151
1777_at	RIN1	Ras and Rab interactor 1	-0.696	6.048
1778_g_at	RIN1	Ras and Rab interactor 1	-0.773	5.791
1779_s_at	PIM1	Pim-1 proto-oncogene, serine/threonine kinase	-0.386	1.926
177_at	PLD1	phospholipase D1	-0.519	2.968
1780_at	FGR	FGR proto-oncogene, Src family tyrosine kinase	-0.399	3.492
1781_at	ELK1	ELK1, ETS transcription factor	-0.573	6.129
1785_at	KDM5A	lysine demethylase 5A	1.01	8.487
1786_at	MERTK	MER proto-oncogene, tyrosine kinase	-0.37	4.04
1787_at	CDKN1C	cyclin dependent kinase inhibitor 1C	0.303	2.268
1788_s_at	DUSP4	dual specificity phosphatase 4	-0.46	5.577
1789_at	COPS5	COP9 signalosome subunit 5	1.537	9.077
178_f_at	PMS2P1	PMS1 homolog 2, mismatch repair system component pseudogene 1	0.523	3.43
1791_s_at	IFNA2	interferon alpha 2	-0.385	3.317
1794_at	CCND3	cyclin D3	0.283	2.749
1796_s_at	MIR8085///BCL3	microRNA 8085///B-cell CLL/lymphoma 3	-0.999	9.48
1798_at	SLC39A6	solute carrier family 39 member 6	1.393	7.937
179_at	DTX2P1-UPK3BP1-PMS2P11	DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene	-0.645	8.127
1800_g_at	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	-0.644	3.226
1803_at	CDK1	cyclin dependent kinase 1	-0.855	6.312
1804_at	KLK3	kallikrein related peptidase 3	-0.938	9.861
1805_g_at	KLK3	kallikrein related peptidase 3	-0.913	3.542
1807_g_at	MCF2	MCF.2 cell line derived transforming sequence	-0.758	5.287
1808_s_at	FAS	Fas cell surface death receptor	-0.334	2.782
180_at	MBOAT7	membrane bound O-acyltransferase domain containing 7	-0.666	3.295
1810_s_at	PRKCD	protein kinase C delta	-0.664	5.368
1811_at	PTPRH	protein tyrosine phosphatase, receptor type H	-0.649	3.845
1813_at	RHBDF1	rhomboid 5 homolog 1	-0.686	4.552
1814_at	TGFBR2	transforming growth factor beta receptor 2	0.868	4.373
1815_g_at	TGFBR2	transforming growth factor beta receptor 2	1.337	5.999
1816_at	RASA2	RAS p21 protein activator 2	-0.197	1.697
181_g_at	MBOAT7	membrane bound O-acyltransferase domain containing 7	-0.354	1.907
1821_at	RAP2B	RAP2B, member of RAS oncogene family	-0.347	3.638
1822_at	RET	ret proto-oncogene	-0.545	2.036
1823_g_at	RET	ret proto-oncogene	-0.693	6.246
1825_at	IQGAP1	IQ motif containing GTPase activating protein 1	1.029	4.428
1826_at	RHOB	ras homolog family member B	0.412	3.689
1827_s_at	MYC	v-myc avian myelocytomatosis viral oncogene homolog	-0.938	7.516
182_at	ITPR3	inositol 1,4,5-trisphosphate receptor type 3	0.442	2.114
1831_at	BMP5	bone morphogenetic protein 5	-0.245	1.693
1833_at	CDK2	cyclin dependent kinase 2	-0.29	4.142
1836_at	CCNI	cyclin I	0.687	3.935
1837_at	RRAS2	related RAS viral (r-ras) oncogene homolog 2	0.558	5.027
1838_g_at	RRAS2	related RAS viral (r-ras) oncogene homolog 2	0.467	3.968
1839_at	RAN	RAN, member RAS oncogene family	0.908	3.872
183_at	MAP2	microtubule associated protein 2	-0.63	4.678
1840_g_at	RAN	RAN, member RAS oncogene family	1.015	3.791
1844_s_at	MAP2K1	mitogen-activated protein kinase kinase 1	0.365	3.299
1845_at	MAP2K4	mitogen-activated protein kinase kinase 4	0.213	2.214
1846_at	LGALS8	galectin 8	0.974	5.272
1848_at	RAP1A	RAP1A, member of RAS oncogene family	1.678	6.069
1849_s_at	ARID4A	AT-rich interaction domain 4A	-0.512	3.066
184_at	APLNR	apelin receptor	-0.399	3.298
1850_at	MLH1	mutL homolog 1	-0.48	3.002
1851_s_at	FASLG	Fas ligand	-0.55	6.409
1853_at	WNT1	Wnt family member 1	-0.676	9.013
1855_at	FGF3	fibroblast growth factor 3	-0.473	4.478
1857_at	SMAD7	SMAD family member 7	0.615	4.742
1858_at	FASLG	Fas ligand	-0.455	2.711
185_at	NOVA1	NOVA alternative splicing regulator 1	0.45	2.931
1861_at	BAD	BCL2 associated agonist of cell death	0.267	1.911
1862_at	ATM	ATM serine/threonine kinase	-0.368	1.787
1865_at	SKIL	SKI-like proto-oncogene	-1.229	4.839
1867_at	CFLAR	CASP8 and FADD like apoptosis regulator	-0.756	2.926
1868_g_at	CFLAR	CASP8 and FADD like apoptosis regulator	0.262	1.941
1869_at	TERT	telomerase reverse transcriptase	-0.234	2.01
186_at	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2	-0.87	2.927
1870_at	PTPN11	protein tyrosine phosphatase, non-receptor type 11	-0.983	5.447
1871_g_at	PTPN11	protein tyrosine phosphatase, non-receptor type 11	-0.414	1.55
1873_at	XPC	XPC complex subunit, DNA damage recognition and repair factor	0.797	9.616
1875_f_at	PMS2P3	PMS1 homolog 2, mismatch repair system component pseudogene 3	0.796	7.02
1877_g_at	RALA	RALA Ras like proto-oncogene A	1.049	10.389
1878_g_at	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit	-0.533	6.442
1880_at	MDM2	MDM2 proto-oncogene	-0.43	1.59
1882_g_at	MECOM	MDS1 and EVI1 complex locus	0.9	4.786
1884_s_at	PCNA	proliferating cell nuclear antigen	0.969	5.79
1886_at	WNT7A	Wnt family member 7A	-0.559	4.893
1887_g_at	WNT7A	Wnt family member 7A	-0.279	2.082
1888_s_at	KIT	KIT proto-oncogene receptor tyrosine kinase	-0.432	4.259
1892_s_at	NTRK1	neurotrophic receptor tyrosine kinase 1	-0.633	5.556
1894_f_at	NF2	neurofibromin 2	-2.229	13.771
1896_s_at	ABCC1	ATP binding cassette subfamily C member 1	-0.433	3.427
1898_at	TRIM29	tripartite motif containing 29	-0.866	7.475
1899_s_at	RAD52	RAD52 homolog, DNA repair protein	-0.819	4.171
189_s_at	PLAUR	plasminogen activator, urokinase receptor	-0.651	2.089
1900_at	RB1	RB transcriptional corepressor 1	0.542	2.16
1902_at	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit	0.483	4.645
1903_at	RAP1B	RAP1B, member of RAS oncogene family	1.28	6.574
1905_s_at	RB1	RB transcriptional corepressor 1	-0.783	3.025
1908_at	ETV3	ETS variant 3	-0.463	3.308
1909_at	BCL2	BCL2, apoptosis regulator	0.556	3.441
190_at	NR4A3	nuclear receptor subfamily 4 group A member 3	-0.596	1.679
1912_s_at	APC	APC, WNT signaling pathway regulator	-0.321	4.134
1913_at	CCNG2	cyclin G2	1.394	9.181
1916_s_at	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	-1.241	1.646
1917_at	RAF1	Raf-1 proto-oncogene, serine/threonine kinase	0.366	3.746
1918_at	SKI	SKI proto-oncogene	-0.888	6.344
191_at	MUC8	mucin 8	-0.455	3.631
1920_s_at	CCNG1	cyclin G1	0.667	3.741
1921_at	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1	-0.539	2.057
1924_at	CCNH	cyclin H	0.775	6.304
1925_at	CCNF	cyclin F	-0.838	8.484
1927_s_at	ACVRL1	activin A receptor like type 1	-0.47	1.954
1928_s_at	SMAD2	SMAD family member 2	0.555	5.149
1929_at	ANGPT1	angiopoietin 1	0.494	4.345
192_at	TAF7	TATA-box binding protein associated factor 7	0.949	5.596
1930_at	ABCC3	ATP binding cassette subfamily C member 3	-0.699	7.284
1931_at	ABCC4	ATP binding cassette subfamily C member 4	0.362	2.327
1932_at	ABCC5	ATP binding cassette subfamily C member 5	-0.23	2.142
1935_at	MDM4	MDM4, p53 regulator	-0.418	4.52
1936_s_at	MYC	v-myc avian myelocytomatosis viral oncogene homolog	-0.361	4.164
1937_at			1.465	10.701
1938_at	SRC	SRC proto-oncogene, non-receptor tyrosine kinase	-0.496	7.534
1939_at	TP53	tumor protein p53	-0.484	5.041
193_at	AK6///TAF9	adenylate kinase 6///TATA-box binding protein associated factor 9	0.563	2.993
1940_at	KRAS	KRAS proto-oncogene, GTPase	1.204	4.946
1941_at	SKP2	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase	-0.646	6.291
1942_s_at	CDK4	cyclin dependent kinase 4	0.464	4.982
1943_at	CCNA2	cyclin A2	-0.429	5.32
1945_at	CCNB1	cyclin B1	-0.466	3.436
1946_at	WT1-AS	WT1 antisense RNA	-1.126	10.053
1947_g_at	WT1-AS	WT1 antisense RNA	-0.639	7.727
1948_f_at	NOS2	nitric oxide synthase 2	-0.55	3.759
1949_at			-0.321	1.804
1950_s_at	SMAD3	SMAD family member 3	-0.643	3.982
1952_s_at	SMAD5	SMAD family member 5	1.586	8.569
1956_s_at			-0.783	7.753
1957_s_at	TGFBR1	transforming growth factor beta receptor 1	-0.249	1.809
1959_at	AZIN1	antizyme inhibitor 1	0.714	2.055
195_s_at	CASP4	caspase 4	1.553	5.172
1960_at			-0.504	3.573
1961_f_at	NOS3	nitric oxide synthase 3	-0.58	4.071
1964_g_at	FLT1	fms related tyrosine kinase 1	-0.484	3.986
1965_s_at	NOS1	nitric oxide synthase 1	-0.82	3.761
1967_f_at			-0.89	8.643
1968_g_at	FIP1L1///PDGFRA	factor interacting with PAPOLA and CPSF1///platelet derived growth factor receptor alpha	-0.897	5.174
1969_s_at	CDK7	cyclin dependent kinase 7	0.378	2.5
1970_s_at	FGFR2	fibroblast growth factor receptor 2	-0.965	6.824
1972_s_at	MAP2	microtubule associated protein 2	-0.757	8.243
1973_s_at	MYC	v-myc avian myelocytomatosis viral oncogene homolog	-0.644	6.68
1974_s_at	TP53	tumor protein p53	-0.415	3.72
1975_s_at	IGF1	insulin like growth factor 1	-0.827	8.51
1976_s_at	FES	FES proto-oncogene, tyrosine kinase	-0.66	7.279
1977_s_at	ETS1	ETS proto-oncogene 1, transcription factor	-0.363	1.906
1978_at	ITGA2	integrin subunit alpha 2	-0.547	6.181
1980_s_at	NME1-NME2///NME2	NME1-NME2 readthrough///NME/NM23 nucleoside diphosphate kinase 2	0.593	2.237
1983_at	CCND2	cyclin D2	-0.362	5.296
1984_s_at	ARHGDIB	Rho GDP dissociation inhibitor beta	0.968	3.293
