ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)
1348_s_at	PCCA	propionyl-CoA carboxylase alpha subunit	0.978	2.86
134_at	ABI2	abl-interactor 2	-0.535	2.386
1350_at	CYP4F2	cytochrome P450 family 4 subfamily F member 2	1.283	2.65
1351_at	EPHB4	EPH receptor B4	-0.299	2.405
1354_at	NTRK2	neurotrophic receptor tyrosine kinase 2	-0.467	3.252
1359_at	IL17A	interleukin 17A	-0.59	3.189
135_g_at	ABI2	abl-interactor 2	-0.661	4.616
1360_at	XRCC4	X-ray repair cross complementing 4	-0.467	1.726
1361_at	TERF1	telomeric repeat binding factor 1	0.451	3.772
1362_s_at	RXRB	retinoid X receptor beta	-0.639	8.761
1363_at	FGFR2	fibroblast growth factor receptor 2	-0.594	5.134
1364_at	PTPRZ1	protein tyrosine phosphatase, receptor type Z1	-1.207	4.482
136_at	GPR31	G protein-coupled receptor 31	-0.332	3.709
1370_at	IL7R	interleukin 7 receptor	0.761	2.4
1373_at	TCF3	transcription factor 3	0.219	1.534
1377_at	NFKB1	nuclear factor kappa B subunit 1	0.812	3.395
1379_at	EPHA2	EPH receptor A2	-0.543	8.625
137_at	KLF1	Kruppel like factor 1	-0.67	7.285
1381_at	RARB	retinoic acid receptor beta	-0.698	2.161
1382_at	RPA1	replication protein A1	0.833	6.297
1383_at	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha	0.711	6.708
1384_at	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	-0.434	2.135
1385_at	TGFBI	transforming growth factor beta induced	0.57	1.704
1386_at	PTPN9	protein tyrosine phosphatase, non-receptor type 9	-0.326	4.033
1387_at	IL2	interleukin 2	-0.502	6.496
1389_at	MME	membrane metallo-endopeptidase	-0.508	3.396
138_at	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	-0.512	4.054
1390_s_at	GHRH	growth hormone releasing hormone	-0.27	3.031
1391_s_at	CYP4A22///CYP4A11	cytochrome P450 family 4 subfamily A member 22///cytochrome P450 family 4 subfamily A member 11	0.667	3.081
1392_at	GRK6	G protein-coupled receptor kinase 6	-0.474	5.511
1393_at	OCM2	oncomodulin 2	-0.663	4.991
1394_at	RHOA	ras homolog family member A	0.671	4.645
1396_at	IGFBP5	insulin like growth factor binding protein 5	0.79	1.995
1397_at	MAP3K11	mitogen-activated protein kinase kinase kinase 11	-0.53	4.521
1398_g_at	MAP3K11	mitogen-activated protein kinase kinase kinase 11	-0.845	9.229
139_at	DLGAP1	DLG associated protein 1	-0.395	5.442
1400_at	CSF2	colony stimulating factor 2	-0.644	7.692
1401_g_at	CSF2	colony stimulating factor 2	-0.425	3.167
1403_s_at	CCL5	C-C motif chemokine ligand 5	1	2.498
1404_r_at	CCL5	C-C motif chemokine ligand 5	0.749	1.542
1406_at	NR2C1	nuclear receptor subfamily 2 group C member 1	-1.051	10.669
1407_g_at	NR2C1	nuclear receptor subfamily 2 group C member 1	-0.569	4.419
1409_at	SRF	serum response factor	-0.259	2.166
140_s_at	TRA2B	transformer 2 beta homolog (Drosophila)	0.789	4.587
1412_g_at	CYP11B2///CYP11B1	cytochrome P450 family 11 subfamily B member 2///cytochrome P450 family 11 subfamily B member 1	-0.538	6.951
1413_at			-0.576	4.691
1414_at			-0.494	2.327
1416_g_at			-0.324	1.752
1418_at	NOS2	nitric oxide synthase 2	-0.773	4.208
1419_g_at	NOS2	nitric oxide synthase 2	-0.573	8.305
141_s_at	BRF1	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit	-0.522	6.577
