ID	Gene.symbol	Gene.title	log2(fold change)(AR vs TX)	-log10(Pvalue)(AR vs TX)
136_at	GPR31	G protein-coupled receptor 31	0.33	3.325
1370_at	IL7R	interleukin 7 receptor	0.852	2.677
1371_s_at	CYP2B7P///CYP2B6	cytochrome P450 family 2 subfamily B member 7, pseudogene///cytochrome P450 family 2 subfamily B member 6	-0.975	5.558
1374_g_at	TCF3	transcription factor 3	0.423	3.19
1375_s_at	TIMP2	TIMP metallopeptidase inhibitor 2	0.492	3.748
1376_at	LIG1	DNA ligase 1	0.3	2.742
1379_at	EPHA2	EPH receptor A2	0.317	4.013
137_at	KLF1	Kruppel like factor 1	0.411	3.534
1382_at	RPA1	replication protein A1	-0.767	5.186
1383_at	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha	-0.572	4.675
1385_at	TGFBI	transforming growth factor beta induced	0.932	3.437
1387_at	IL2	interleukin 2	0.281	2.679
1388_g_at	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	-0.5	1.709
1389_at	MME	membrane metallo-endopeptidase	-0.533	3.782
138_at	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	0.531	3.867
1391_s_at	CYP4A22///CYP4A11	cytochrome P450 family 4 subfamily A member 22///cytochrome P450 family 4 subfamily A member 11	-1.171	6.387
1392_at	GRK6	G protein-coupled receptor kinase 6	0.423	4.323
1393_at	OCM2	oncomodulin 2	0.415	2.322
1396_at	IGFBP5	insulin like growth factor binding protein 5	-1.468	4.66
1397_at	MAP3K11	mitogen-activated protein kinase kinase kinase 11	0.385	2.654
1398_g_at	MAP3K11	mitogen-activated protein kinase kinase kinase 11	0.265	1.976
1401_g_at	CSF2	colony stimulating factor 2	0.34	2.082
1402_at	LYN	LYN proto-oncogene, Src family tyrosine kinase	0.924	1.92
1403_s_at	CCL5	C-C motif chemokine ligand 5	1.618	4.844
1404_r_at	CCL5	C-C motif chemokine ligand 5	0.787	2.015
1405_i_at	CCL5	C-C motif chemokine ligand 5	1.74	5.355
1406_at	NR2C1	nuclear receptor subfamily 2 group C member 1	0.348	2.417
1409_at	SRF	serum response factor	0.242	1.764
1411_at	CYP11B1	cytochrome P450 family 11 subfamily B member 1	1.082	5.167
1413_at			0.397	2.495
