ID	Gene.symbol	Gene.title	log2(fold change)(AR vs TX)	-log10(Pvalue)(AR vs TX)
40774_at	LOC101927137///CCT3	uncharacterized LOC101927137///chaperonin containing TCP1 subunit 3	-0.698	2.388
40778_at	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10	-0.677	6.364
40779_at	KIFAP3	kinesin associated protein 3	-0.975	4.66
40780_at	CTBP2	C-terminal binding protein 2	-0.643	4.946
40781_at	AKT3	AKT serine/threonine kinase 3	0.275	1.982
40782_at	DHRS3	dehydrogenase/reductase 3	-0.598	2.504
40784_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	-0.434	2.255
40786_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	-0.661	3.842
40788_at	AK2	adenylate kinase 2	-0.779	5.787
40790_at	BHLHE40	basic helix-loop-helix family member e40	-0.863	2.359
40791_at	POLR2A	RNA polymerase II subunit A	0.737	7.699
40793_s_at	AQP4	aquaporin 4	0.401	1.821
40794_at	KLK3	kallikrein related peptidase 3	0.515	2.702
40801_at	GAPVD1	GTPase activating protein and VPS9 domains 1	-0.418	1.753
40802_at	GAPVD1	GTPase activating protein and VPS9 domains 1	-0.424	2.085
40803_at	TMEM123	transmembrane protein 123	-0.776	2.226
40805_at	SIPA1L1	signal induced proliferation associated 1 like 1	-0.93	3.993
40809_at	SNTB2	syntrophin beta 2	0.522	2.392
40812_at	SLC5A3	solute carrier family 5 member 3	-0.429	1.734
40813_at	SLC5A3	solute carrier family 5 member 3	-1.604	6.246
40816_at	PWP1	PWP1 homolog, endonuclein	-0.296	2.12
40817_at	NUCB1	nucleobindin 1	-0.473	3.63
40821_at	AHCY	adenosylhomocysteinase	-1.408	7.769
40822_at	NFATC3	nuclear factor of activated T-cells 3	0.465	1.876
40824_at	XPO7	exportin 7	-0.589	5.695
40826_at	MARK3	microtubule affinity regulating kinase 3	-0.292	1.685
40827_at	IARS	isoleucyl-tRNA synthetase	-1.069	3.68
40828_at	ARHGEF7	Rho guanine nucleotide exchange factor 7	-0.399	3.358
40829_at	WDTC1	WD and tetratricopeptide repeats 1	0.345	2.495
40830_at	DNAJC4	DnaJ heat shock protein family (Hsp40) member C4	0.672	5.388
40831_at	KIF1BP	KIF1 binding protein	-0.503	3.845
40832_s_at	TOR1AIP1	torsin 1A interacting protein 1	-0.791	2.867
40839_at	UBL3	ubiquitin like 3	0.25	2.828
40844_at	CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component	-0.884	5.462
40849_s_at	CREB3	cAMP responsive element binding protein 3	0.39	3.792
40850_at	FKBP8	FK506 binding protein 8	-0.18	1.874
40854_at	UQCRC2	ubiquinol-cytochrome c reductase core protein II	-0.943	3.786
40856_at	SERPINF1	serpin family F member 1	0.418	3.224
40857_f_at	PSG11///PSG3	pregnancy specific beta-1-glycoprotein 11///pregnancy specific beta-1-glycoprotein 3	0.421	2.862
40859_at	ZC3H14	zinc finger CCCH-type containing 14	-1.148	5.059
40860_s_at	ZC3H14	zinc finger CCCH-type containing 14	0.646	2.584
40861_at	MORF4L2	mortality factor 4 like 2	-1.085	4.916
40866_at	NIPSNAP1	nipsnap homolog 1 (C. elegans)	-0.723	4.819
40867_at	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	-0.592	5.401
40872_at	COX6B1	cytochrome c oxidase subunit 6B1	-0.534	2.573
40880_r_at	CLCN3	chloride voltage-gated channel 3	-0.432	1.852
40881_at	ACLY	ATP citrate lyase	-0.708	4.109
40882_at	CES2	carboxylesterase 2	-0.492	3.133
40884_g_at	STX16	syntaxin 16	0.393	1.972
40885_s_at	STX16	syntaxin 16	0.306	1.673
40888_f_at			1.185	3.903
40889_at	LOC100510710///GBAP1///GBA	glucosylceramidase-like///glucosylceramidase beta pseudogene 1///glucosylceramidase beta	0.704	2.939
40892_s_at			0.522	2.372
40893_at	SUCLA2	succinate-CoA ligase ADP-forming beta subunit	-1.158	4.61
408_at	CXCL1	C-X-C motif chemokine ligand 1	0.988	3.011
40900_at	MYH10	myosin, heavy chain 10, non-muscle	-0.938	2.675
40901_at	STRN3	striatin 3	-0.794	3.389
40904_at	PRPF31	pre-mRNA processing factor 31	0.347	3.615
40906_at	ZNF688	zinc finger protein 688	0.188	2.044
40907_at			0.293	1.855
40909_at	RABL3	RAB, member of RAS oncogene family like 3	0.576	3.338
40910_at	CAPZA1	capping actin protein of muscle Z-line alpha subunit 1	0.645	2.021
40911_at			0.422	4.494
40912_s_at	BPHL	biphenyl hydrolase like	-1.088	7.114
40914_s_at	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	0.357	2.866
40916_at	BEX4	brain expressed X-linked 4	-0.784	5.606
40921_at	CDC14BL	CDC14 cell division cycle 14 C-like	0.684	6.431
40923_at	SLC36A1	solute carrier family 36 member 1	0.718	3.244
40925_at			0.626	7.438
40926_at	SLC6A10PB///SLC6A10P///SLC6A8	solute carrier family 6 member 8 pseudogene///solute carrier family 6 member 10, pseudogene///solute carrier family 6 member 8	-0.814	5.813
40927_at	SLC6A8	solute carrier family 6 member 8	0.45	3.286
40931_at	TMED5	transmembrane p24 trafficking protein 5	-1.323	3.862
40932_at	ZDHHC18	zinc finger DHHC-type containing 18	0.716	3.894
40934_at	MFSD5	major facilitator superfamily domain containing 5	0.629	2.193
40936_at	LOC101929500///CRIM1	uncharacterized LOC101929500///cysteine rich transmembrane BMP regulator 1	-0.898	4.294
40937_at	SCAPER	S-phase cyclin A associated protein in the ER	-0.368	3.011
40942_g_at	VAPB	VAMP associated protein B and C	0.731	2.61
40945_at	KLF11	Kruppel like factor 11	0.489	3.451
40949_at	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2	-0.447	3.294
40951_at	NPIPA5///NPIPB5///LOC613037///NPIPB4///NPIPB3	nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B5///nuclear pore complex interacting protein member///nuclear pore complex interacting protein family member B4///nuclear pore complex interacting protein family member B3	-0.611	3.388
40953_at	CNN3	calponin 3	-1.033	1.671
40954_at	FXYD6-FXYD2///FXYD2	FXYD6-FXYD2 readthrough///FXYD domain containing ion transport regulator 2	-1.297	3.243
40958_at	SPTB	spectrin beta, erythrocytic	0.32	3.731
40959_at	PLEKHG3	pleckstrin homology and RhoGEF domain containing G3	0.409	5.94
40962_s_at	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	-1.043	5.927
40963_at	ABCA4	ATP binding cassette subfamily A member 4	0.396	3.442
40964_at	HK2	hexokinase 2	0.678	5.131
40967_at	STK39	serine/threonine kinase 39	0.472	4.456
40968_at	SOCS3	suppressor of cytokine signaling 3	0.424	2.574
40969_at	SOCS3	suppressor of cytokine signaling 3	0.334	2.108
40970_at	RFXAP	regulatory factor X associated protein	0.303	2.02
40972_at	AKT2	AKT serine/threonine kinase 2	0.737	4.972
40973_at	PARD3	par-3 family cell polarity regulator	-1.19	10.454
40974_at	SRRD	SRR1 domain containing	0.403	4.902
40976_at	KATNB1	katanin regulatory subunit B1	0.979	2.528
40979_at	AHSA1	activator of Hsp90 ATPase activity 1	-0.471	3.692
40980_at	CHD8	chromodomain helicase DNA binding protein 8	-0.262	1.959
40983_s_at	SRR	serine racemase	0.331	2.398
40988_at	YME1L1	YME1 like 1 ATPase	-0.522	1.834
40989_at			0.38	1.794
40990_at	TSPAN5	tetraspanin 5	0.35	3.797
40992_s_at	SAP30	Sin3A associated protein 30	0.418	2.931
40995_at	NEFL	neurofilament, light polypeptide	-0.796	2.264
40997_at	PCBP2	poly(rC) binding protein 2	-0.405	3.402
40998_at	MED12	mediator complex subunit 12	0.245	2.169
40999_at	MED12	mediator complex subunit 12	0.471	3.185
41001_at	RPH3A	rabphilin 3A	0.362	3.323
41004_at	TOP3A	topoisomerase (DNA) III alpha	0.522	5.907
41005_at	ITGA8	integrin subunit alpha 8	-0.331	3.742
41008_at	FAM169A	family with sequence similarity 169 member A	-1.12	6.574
41010_at	HOMER1	homer scaffolding protein 1	-1.003	4.024
41013_at	VSTM4	V-set and transmembrane domain containing 4	-0.774	4.225
41017_at	MYBPH	myosin binding protein H	0.3	2.178
41035_at	TBKBP1	TBK1 binding protein 1	0.292	2.119
41038_at	NCF2	neutrophil cytosolic factor 2	0.919	2.512
41042_r_at	MYO7A	myosin VIIA	0.729	5.652
41043_at	SOX15	SRY-box 15	0.217	1.913
41045_at	SECTM1	secreted and transmembrane 1	0.782	3.038
41049_at	IRS1	insulin receptor substrate 1	-0.687	4.88
41051_at	TSNAX	translin associated factor X	-0.598	4.176
41052_s_at	LOC100507353///CACNA1A	uncharacterized LOC100507353///calcium voltage-gated channel subunit alpha1 A	0.28	2.166
41054_at	FCHO1	FCH domain only 1	0.317	2.582
41055_at	NACAD	NAC alpha domain containing	0.367	4.455
41057_at	ACOT13	acyl-CoA thioesterase 13	-0.996	4.362
41058_g_at	ACOT13	acyl-CoA thioesterase 13	-1.847	7.533
41059_at	CD300A	CD300a molecule	0.405	2.481
41060_at	CCNE1	cyclin E1	0.447	3.277
41062_at	PCGF1	polycomb group ring finger 1	0.282	2.211
41064_at	PCGF1	polycomb group ring finger 1	0.371	1.938
41066_at	SCGB2A1	secretoglobin family 2A member 1	0.697	3.112
41070_r_at	MTERF1	mitochondrial transcription termination factor 1	-0.76	2.661
41076_at	GJB3	gap junction protein beta 3	0.5	5.067
41080_at	H2AFB1///H2AFB2///H2AFB3	H2A histone family member B1///H2A histone family member B2///H2A histone family member B3	0.43	3.654
41084_at	ZNF428	zinc finger protein 428	-0.7	3.561
41086_at	RGS20	regulator of G-protein signaling 20	0.306	1.758
41091_at	BPTF	bromodomain PHD finger transcription factor	-0.495	2.202
41094_at	PIP	prolactin induced protein	0.493	2.328
41096_at	S100A8	S100 calcium binding protein A8	1.984	5.105
410_s_at	CSNK2B	casein kinase 2 beta	-0.802	6.278
41100_at	CARD8	caspase recruitment domain family member 8	0.356	2.547
41104_at	CXCL13	C-X-C motif chemokine ligand 13	1.222	3.542
41110_at	CUL5	cullin 5	-0.947	6.864
41112_at	ZNF500	zinc finger protein 500	0.29	2.006
41117_s_at	SLC9A3R2	SLC9A3 regulator 2	0.425	4.111
41120_at	AMT	aminomethyltransferase	-0.694	9.3
41123_s_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	-1.103	3.432
41124_r_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	-1.344	4.429
41125_r_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	0.452	3.543
41128_at	TMEM183B///TMEM183A	transmembrane protein 183B///transmembrane protein 183A	-0.345	3.5
41129_at	TMEM41B	transmembrane protein 41B	-0.281	2.37
41133_at	G3BP1	G3BP stress granule assembly factor 1	-1.248	5.092
41139_at	MAGED1	MAGE family member D1	-0.56	3.815
41140_at	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	0.413	2.457
41141_at	THAP12	THAP domain containing 12	-0.397	2.326
41142_at	OXCT1	3-oxoacid CoA-transferase 1	-1.673	6.539
41143_at	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1	-0.819	2.751
41144_g_at	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1	-1.416	9.577
41146_at	PARP1	poly(ADP-ribose) polymerase 1	-0.526	3.502
41147_at	ISCA1	iron-sulfur cluster assembly 1	-1.432	11.117
41150_r_at	POFUT1	protein O-fucosyltransferase 1	0.845	2.513
41153_f_at	CTNNA1	catenin alpha 1	-1.124	5.53
41154_r_at	CTNNA1	catenin alpha 1	-0.851	2.53
41155_at	CTNNA1	catenin alpha 1	-1.357	4.46
41156_g_at	CTNNA1	catenin alpha 1	-1.03	4.465
41160_at	MBD3	methyl-CpG binding domain protein 3	0.444	2.887
41166_at	IGHM	immunoglobulin heavy constant mu	0.52	4.27
41167_at	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha	-0.735	5.381
41169_at	PLAUR	plasminogen activator, urokinase receptor	0.686	2.142
41171_at	MIR7703///PSME2	microRNA 7703///proteasome activator subunit 2	0.678	2.599
41172_at	RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	-0.473	1.753
41174_at	RGPD6///RGPD8///RGPD3///RGPD4///RGPD5///GCC2	RANBP2-like and GRIP domain containing 6///RANBP2-like and GRIP domain containing 8///RANBP2-like and GRIP domain containing 3///RANBP2-like and GRIP domain containing 4///RANBP2-like and GRIP domain containing 5///GRIP and coiled-coil domain containing 2	-1.149	4.365
41177_at	LPCAT1	lysophosphatidylcholine acyltransferase 1	0.784	2.592
41180_i_at	DDTL///DDT	D-dopachrome tautomerase-like///D-dopachrome tautomerase	-0.869	2.089
41181_r_at	DDTL///DDT	D-dopachrome tautomerase-like///D-dopachrome tautomerase	0.419	2.996
41184_s_at	PSMB8	proteasome subunit beta 8	0.927	5.526
41188_at	LAPTM4B	lysosomal protein transmembrane 4 beta	-0.823	3.279
41189_at	TNFRSF25	TNF receptor superfamily member 25	0.495	5.617
41190_at	TNFRSF25	TNF receptor superfamily member 25	0.366	2.691
41191_at	PALLD	palladin, cytoskeletal associated protein	-0.689	2.318
41201_at	DNM1L	dynamin 1 like	-1.078	6.226
41206_r_at	COX6A1	cytochrome c oxidase subunit 6A1	-1.542	3.984
41207_at	C9orf3	chromosome 9 open reading frame 3	-0.434	3.487
41209_at	LPL	lipoprotein lipase	-0.473	1.816
41212_r_at	EIF4H	eukaryotic translation initiation factor 4H	-0.92	6.52
41213_at	PRDX1	peroxiredoxin 1	-0.501	2.925
41217_at	VPS41	VPS41, HOPS complex subunit	-0.317	1.825
41220_at	SEPT9	septin 9	0.76	3.263
41223_at	COX5A	cytochrome c oxidase subunit 5A	-1.11	4.274
41224_at	LOC101929240///SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase pseudogene///small nuclear ribonucleoprotein U5 subunit 200	-0.323	1.894
41225_at	DUSP3	dual specificity phosphatase 3	-1.081	3.73
41228_r_at	ATP5F1	ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1	-0.964	1.781
41229_at	NFIB	nuclear factor I B	-0.822	5.284
41230_at	MAP2K5	mitogen-activated protein kinase kinase 5	0.743	7.656
41235_at	ATF4	activating transcription factor 4	0.673	1.786
41237_at	HLA-A	major histocompatibility complex, class I, A	0.848	2.173
41240_at	PSMA2	proteasome subunit alpha 2	-0.918	5.505
41241_at	NARS	asparaginyl-tRNA synthetase	-1.104	4.116
41242_at	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1	-0.662	3.476
41244_f_at	PPP1CB	protein phosphatase 1 catalytic subunit beta	0.521	4.801
41247_at	KCNB1	potassium voltage-gated channel subfamily B member 1	0.797	3.196
41248_at	CSTF2T	cleavage stimulation factor subunit 2, tau variant	-0.364	2.606
41249_at	NADK	NAD kinase	0.626	2.795
41250_at	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2	-0.714	4.306
41251_at	ZNHIT3	zinc finger HIT-type containing 3	-0.408	1.783
41253_s_at	PLEKHB2	pleckstrin homology domain containing B2	-0.693	4.563
41255_at	ADAM22	ADAM metallopeptidase domain 22	0.452	4.358
41257_at	CAST	calpastatin	-0.513	1.961
41259_at	NOP16	NOP16 nucleolar protein	0.421	3.141
41262_at	GTPBP1	GTP binding protein 1	0.541	4.268
41263_at	GTPBP1	GTP binding protein 1	0.375	2.339
41265_at	RBM4B	RNA binding motif protein 4B	0.564	4.934
41266_at	ITGA6	integrin subunit alpha 6	-1.421	6.394
41267_at	TCF25	transcription factor 25	-0.532	4.796
41268_g_at	TCF25	transcription factor 25	0.364	3.006
41271_at	SLC7A8	solute carrier family 7 member 8	-1.418	7.401
41272_s_at	MXRA7	matrix remodeling associated 7	0.462	1.806
41275_at	E2F5	E2F transcription factor 5	-0.305	1.835
41277_at	SAP18	Sin3A associated protein 18	-0.797	7.08
41278_at	ACTL6A	actin like 6A	-0.633	2.554
41279_f_at	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1	0.309	1.928
41280_r_at	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1	0.368	3.909
41281_s_at	PEX10	peroxisomal biogenesis factor 10	0.414	4.765
41283_at	HNRNPH3	heterogeneous nuclear ribonucleoprotein H3	-0.621	2.273
41284_at	INPP5A	inositol polyphosphate-5-phosphatase A	0.312	2.899
41287_s_at	CALM1	calmodulin 1	0.397	3.277
41288_at	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1	-0.722	4.31
41289_at	NCAM1	neural cell adhesion molecule 1	0.228	1.795
41290_at	NCAM1	neural cell adhesion molecule 1	0.444	3.189
41291_at	TMEM259	transmembrane protein 259	0.434	3.711
41293_at	KRT7	keratin 7	0.411	3.249
41297_at	MAN1A2	mannosidase alpha class 1A member 2	0.247	1.714
41299_f_at	CFAP20	cilia and flagella associated protein 20	0.434	4.07
41300_s_at	ITM2B	integral membrane protein 2B	-1.472	4.405
41302_at	AHCYL1	adenosylhomocysteinase like 1	-0.959	5.04
41303_r_at	RSRP1	arginine and serine rich protein 1	-0.588	2.746
41307_at	LINC01481	long intergenic non-protein coding RNA 1481	0.357	2.569
41308_at	CTBP1	C-terminal binding protein 1	-1.212	3.259
41311_f_at	NR2F6	nuclear receptor subfamily 2 group F member 6	0.602	6.332
41312_r_at	NR2F6	nuclear receptor subfamily 2 group F member 6	0.376	4.14
41316_s_at	SAFB	scaffold attachment factor B	-0.312	1.777
41317_at	RAP2A	RAP2A, member of RAS oncogene family	-0.6	4.347
41318_g_at	RAP2A	RAP2A, member of RAS oncogene family	0.432	4.047
41320_s_at	LRRFIP1	LRR binding FLII interacting protein 1	-1.182	2.15
41322_s_at	NHP2	NHP2 ribonucleoprotein	-0.753	4.365
41324_g_at	LOC100507424///ITFG2	uncharacterized LOC100507424///integrin alpha FG-GAP repeat containing 2	0.327	3.018
41325_at	KCNK3	potassium two pore domain channel subfamily K member 3	0.545	1.8
41331_at	LRIG2	leucine rich repeats and immunoglobulin like domains 2	0.506	3.635
41335_at	NSL1	NSL1, MIS12 kinetochore complex component	-0.969	4.386
41337_at	AES	amino-terminal enhancer of split	-0.663	6.021
41339_at	UBE4B	ubiquitination factor E4B	0.807	2.998
41340_at	SEMA7A	semaphorin 7A (John Milton Hagen blood group)	0.548	1.898
41347_at	IRX5	iroquois homeobox 5	0.399	5.522
41348_at	IRX5	iroquois homeobox 5	0.287	2.73
41349_at	PSEN2	presenilin 2	0.359	2.975
41350_at	COL6A1	collagen type VI alpha 1 chain	0.289	1.899
41354_at	STC1	stanniocalcin 1	-0.584	1.89
41356_at	BCL11A	B-cell CLL/lymphoma 11A	0.296	1.888
41357_at	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	0.694	2.737
41359_at	PKP3	plakophilin 3	0.308	2.167
41361_at	CNOT8	CCR4-NOT transcription complex subunit 8	0.332	2.524
41366_at	R3HDM2	R3H domain containing 2	-1.164	10.803
41368_at	SLC13A3	solute carrier family 13 member 3	-2.276	7.563
41369_at	PNLIP	pancreatic lipase	0.7	3.427
41372_at	ATG14	autophagy related 14	-0.426	3.883
41376_i_at	UGT2B7	UDP glucuronosyltransferase family 2 member B7	-2.45	4.059
41377_f_at	UGT2B7	UDP glucuronosyltransferase family 2 member B7	-2.347	3.588
41381_at	CHD9	chromodomain helicase DNA binding protein 9	-0.726	3.074
41383_at	MUC5AC	mucin 5AC, oligomeric mucus/gel-forming	0.443	2.751
41384_at	RIPK2	receptor interacting serine/threonine kinase 2	0.406	1.715
41385_at	EPB41L3	erythrocyte membrane protein band 4.1 like 3	-0.852	6.079
41390_at	UTRN	utrophin	-0.318	1.91
41391_at	NOP14-AS1	NOP14 antisense RNA 1	0.712	5.059
41392_at	NOP14-AS1	NOP14 antisense RNA 1	0.189	1.768
41396_at	CLIP2	CAP-Gly domain containing linker protein 2	0.454	3.632
41402_at	PARM1	prostate androgen-regulated mucin-like protein 1	-1.077	7.929
41404_at	RPS6KA4	ribosomal protein S6 kinase A4	0.237	2.386
41409_at	THEMIS2	thymocyte selection associated family member 2	0.47	3.558
41411_at	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1	-1.394	8.108
41412_at	CSDC2	cold shock domain containing C2	-0.281	2.328
41414_at	RHBDD3	rhomboid domain containing 3	0.321	4.453
41419_at	GULP1	GULP, engulfment adaptor PTB domain containing 1	-1.671	6.359
41422_at	DPYS	dihydropyrimidinase	-2.476	8.323
41423_at	CLSTN3	calsyntenin 3	-0.355	2.262
41425_at	FLI1	Fli-1 proto-oncogene, ETS transcription factor	0.589	3.222
41431_at	ICK	intestinal cell (MAK-like) kinase	-0.415	2.915
41434_at	USP46	ubiquitin specific peptidase 46	-0.558	4.706
41436_at	ZMYM2	zinc finger MYM-type containing 2	-0.695	3.071
41437_at	TMEM251	transmembrane protein 251	-0.845	6.854
41438_at	OSBPL8	oxysterol binding protein like 8	-0.752	2.721
41439_at	MYO1B	myosin IB	-0.827	4.495
41444_at	MAP2K7	mitogen-activated protein kinase kinase 7	0.445	3.399
41445_at	TGFB1	transforming growth factor beta 1	0.26	2.197
41446_f_at	MT1P3///MT1M///MT1G///MT1F	metallothionein 1 pseudogene 3///metallothionein 1M///metallothionein 1G///metallothionein 1F	-1.065	4.315
41450_at	SAR1A	secretion associated Ras related GTPase 1A	0.694	3.755
41451_s_at	SAR1A	secretion associated Ras related GTPase 1A	-0.434	3.198
41453_at	DLG3	discs large MAGUK scaffold protein 3	0.262	2.179
41454_at	HEBP2	heme binding protein 2	-0.793	3.902
41457_at	FAM179B	family with sequence similarity 179 member B	-0.623	6.215
41458_at	SZT2	seizure threshold 2 homolog (mouse)	0.398	4.801
41462_at	SNX2	sorting nexin 2	-0.731	2.823
41465_at	ZNF148	zinc finger protein 148	-0.412	1.979
41466_s_at	ZNF148	zinc finger protein 148	-1.075	7.633
41467_at	MSH5-SAPCD1///SAPCD1///MSH5	MSH5-SAPCD1 readthrough (NMD candidate)///suppressor APC domain containing 1///mutS homolog 5	0.352	2.594
41468_at	TARP///TRGV9///TRGC2	TCR gamma alternate reading frame protein///T cell receptor gamma variable 9///T cell receptor gamma constant 2	0.459	3.071
41471_at	S100A9	S100 calcium binding protein A9	1.75	3.875
41472_at	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G	0.875	6.483
41473_at	EPHX2	epoxide hydrolase 2	-1.592	5.925
41476_at	GNA11	G protein subunit alpha 11	-0.696	7.485
41478_at	TTC28	tetratricopeptide repeat domain 28	-0.425	4.287
41479_s_at	RAD51C	RAD51 paralog C	-0.469	4.166
41481_at	ITGA2	integrin subunit alpha 2	-0.71	4.401
41482_at	GFER	growth factor, augmenter of liver regeneration	0.454	3.847
41484_r_at	JUND	JunD proto-oncogene, AP-1 transcription factor subunit	0.358	3.137
41486_at	RASSF8	Ras association domain family member 8	0.624	2.968
41487_at	RASSF8	Ras association domain family member 8	0.752	2.276
41488_at	LYRM1	LYR motif containing 1	-0.931	6.001
41492_r_at	ATP11A	ATPase phospholipid transporting 11A	0.709	4.968
41494_at	ZER1	zyg-11 related cell cycle regulator	0.525	2.75
41495_at	CREBZF	CREB/ATF bZIP transcription factor	-0.737	3.651
41498_at	CLSTN1	calsyntenin 1	-0.716	4.037
414_at	HOXD10	homeobox D10	0.693	7.133
41502_at	HIPK3	homeodomain interacting protein kinase 3	0.388	3.104
41503_at	ZHX2	zinc fingers and homeoboxes 2	-0.332	2.985
41504_s_at	MAF	MAF bZIP transcription factor	-2.073	7.624
41507_at	MAPKAPK5-AS1	MAPKAPK5 antisense RNA 1	0.291	1.771
41510_s_at	HSPA9	heat shock protein family A (Hsp70) member 9	-0.803	5.63
41511_at	CIITA	class II major histocompatibility complex transactivator	0.384	2.287
41513_s_at	OAZ3	ornithine decarboxylase antizyme 3	0.34	2.144
41519_at	PPP1R37	protein phosphatase 1 regulatory subunit 37	0.366	2.973
41520_at	PPP1R37	protein phosphatase 1 regulatory subunit 37	0.352	2.071
41521_at	MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	0.339	4.199
41522_at	MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	0.372	4.631
41524_at	INPP1	inositol polyphosphate-1-phosphatase	-0.355	2.112
41525_at	HMG20B	high mobility group 20B	0.276	1.999
41526_at	HMG20B	high mobility group 20B	0.485	2.11
41527_f_at	FAM168B	family with sequence similarity 168 member B	0.465	1.992
41528_at	FAM168B	family with sequence similarity 168 member B	-0.333	2.416
41529_g_at	FAM168B	family with sequence similarity 168 member B	-1.318	9.278
41530_at	ACAA2	acetyl-CoA acyltransferase 2	-1.42	4.502
41534_at	PCDH7	protocadherin 7	0.404	2.462
41535_at	CDK2AP1	cyclin dependent kinase 2 associated protein 1	-1.162	3.641
41536_at	ID4	inhibitor of DNA binding 4, HLH protein	-0.55	2.801
41540_at	PPP1R7	protein phosphatase 1 regulatory subunit 7	-0.339	3.203
41541_at	GUK1	guanylate kinase 1	0.679	5.151
41544_at	PLK2	polo like kinase 2	0.419	2.516
41552_g_at	RER1	retention in endoplasmic reticulum sorting receptor 1	-0.472	3.828
41555_at	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1	0.458	2.976
41558_s_at	GRAMD1B	GRAM domain containing 1B	0.888	7.828
41559_at	GRAMD1B	GRAM domain containing 1B	0.231	1.758
41562_at	COMMD3-BMI1///BMI1	COMMD3-BMI1 readthrough///BMI1 proto-oncogene, polycomb ring finger	-0.335	2.213
41564_at	TRPM1	transient receptor potential cation channel subfamily M member 1	0.471	3.601
41565_at	ATXN2L	ataxin 2 like	0.239	2.057
41566_at	TCF15	transcription factor 15 (basic helix-loop-helix)	0.607	3.793
41568_at	ARSD	arylsulfatase D	-0.253	2.649
41569_at	DNAJC9	DnaJ heat shock protein family (Hsp40) member C9	0.221	1.763
41574_at	PNN	pinin, desmosome associated protein	-0.638	3.191
41578_at	NHLH2	nescient helix-loop-helix 2	0.474	3.433
41583_at	FEN1	flap structure-specific endonuclease 1	0.266	2.217
41586_at	FGF18	fibroblast growth factor 18	0.613	5.27
41592_at	SOCS1	suppressor of cytokine signaling 1	0.434	3.771
41593_at	SOCS1	suppressor of cytokine signaling 1	0.517	5.068
41594_at	JAK1	Janus kinase 1	-0.443	1.917
41596_s_at	NAGLU	N-acetyl-alpha-glucosaminidase	-0.727	6.231
41597_s_at	LOC102724364///LOC100996517///SEC22B	vesicle-trafficking protein SEC22b-like///vesicle-trafficking protein SEC22b///SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)	-0.734	3.878
41601_at	ADAM17	ADAM metallopeptidase domain 17	0.529	2.78
41602_at	HPCA	hippocalcin	0.517	3.985
41603_at	TBL3	transducin beta like 3	0.378	4.967
41604_at	ANKRD46	ankyrin repeat domain 46	-1.568	10.94
41608_at	CRHBP	corticotropin releasing hormone binding protein	-0.681	4.694
41609_at	HLA-DMB	major histocompatibility complex, class II, DM beta	0.876	3.428
41612_at	ZNF264	zinc finger protein 264	-0.213	1.749
41613_at	TECPR2	tectonin beta-propeller repeat containing 2	0.479	4.677
41618_at	COL17A1	collagen type XVII alpha 1 chain	0.756	1.966
41619_at	IRF6	interferon regulatory factor 6	0.293	2.692
41633_at	SENP3	SUMO1/sentrin/SMT3 specific peptidase 3	-0.326	2.61
41634_at	SECISBP2L	SECIS binding protein 2 like	-1.099	7.203
41636_at	RAB11FIP3	RAB11 family interacting protein 3	0.61	3.795
41637_at	DEXI	Dexi homolog	-0.748	7.256
41642_at	LOC102725134	uncharacterized LOC102725134	-0.801	4.653
41645_at	PLA2G6	phospholipase A2 group VI	0.613	3.183
