ID	Gene.symbol	Gene.title	log2(fold change)(Stg2-Tumor vs Stg2-Normal)	-log10(Pvalue)(Stg2-Tumor vs Stg2-Normal)
203733_at	DEXI	Dexi homolog	-0.874	5.002
203739_at	ZNF217	zinc finger protein 217	1.005	3.335
203741_s_at	ADCY7	adenylate cyclase 7	1.793	3.843
203743_s_at	TDG	thymine DNA glycosylase	1.142	3.447
203747_at	AQP3	aquaporin 3 (Gill blood group)	-1.687	2.187
203753_at	TCF4	transcription factor 4	1.488	2.996
203755_at	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	2.339	3.796
203759_at	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	-1.235	2.234
203760_s_at	SLA	Src-like-adaptor	2.929	5.027
203761_at	SLA	Src-like-adaptor	1.694	4.964
203764_at	DLGAP5	DLG associated protein 5	2.502	2.921
203767_s_at	STS	steroid sulfatase (microsomal), isozyme S	1.823	4.339
203769_s_at	STS	steroid sulfatase (microsomal), isozyme S	1.942	3.89
203778_at	MANBA	mannosidase beta	0.595	2.291
203780_at	MPZL2	myelin protein zero like 2	1.894	5.491
203782_s_at	POLRMT	RNA polymerase mitochondrial	-0.632	2.711
203786_s_at	TPD52L1	tumor protein D52-like 1	-1.488	3.589
203790_s_at	RIDA	reactive intermediate imine deaminase A homolog	-1.598	4.292
203792_x_at	PCGF2	polycomb group ring finger 2	-1.003	4.427
203793_x_at	PCGF2	polycomb group ring finger 2	-0.907	3.578
203796_s_at	BCL7A	BCL tumor suppressor 7A	-1.361	3.979
203797_at	VSNL1	visinin like 1	-0.669	2.598
203799_at	LY75-CD302///CD302///LY75	LY75-CD302 readthrough///CD302 molecule///lymphocyte antigen 75	1.007	3.47
203803_at	PCYOX1	prenylcysteine oxidase 1	-1.924	6.082
203805_s_at	FANCA	Fanconi anemia complementation group A	1.709	3.396
203814_s_at	NQO2	NAD(P)H quinone dehydrogenase 2	-1.642	5.716
203817_at	GUCY1B3	guanylate cyclase 1 soluble subunit beta	1.694	6.281
203824_at	TSPAN8	tetraspanin 8	-1.866	2.5
203825_at	BRD3	bromodomain containing 3	-1.288	6.549
203828_s_at	IL32	interleukin 32	1.739	3.363
203832_at	SNRPF	small nuclear ribonucleoprotein polypeptide F	0.87	3.268
203839_s_at	TNK2	tyrosine kinase non receptor 2	1.77	3.085
203847_s_at	AKAP8	A-kinase anchoring protein 8	0.61	2.361
203848_at	AKAP8	A-kinase anchoring protein 8	0.868	2.451
203854_at	CFI	complement factor I	-0.857	2.183
203857_s_at	MIR7110///PDIA5	microRNA 7110///protein disulfide isomerase family A member 5	1.832	6.515
203859_s_at	PALM	paralemmin	-1.239	5.275
203860_at	PCCA	propionyl-CoA carboxylase alpha subunit	-1.997	4.83
203868_s_at	VCAM1	vascular cell adhesion molecule 1	1.468	5.765
203870_at	USP46	ubiquitin specific peptidase 46	-0.838	2.514
203878_s_at	MMP11	matrix metallopeptidase 11	1.12	3.03
203881_s_at	DMD	dystrophin	1.166	2.24
203883_s_at	RAB11FIP2	RAB11 family interacting protein 2	-0.782	3.158
203905_at	PARN	poly(A)-specific ribonuclease	0.612	2.676
203908_at	SLC4A4	solute carrier family 4 member 4	-1.339	3.69
203911_at	RAP1GAP	RAP1 GTPase activating protein	-2.136	5.219
203913_s_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	-3.229	4.452
203914_x_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	-2.714	6.046
203915_at	CXCL9	C-X-C motif chemokine ligand 9	1.741	3.184
203923_s_at	CYBB	cytochrome b-245 beta chain	1.287	2.631
203924_at	GSTA1	glutathione S-transferase alpha 1	-1.611	2.232
203927_at	NFKBIE	NFKB inhibitor epsilon	1.57	6.496
203928_x_at	MAPT	microtubule associated protein tau	-1.685	3.053
203932_at	HLA-DMB	major histocompatibility complex, class II, DM beta	1.46	3.968
203933_at	RAB11FIP3	RAB11 family interacting protein 3	-1.027	3.94
203936_s_at	MMP9	matrix metallopeptidase 9	1.007	2.407
203940_s_at	VASH1	vasohibin 1	2.696	4.078
203945_at	ARG2	arginase 2	-2.063	7.796
203946_s_at	ARG2	arginase 2	-3.663	8.127
203947_at	CSTF3	cleavage stimulation factor subunit 3	0.624	3.402
203956_at	MORC2	MORC family CW-type zinc finger 2	0.771	2.252
203959_s_at	ZBTB40	zinc finger and BTB domain containing 40	-1.443	3.407
203963_at	CA12	carbonic anhydrase 12	-1.245	3.832
203964_at	NMI	N-myc and STAT interactor	1.67	8.947
203965_at	USP20	ubiquitin specific peptidase 20	-1.524	2.588
203966_s_at	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A	-1.213	3.952
203970_s_at	PEX3	peroxisomal biogenesis factor 3	-0.491	2.049
203973_s_at	CEBPD	CCAAT/enhancer binding protein delta	0.822	2.034
203984_s_at	CASP9	caspase 9	-0.811	2.863
203997_at	PTPN3	protein tyrosine phosphatase, non-receptor type 3	-1.457	5.143
204000_at	GNB5	G protein subunit beta 5	-1.07	4.062
204007_at	FCGR3B	Fc fragment of IgG receptor IIIb	1.213	3.598
204014_at	DUSP4	dual specificity phosphatase 4	3.138	2.653
204015_s_at	DUSP4	dual specificity phosphatase 4	1.825	2.477
204016_at	LARS2	leucyl-tRNA synthetase 2, mitochondrial	-0.721	2.146
204019_s_at	SH3YL1	SH3 and SYLF domain containing 1	-1.266	3.125
204021_s_at	PURA	purine rich element binding protein A	-0.919	3.796
204023_at	RFC4	replication factor C subunit 4	1.077	3.711
204032_at	BCAR3	breast cancer anti-estrogen resistance 3	-1.161	3.484
204038_s_at	LPAR1	lysophosphatidic acid receptor 1	-0.946	3.329
204042_at	WASF3	WAS protein family member 3	-0.947	4.633
204044_at	QPRT	quinolinate phosphoribosyltransferase	-2.003	5.702
204053_x_at	PTEN	phosphatase and tensin homolog	0.714	2.647
204057_at	IRF8	interferon regulatory factor 8	1.391	2.046
204067_at	SUOX	sulfite oxidase	-1.289	5.52
204083_s_at	TPM2	tropomyosin 2 (beta)	1.703	3.8
204084_s_at	CLN5	ceroid-lipofuscinosis, neuronal 5	-1.026	3.379
204091_at	PDE6D	phosphodiesterase 6D	1.153	3.243
204092_s_at	AURKA	aurora kinase A	1.639	2.728
204094_s_at	TSC22D2	TSC22 domain family member 2	-0.844	2.522
204103_at	CCL4	C-C motif chemokine ligand 4	1.929	2.578
204115_at	GNG11	G protein subunit gamma 11	1.253	3.182
204118_at	CD48	CD48 molecule	1.278	4.011
204119_s_at	ADK	adenosine kinase	-0.849	2.908
204122_at	TYROBP	TYRO protein tyrosine kinase binding protein	2.857	8.255
204130_at	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2	-4.395	5.975
204132_s_at	FOXO3B///FOXO3	forkhead box O3B pseudogene///forkhead box O3	-0.757	2.916
204141_at	TUBB2A	tubulin beta 2A class IIa	-1.235	3.284
204146_at	RAD51AP1	RAD51 associated protein 1	1.933	2.402
204150_at	STAB1	stabilin 1	1.699	4.663
204153_s_at	MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	1.093	3.522
204155_s_at	SIK3	SIK family kinase 3	-0.925	3.108
204156_at	SIK3	SIK family kinase 3	-1.155	3.128
204157_s_at	SIK3	SIK family kinase 3	-0.913	3.498
204158_s_at	TCIRG1	T-cell immune regulator 1, ATPase H+ transporting V0 subunit a3	2.743	6.648
204159_at	CDKN2C	cyclin dependent kinase inhibitor 2C	1.101	2.074
204162_at	NDC80	NDC80, kinetochore complex component	4.068	6.072
204166_at	SBNO2	strawberry notch homolog 2	2.854	4.401
204167_at	BTD	biotinidase	-0.93	2.293
204172_at	CPOX	coproporphyrinogen oxidase	0.796	3.293
204174_at	ALOX5AP	arachidonate 5-lipoxygenase activating protein	1.983	4.517
204187_at	GMPR	guanosine monophosphate reductase	-2.22	5.205
204192_at	CD37	CD37 molecule	2.237	2.31
204194_at	BACH1	BTB domain and CNC homolog 1	1.296	2.074
204197_s_at	RUNX3	runt related transcription factor 3	1.109	2.08
204199_at	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1	-2.117	5.442
204201_s_at	PTPN13	protein tyrosine phosphatase, non-receptor type 13	-1.339	3.498
204212_at	ACOT8	acyl-CoA thioesterase 8	-0.718	2.872
204215_at	TMEM243	transmembrane protein 243	0.797	2.837
204218_at	ANAPC15	anaphase promoting complex subunit 15	-0.476	2.121
204220_at	GMFG	glia maturation factor gamma	2.663	6.181
204222_s_at	GLIPR1	GLI pathogenesis related 1	2.6	3.453
204223_at	PRELP	proline and arginine rich end leucine rich repeat protein	2.183	2.88
204224_s_at	GCH1	GTP cyclohydrolase 1	-1.832	6.323
204228_at	PPIH	peptidylprolyl isomerase H	1.195	3.405
204231_s_at	FAAH	fatty acid amide hydrolase	-1.269	5.496
204232_at	FCER1G	Fc fragment of IgE receptor Ig	1.745	5.858
204235_s_at	GULP1	GULP, engulfment adaptor PTB domain containing 1	-1.175	4.27
204238_s_at	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	-1.444	4.613
204245_s_at	RPP14	ribonuclease P/MRP subunit p14	-0.976	4.364
204253_s_at	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	-1.583	4.435
204254_s_at	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	-2.5	6.267
204255_s_at	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	-2.977	7.321
204260_at	CHGB	chromogranin B	-1.225	2.535
204261_s_at	PSEN2	presenilin 2	-1.842	2.765
204263_s_at	CPT2	carnitine palmitoyltransferase 2	-1.436	3.034
204266_s_at	CHKA	choline kinase alpha	-0.745	2.124
204268_at	S100A2	S100 calcium binding protein A2	-2.791	9.666
204279_at	PSMB9	proteasome subunit beta 9	2.183	6.699
204281_at	TEAD4	TEA domain transcription factor 4	1.99	3.213
204284_at	PPP1R3C	protein phosphatase 1 regulatory subunit 3C	2.383	6.953
204289_at	ALDH6A1	aldehyde dehydrogenase 6 family member A1	-3.417	5.004
204290_s_at	ALDH6A1	aldehyde dehydrogenase 6 family member A1	-4.549	12.396
204294_at	AMT	aminomethyltransferase	-1.263	5.111
204295_at	SURF1	surfeit 1	-0.791	2.546
204298_s_at	LOX	lysyl oxidase	3.05	3.492
204306_s_at	CD151	CD151 molecule (Raph blood group)	1.23	4.839
204308_s_at	TECPR2	tectonin beta-propeller repeat containing 2	-0.502	2.084
204311_at	ATP1B2	ATPase Na+/K+ transporting subunit beta 2	-2.169	5.154
204326_x_at	MT1X	metallothionein 1X	-2.185	4.278
204336_s_at	RGS19	regulator of G-protein signaling 19	0.92	2.807
204340_at	TMEM187	transmembrane protein 187	-1.24	2.506
204347_at	LOC100507855///AK4	adenylate kinase 4, mitochondrial-like///adenylate kinase 4	-1.239	3.707
204348_s_at	LOC100507855///AK4	adenylate kinase 4, mitochondrial-like///adenylate kinase 4	-1.284	5.587
204352_at	TRAF5	TNF receptor associated factor 5	0.841	2.689
204353_s_at	POT1	protection of telomeres 1	0.82	2.92
204354_at	POT1	protection of telomeres 1	0.63	2.051
204355_at	DHX30	DEAH-box helicase 30	-0.576	3.092
204356_at	LIMK1	LIM domain kinase 1	-1.937	2.787
204360_s_at	NAGLU	N-acetyl-alpha-glucosaminidase	-1.322	5.391
204379_s_at	FGFR3	fibroblast growth factor receptor 3	-1.654	2.4
204388_s_at	MAOA	monoamine oxidase A	-1.628	3.351
204389_at	MAOA	monoamine oxidase A	-1.785	5.145
204392_at	CAMK1	calcium/calmodulin dependent protein kinase I	0.646	2.316
204393_s_at	ACPP	acid phosphatase, prostate	-3.706	7.531
204394_at	SLC43A1	solute carrier family 43 member 1	-1.006	2.696
204396_s_at	GRK5	G protein-coupled receptor kinase 5	1.166	2.564
204412_s_at	NEFH	neurofilament heavy polypeptide	-2.12	2.882
204413_at	TRAF2	TNF receptor associated factor 2	1.879	3.468
204416_x_at	APOC1	apolipoprotein C1	4.484	4.565
204424_s_at	LMO3	LIM domain only 3	-1.231	3.194
204428_s_at	LCAT	lecithin-cholesterol acyltransferase	2.245	2.176
204436_at	PLEKHO2	pleckstrin homology domain containing O2	1.125	2.562
204437_s_at	FOLR1	folate receptor 1	-1.828	4.045
204439_at	IFI44L	interferon induced protein 44 like	2.473	2.031
204446_s_at	ALOX5	arachidonate 5-lipoxygenase	2.96	3.711
204447_at	LZTS3	leucine zipper tumor suppressor family member 3	-2.1	8.21
204451_at	FZD1	frizzled class receptor 1	1.282	2.97
204452_s_at	FZD1	frizzled class receptor 1	1.379	2.761
204454_at	LDOC1	leucine zipper down-regulated in cancer 1	-1.123	5.985
204457_s_at	GAS1	growth arrest specific 1	-3.865	5.37
204462_s_at	SLC16A2	solute carrier family 16 member 2	-1.354	4.782
204476_s_at	PC	pyruvate carboxylase	-2.612	6.118
204484_at	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	1.574	2.105
204485_s_at	TOM1L1	target of myb1 like 1 membrane trafficking protein	-0.644	2.11
204487_s_at	KCNQ1	potassium voltage-gated channel subfamily Q member 1	-3.216	4.466
204489_s_at	CD44	CD44 molecule (Indian blood group)	1.863	2.972
204490_s_at	CD44	CD44 molecule (Indian blood group)	1.212	3.437
204493_at	BID	BH3 interacting domain death agonist	1.973	2.763
204497_at	ADCY9	adenylate cyclase 9	-1.03	2.33
204501_at	NOV	nephroblastoma overexpressed	1.596	2.487
204502_at	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1	1.85	4.575
204504_s_at	HIRIP3	HIRA interacting protein 3	1.11	2.02
204509_at	CA12	carbonic anhydrase 12	-1.5	3.863
204510_at	CDC7	cell division cycle 7	1.482	4.427
204513_s_at	ELMO1	engulfment and cell motility 1	2.076	4.956
204519_s_at	PLLP	plasmolipin	-1.028	4.783
204524_at	LOC101060747///PDPK1	3-phosphoinositide-dependent protein kinase 1-like///3-phosphoinositide dependent protein kinase 1	-0.775	2.261
204533_at	CXCL10	C-X-C motif chemokine ligand 10	2.255	5.408
204535_s_at	REST	RE1 silencing transcription factor	-1.239	2.952
204537_s_at	MIR452///MIR224///GABRE	microRNA 452///microRNA 224///gamma-aminobutyric acid type A receptor epsilon subunit	1.816	3.48
204542_at	ST6GALNAC2	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	-2.307	5.168
204547_at	RAB40B	RAB40B, member RAS oncogene family	-1.249	4.792
204565_at	ACOT13	acyl-CoA thioesterase 13	-1.203	3.606
204566_at	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D	0.779	2.379
204567_s_at	ABCG1	ATP binding cassette subfamily G member 1	1.708	6.825
204571_x_at	PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4	-0.622	3.248
204573_at	CROT	carnitine O-octanoyltransferase	-1.303	5.576
204578_at	PPIP5K1	diphosphoinositol pentakisphosphate kinase 1	-1.799	3.476
204583_x_at	KLK3	kallikrein related peptidase 3	-1.61	2.775
204584_at	L1CAM	L1 cell adhesion molecule	-3.054	3.712
204585_s_at	L1CAM	L1 cell adhesion molecule	-2.803	4.893
204588_s_at	SLC7A7	solute carrier family 7 member 7	-2.516	5.422
204591_at	CHL1	cell adhesion molecule L1 like	-3.62	5.443
204608_at	ASL	argininosuccinate lyase	-0.838	4.026
204610_s_at	CCDC85B	coiled-coil domain containing 85B	1.245	2.149
204613_at	PLCG2	phospholipase C gamma 2	-1.328	5.07
204619_s_at	VCAN	versican	3.374	3.062
204620_s_at	VCAN	versican	3.304	5.263
204625_s_at	ITGB3	integrin subunit beta 3	-1.838	2.86
204626_s_at	ITGB3	integrin subunit beta 3	-1.196	2.596
204638_at	ACP5	acid phosphatase 5, tartrate resistant	-1.263	2.293
204639_at	ADA	adenosine deaminase	1.642	4.066
204641_at	NEK2	NIMA related kinase 2	3.045	3.153
204643_s_at	ENOX2	ecto-NOX disulfide-thiol exchanger 2	1.399	2.493
204653_at	TFAP2A	transcription factor AP-2 alpha	-1.964	6.407
204654_s_at	TFAP2A	transcription factor AP-2 alpha	-2.553	3.449
204655_at	CCL5	C-C motif chemokine ligand 5	1.645	2.434
204661_at	CD52	CD52 molecule	3.048	2.852
204669_s_at	RNF24	ring finger protein 24	3.028	4.018
204670_x_at	LOC100996809///HLA-DRB4///HLA-DRB1	HLA class II histocompatibility antigen, DRB1-10 beta chain-like///major histocompatibility complex, class II, DR beta 4///major histocompatibility complex, class II, DR beta 1	1.282	4.141
204677_at	CDH5	cadherin 5	1.686	2.591
204681_s_at	RAPGEF5	Rap guanine nucleotide exchange factor 5	1.592	3.188
204685_s_at	ATP2B2	ATPase plasma membrane Ca2+ transporting 2	2.822	2.918
204687_at	PARM1	prostate androgen-regulated mucin-like protein 1	-1.669	7.181
204689_at	HHEX	hematopoietically expressed homeobox	0.982	2.564
204694_at	AFP	alpha fetoprotein	-2.178	4.416
204698_at	ISG20	interferon stimulated exonuclease gene 20	2.625	2.78
204699_s_at	DIEXF	digestive organ expansion factor homolog (zebrafish)	1.172	2.544
204700_x_at	DIEXF	digestive organ expansion factor homolog (zebrafish)	0.862	3.635
204702_s_at	NFE2L3	nuclear factor, erythroid 2 like 3	1.42	2.756
204704_s_at	ALDOB	aldolase, fructose-bisphosphate B	-7.187	7.769
204705_x_at	ALDOB	aldolase, fructose-bisphosphate B	-5.788	7.726
204710_s_at	WIPI2	WD repeat domain, phosphoinositide interacting 2	-0.485	2.583
204717_s_at	SLC29A2	solute carrier family 29 member 2	-2.46	6.241
204719_at	ABCA8	ATP binding cassette subfamily A member 8	-1.996	2.485
204720_s_at	DNAJC6	DnaJ heat shock protein family (Hsp40) member C6	-1.519	4.041
204725_s_at	NCK1	NCK adaptor protein 1	1.318	6.547
204731_at	TGFBR3	transforming growth factor beta receptor 3	-2.297	5.748
204733_at	KLK6	kallikrein related peptidase 6	-1.593	4.274
204735_at	PDE4A	phosphodiesterase 4A	0.868	2.702
204740_at	CNKSR1	connector enhancer of kinase suppressor of Ras 1	-2.628	4.899
204743_at	TAGLN3	transgelin 3	-0.913	2.108
204745_x_at	MT1G	metallothionein 1G	-3	7.19
204747_at	IFIT3	interferon induced protein with tetratricopeptide repeats 3	0.821	2.337
204759_at	RCBTB2	RCC1 and BTB domain containing protein 2	1.067	3.24
204774_at	EVI2A	ecotropic viral integration site 2A	1.947	4.039
204777_s_at	MAL	mal, T-cell differentiation protein	-4.185	6.72
204780_s_at	FAS	Fas cell surface death receptor	1.746	4.869
204781_s_at	FAS	Fas cell surface death receptor	1.379	5.118
204786_s_at	IFNAR2	interferon alpha and beta receptor subunit 2	1.956	4.711
204787_at	VSIG4	V-set and immunoglobulin domain containing 4	1.321	3.91
204789_at	FMNL1	formin like 1	2.137	3.177
204795_at	PRR3	proline rich 3	2.256	3.533
204802_at	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator	2.709	5.78
204803_s_at	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator	2.158	3.706
204804_at	TRIM21	tripartite motif containing 21	0.658	2.448
204806_x_at	HLA-F	major histocompatibility complex, class I, F	1.738	4.751
204811_s_at	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2	-0.858	2.02
204813_at	MAPK10	mitogen-activated protein kinase 10	-0.787	4.393
204817_at	ESPL1	extra spindle pole bodies like 1, separase	-1.01	3.527
204820_s_at	BTN3A2///BTN3A3	butyrophilin subfamily 3 member A2///butyrophilin subfamily 3 member A3	2.337	7.691
204821_at	BTN3A3	butyrophilin subfamily 3 member A3	1.99	3.586
204822_at	TTK	TTK protein kinase	2.22	3.323
204825_at	MELK	maternal embryonic leucine zipper kinase	3.136	6.158
204828_at	RAD9A	RAD9 checkpoint clamp component A	0.577	2.617
204829_s_at	FOLR2	folate receptor beta	1.724	2.651
204830_x_at	PSG5	pregnancy specific beta-1-glycoprotein 5	-2.098	2.72
204833_at	ATG12	autophagy related 12	1.989	2.366
204836_at	GLDC	glycine decarboxylase	-2.655	3.828
204839_at	POP5	POP5 homolog, ribonuclease P/MRP subunit	-0.665	2.494
204842_x_at	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha	-1.013	4.212
204857_at	MAD1L1	MAD1 mitotic arrest deficient like 1	2.298	2.841
204858_s_at	TYMP	thymidine phosphorylase	1.581	4.501
204860_s_at	NAIP	NLR family apoptosis inhibitory protein	2.571	2.593
204862_s_at	NME3	NME/NM23 nucleoside diphosphate kinase 3	1.003	2.026
204867_at	GCHFR	GTP cyclohydrolase I feedback regulator	-1.229	4.662
204868_at	MRPL58	mitochondrial ribosomal protein L58	-0.421	2.179
204881_s_at	UGCG	UDP-glucose ceramide glucosyltransferase	0.626	3.127
204882_at	ARHGAP25	Rho GTPase activating protein 25	3.651	6.186
204890_s_at	LCK	LCK proto-oncogene, Src family tyrosine kinase	2.52	2.868
204893_s_at	ZFYVE9	zinc finger FYVE-type containing 9	-0.7	3.037
204900_x_at	SAP30	Sin3A associated protein 30	2.599	5.656
204908_s_at	MIR8085///BCL3	microRNA 8085///B-cell CLL/lymphoma 3	1.569	3.792
204912_at	IL10RA	interleukin 10 receptor subunit alpha	2.1	5.348
204915_s_at	SOX11	SRY-box 11	2.971	3.994
204924_at	TLR2	toll like receptor 2	3.507	4.982
204925_at	CTNS	cystinosin, lysosomal cystine transporter	-0.69	3.097
204929_s_at	VAMP5	vesicle associated membrane protein 5	1.123	2.551
204931_at	TCF21	transcription factor 21	-2.889	3.316
204934_s_at	HPN	hepsin	-0.668	3.572
204938_s_at	PLN	phospholamban	2.049	3.091
204946_s_at	TOP3A	topoisomerase (DNA) III alpha	-0.638	2.099
204950_at	CARD8	caspase recruitment domain family member 8	0.937	2.449
204951_at	RHOH	ras homolog family member H	2.108	2.617
204959_at	MNDA	myeloid cell nuclear differentiation antigen	3.246	6.657
204962_s_at	SLC35F6///CENPA	solute carrier family 35 member F6///centromere protein A	1.929	2.836
204963_at	SSPN	sarcospan	1.932	3.032
204964_s_at	SSPN	sarcospan	1.971	3.736
204965_at	GC	GC, vitamin D binding protein	-2.682	2.381
204967_at	SHROOM2	shroom family member 2	-0.608	2.608
204971_at	CSTA	cystatin A	2.169	4.901
204973_at	GJB1	gap junction protein beta 1	-1.741	6.359
204974_at	RAB3A	RAB3A, member RAS oncogene family	-1.844	2.754
204977_at	DDX10	DEAD-box helicase 10	-0.786	2.125
204985_s_at	TRAPPC6A	trafficking protein particle complex 6A	-0.795	3.511
204992_s_at	PFN2	profilin 2	-1.332	4.557
204997_at	GPD1	glycerol-3-phosphate dehydrogenase 1	-4.199	6.145
205003_at	DOCK4	dedicator of cytokinesis 4	1.255	5.081
205012_s_at	HAGH	hydroxyacylglutathione hydrolase	-1.362	6.377
205016_at	TGFA	transforming growth factor alpha	1.896	3.799
205020_s_at	ARL4A	ADP ribosylation factor like GTPase 4A	1.505	3.049
205027_s_at	MAP3K8	mitogen-activated protein kinase kinase kinase 8	1.739	3.53
205034_at	CCNE2	cyclin E2	1.386	2.242
205038_at	IKZF1	IKAROS family zinc finger 1	2.623	2.876
205047_s_at	ASNS	asparagine synthetase (glutamine-hydrolyzing)	1.008	2.307
205051_s_at	KIT	KIT proto-oncogene receptor tyrosine kinase	-0.81	2.388
205052_at	AUH	AU RNA binding methylglutaconyl-CoA hydratase	-1.55	4.72
205059_s_at	IDUA	iduronidase, alpha-L-	0.738	2.26
205066_s_at	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	-2.251	4.492
205073_at	CYP2J2	cytochrome P450 family 2 subfamily J member 2	4.147	3.518
205079_s_at	MPDZ	multiple PDZ domain crumbs cell polarity complex component	-0.843	2.259
205081_at	CRIP1	cysteine rich protein 1	2.015	2.473
205082_s_at	AOX1	aldehyde oxidase 1	-3.875	3.334
205083_at	AOX1	aldehyde oxidase 1	-2.67	3.369
205091_x_at	RECQL	RecQ like helicase	1.172	3.942
205093_at	PLEKHA6	pleckstrin homology domain containing A6	-2.06	2.143
205102_at	TMPRSS2	transmembrane protease, serine 2	-1.825	4.352
205103_at	C1orf61	chromosome 1 open reading frame 61	1.358	2.151
205106_at	CMC4///MTCP1	C-X9-C motif containing 4///mature T-cell proliferation 1	2.19	2.983
205112_at	PLCE1	phospholipase C epsilon 1	-1.174	2.234
205117_at	FGF1	fibroblast growth factor 1	-4.033	7.017
205123_s_at	MSANTD3-TMEFF1///TMEFF1	MSANTD3-TMEFF1 readthrough///transmembrane protein with EGF like and two follistatin like domains 1	2.434	2.324
205125_at	PLCD1	phospholipase C delta 1	-0.883	2.616
205126_at	VRK2	vaccinia related kinase 2	0.593	2.787
205128_x_at	PTGS1	prostaglandin-endoperoxide synthase 1	1.25	2.327
205153_s_at	CD40	CD40 molecule	1.497	3.465
205154_at	LRRN2	leucine rich repeat neuronal 2	-2.168	3.521
205155_s_at	SPTBN2	spectrin beta, non-erythrocytic 2	-3.711	5.67
205156_s_at	ASIC1	acid sensing ion channel subunit 1	-2.024	3.388
205159_at	CSF2RB	colony stimulating factor 2 receptor beta common subunit	1.474	5.576
205164_at	GCAT	glycine C-acetyltransferase	-2.579	2.746
205171_at	PTPN4	protein tyrosine phosphatase, non-receptor type 4	-0.675	2.175
205173_x_at	CD58	CD58 molecule	0.852	2.838
205177_at	TNNI1	troponin I1, slow skeletal type	-1.568	2.416
205189_s_at	FANCC	Fanconi anemia complementation group C	-0.457	2.3
205191_at	RP2	retinitis pigmentosa 2 (X-linked recessive)	1.288	2.229
205199_at	CA9	carbonic anhydrase 9	3.575	9.005
205201_at	GLI3	GLI family zinc finger 3	-0.968	3.704
205204_at	NMB	neuromedin B	1.165	3.154
205205_at	RELB	RELB proto-oncogene, NF-kB subunit	0.989	4.091
205208_at	ALDH1L1	aldehyde dehydrogenase 1 family member L1	-2.895	4.137
205209_at	ACVR1B	activin A receptor type 1B	-0.662	2.128
205210_at	TGFBRAP1	transforming growth factor beta receptor associated protein 1	1.918	2.675
205216_s_at	APOH	apolipoprotein H	-3.072	2.507
205221_at	HGD	homogentisate 1,2-dioxygenase	-1.371	3.418
205225_at	ESR1	estrogen receptor 1	-1.001	4.099
205229_s_at	COCH	cochlin	-1.896	3.401
205231_s_at	EPM2A	epilepsy, progressive myoclonus type 2A, Lafora disease (laforin)	-1.112	2.151
205233_s_at	PAFAH2	platelet activating factor acetylhydrolase 2	-2.483	3.325
205236_x_at	SOD3	superoxide dismutase 3, extracellular	-1.169	5.232
205243_at	SLC13A3	solute carrier family 13 member 3	-4.834	8.313
205244_s_at	SLC13A3	solute carrier family 13 member 3	-7.12	7.215
205245_at	PARD6A	par-6 family cell polarity regulator alpha	-0.831	2.123
205253_at	PBX1	PBX homeobox 1	-3.111	2.971
205258_at	INHBB	inhibin beta B subunit	3.367	2.939
205259_at	NR3C2	nuclear receptor subfamily 3 group C member 2	-1.906	3.176
205266_at	LIF	leukemia inhibitory factor	1.85	3.129
205269_at	LCP2	lymphocyte cytosolic protein 2	1.85	5.053
205270_s_at	LCP2	lymphocyte cytosolic protein 2	2.838	5.944
205281_s_at	PIGA	phosphatidylinositol glycan anchor biosynthesis class A	0.951	2.253
205285_s_at	FYB	FYN binding protein	2.041	3.326
205298_s_at	BTN2A2	butyrophilin subfamily 2 member A2	1.124	3.989
205301_s_at	OGG1	8-oxoguanine DNA glycosylase	-0.971	2.136
205311_at	DDC	dopa decarboxylase	-2.942	7.99
205312_at	SPI1	Spi-1 proto-oncogene	2.365	3.32
205316_at	SLC15A2	solute carrier family 15 member 2	-1.849	5.279
205317_s_at	SLC15A2	solute carrier family 15 member 2	-1.293	4.181
205319_at	PSCA	prostate stem cell antigen	-1.968	2.331
205325_at	PHYHIP	phytanoyl-CoA 2-hydroxylase interacting protein	-1.334	3.281
