ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)	log2(fold change)(AR vs TX)	-log10(Pvalue)(AR vs TX)	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)	log2(fold change)(AR vs NR)	-log10(Pvalue)(AR vs NR)
32893_s_at	LOC102724197///LOC100132705///GGT2///GGTLC1///GGTLC2///GGT3P///GGT1	inactive gamma-glutamyltranspeptidase 2-like///immunoglobulin superfamily member 3-like///gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 3 pseudogene///gamma-glutamyltransferase 1	1.167	3.357	-1.92	6.372	-0.753	1.974	-1.3	3.122
33121_g_at	RGS10	regulator of G-protein signaling 10	0.474	2.153	0.91	5.276	1.385	8.31	1.103	5.251
33238_at	LCK	LCK proto-oncogene, Src family tyrosine kinase	0.405	1.991	0.821	5.28	1.226	8.16	0.958	5.027
33243_at	TNFAIP8	TNF alpha induced protein 8	1.123	5.218	0.552	1.973	1.675	7.934	1.244	4.594
33280_r_at	ACSM3	acyl-CoA synthetase medium-chain family member 3	-0.617	3.979	-0.371	1.688	-0.989	6.373	-0.731	3.545
33313_g_at	LOC102724652///CRYAA	alpha-crystallin A chain///crystallin alpha A	1.515	6.67	-3.161	12.078	-1.646	5.736	-1.33	3.565
33339_g_at	STAT1	signal transducer and activator of transcription 1	1.112	3.156	1.373	4.061	2.484	7.885	1.911	4.84
33390_at	CD68	CD68 molecule	0.36	1.709	0.935	4.914	1.294	7.377	0.731	2.798
33418_at	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1	0.76	10.941	-0.343	3.985	0.417	4.944	0.34	3.039
33462_at	P2RY14	purinergic receptor P2Y14	0.733	1.532	0.886	2.215	1.619	4.531	1.418	3.037
33564_at	AFM	afamin	0.67	2.697	-3.082	12.551	-2.412	9.664	-1.511	4.628
33701_at	LOC101929036///PAH	uncharacterized LOC101929036///phenylalanine hydroxylase	0.802	1.703	-3.226	9.224	-2.423	6.942	-2.037	4.786
33721_at	ABCC2	ATP binding cassette subfamily C member 2	0.828	5.136	-1.855	10.719	-1.027	5.204	-1.272	5.882
33731_at	SLC7A7	solute carrier family 7 member 7	-0.402	1.743	-1.131	7.745	-1.533	10.082	-0.713	3.472
33805_at	CEP350	centrosomal protein 350	1.143	10.068	-0.537	3.804	0.606	4.102	0.527	2.717
33956_at	LY96	lymphocyte antigen 96	1.099	1.95	1.506	3.398	2.605	6.22	2.028	3.733
34167_s_at	SLC6A7	solute carrier family 6 member 7	0.269	3.063	0.226	2.191	0.495	6.177	0.344	3.114
34352_at	PCBD1	pterin-4 alpha-carbinolamine dehydratase 1	0.802	6.96	-1.387	11.229	-0.584	3.976	-0.793	4.976
34383_at	USP1	ubiquitin specific peptidase 1	1.034	7.491	-0.543	3.044	0.491	2.409	0.661	2.892
34397_at	LUC7L3	LUC7 like 3 pre-mRNA splicing factor	1.442	10.307	-0.438	2.191	1.004	6.185	0.801	3.749
34521_at	MAP3K13	mitogen-activated protein kinase kinase kinase 13	-0.23	1.53	-0.423	3.167	-0.653	5.623	-0.493	3.127
34586_s_at	DLX2	distal-less homeobox 2	-0.344	2.305	-0.307	1.824	-0.651	5.009	-0.549	3.234
34712_at	DNMBP	dynamin binding protein	-0.691	10.833	0.29	3.509	-0.401	5.285	-0.396	4.253
34830_at	VOPP1	vesicular, overexpressed in cancer, prosurvival protein 1	0.433	3.144	0.655	4.611	1.088	8.464	0.836	5.217
34930_at	GPR65	G protein-coupled receptor 65	1.041	2.088	0.948	2.302	1.989	5.105	1.477	2.908
34965_at	CST7	cystatin F	0.464	2.402	0.488	2.263	0.952	5.543	0.712	3.081
35009_at	LRP2	LDL receptor related protein 2	1.486	6.774	-2.547	10.742	-1.061	3.878	-1.125	3.485
35268_at	MARCH7	membrane associated ring-CH-type finger 7	1.068	8.451	-0.396	2.167	0.672	4.257	0.64	3.2
35275_at	CA12	carbonic anhydrase 12	0.76	1.66	-1.827	5.893	-1.067	3.007	-1.337	3.069
35310_at	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	0.424	3.58	0.52	4.548	0.944	8.899	0.769	5.882
35472_at	KCNJ15	potassium voltage-gated channel subfamily J member 15	1.075	3.984	-1.977	8.058	-0.902	3.16	-1.046	3.103
35518_at	PPP1R3A	protein phosphatase 1 regulatory subunit 3A	-0.476	2.634	-0.604	3.05	-1.08	6.577	-0.817	3.781
35735_at	GBP1	guanylate binding protein 1	2.07	5.148	1.065	2.071	3.135	7.631	2.371	4.627
35834_at	AZGP1	alpha-2-glycoprotein 1, zinc-binding	0.675	2.066	-1.97	7.995	-1.296	4.941	-1.248	3.842
35867_at	SLC22A2	solute carrier family 22 member 2	0.928	4.944	-1.693	8.938	-0.766	3.232	-1.049	4.14
35926_s_at	LYZ	lysozyme	2.441	6.817	1.464	2.576	3.905	8.794	2.363	4.377
35937_at	MICB	MHC class I polypeptide-related sequence B	0.874	2.158	0.74	1.828	1.614	4.819	1.386	3.175
36062_at	LPXN	leupaxin	0.441	2.107	0.545	2.748	0.986	5.802	0.885	4.103
