Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Growth hormone synthesis, secretion and action	4/119	2.670627588166924E-6	2.174653893221638E-5	0	0	53.158528428093646	682.1938708130642	AKT2;AKT3;AKT1;IGF1
Insulin signaling pathway	4/137	4.67912483779934E-6	3.556134876727498E-5	0	0	45.9224985540775	563.5792467320659	AKT2;AKT3;AKT1;SLC2A4
Signaling pathways regulating pluripotency of stem cells	4/143	5.547275260113903E-6	3.952433622831156E-5	0	0	43.92695074709463	531.6129056363916	AKT2;AKT3;AKT1;IGF1
Breast cancer	4/147	6.188753060560895E-6	4.1501049935526005E-5	0	0	42.68961807423346	511.96706703599034	AKT2;AKT3;AKT1;IGF1
Carbohydrate digestion and absorption	3/47	8.081391549845802E-6	5.118214648235675E-5	0	0	97.10551948051948	1138.6541242192163	AKT2;AKT3;AKT1
PI3K-Akt signaling pathway	5/354	8.771755928778543E-6	5.263053557267126E-5	0	0	23.440783190066856	272.9438594960938	AKT2;AKT3;AKT1;IGF1;SGK1
Alzheimer disease	5/369	1.072541511892663E-5	6.11348661778818E-5	0	0	22.457646520146522	256.98047733693096	PSMB5;AKT2;AKT3;PSMD3;AKT1
Regulation of lipolysis in adipocytes	3/55	1.3020489206058386E-5	7.068265569003124E-5	0	0	82.13324175824175	923.9157152932041	AKT2;AKT3;AKT1
Endometrial cancer	3/58	1.528981123223317E-5	7.922902183975369E-5	0	0	77.64155844155844	860.9147468531743	AKT2;AKT3;AKT1
VEGF signaling pathway	3/59	1.6100456261945033E-5	7.98022614722493E-5	0	0	76.25127551020408	841.5596270944254	AKT2;AKT3;AKT1
GnRH secretion	3/64	2.0580495288761118E-5	9.037696589846057E-5	0	0	69.98360655737704	755.2047689205707	AKT2;AKT3;AKT1
Focal adhesion	4/201	2.1267243129771688E-5	9.037696589846057E-5	0	0	30.903553299492387	332.4710124153352	AKT2;AKT3;AKT1;IGF1
Epstein-Barr virus infection	4/202	2.168556037080502E-5	9.037696589846057E-5	0	0	30.745920745920746	330.17625958843547	AKT2;AKT3;PSMD3;AKT1
Diabetic cardiomyopathy	4/203	2.2109905158735974E-5	9.037696589846057E-5	0	0	30.589872439118672	327.90767425480453	AKT2;AKT3;AKT1;SLC2A4
