Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
8P23 1 Copy Number Variation Syndrome WP5346	1/52	0.04330922824403911	0.05781835366600369	0	0	24.426470588235293	76.68420634351111	SLC2A4
Netrin UNC5B Signaling Pathway WP4747	1/52	0.04330922824403911	0.05781835366600369	0	0	24.426470588235293	76.68420634351111	AKT1
Cardiac Progenitor Differentiation WP2406	1/53	0.04412453306089756	0.05781835366600369	0	0	23.955528846153847	74.75896142380645	IGF1
Apoptosis Related Network Due To Altered Notch3 In Ovarian Cancer WP2864	1/53	0.04412453306089756	0.05781835366600369	0	0	23.955528846153847	74.75896142380645	AKT1
Kit Receptor Signaling Pathway WP304	1/53	0.04412453306089756	0.05781835366600369	0	0	23.955528846153847	74.75896142380645	AKT1
Notch Signaling Pathway WP61	1/54	0.04493918392504326	0.05808465949495387	0	0	23.50235849056604	72.91477862029602	AKT1
IL 1 Signaling Pathway WP195	1/54	0.04493918392504326	0.05808465949495387	0	0	23.50235849056604	72.91477862029602	AKT1
Oncostatin M Signaling Pathway WP2374	1/56	0.046566525769346376	0.059781350649836563	0	0	22.645454545454545	69.45074052559761	AKT1
Thyroid Stimulating Hormone TSH Signaling Pathway WP2032	1/58	0.0481912576899168	0.06145193933613551	0	0	21.848684210526315	66.25783142102262	AKT1
Modulators Of TCR Signaling And T Cell Activation WP5072	1/61	0.05062347055509756	0.06412306270312358	0	0	20.753125	61.91362721672603	AKT1
T Cell Antigen Receptor TCR Pathway During Staphylococcus Aureus Infection WP3863	1/62	0.05143290746308376	0.06471690343037029	0	0	20.41188524590164	60.57180179742927	AKT1
3Q29 Copy Number Variation Syndrome WP4906	1/63	0.05224169482431419	0.06487530729816796	0	0	20.081653225806452	59.278517093016504	AKT1
Lung Fibrosis WP3624	1/63	0.05224169482431419	0.06487530729816796	0	0	20.081653225806452	59.278517093016504	IGF1
Pathways Affected In Adenoid Cystic Carcinoma WP3651	1/65	0.05385732286437942	0.06644734639111748	0	0	19.4521484375	56.82783515327219	AKT1
AGE RAGE Pathway WP2324	1/66	0.054664164526580065	0.06657814910288597	0	0	19.151923076923076	55.66596287289847	AKT1
