ID,EntrezGeneID,GeneSymbol,GB_ACC,PROBE_DERIVED_FROM_TRANSCRIPT,SPOT_ID,RosettaGeneModelID,GENE_ID,GSM493540,GSM493541,GSM493542,GSM493543,GSM493544,GSM493545,GSM493546,GSM493547,GSM493548,GSM493549,GSM493550,GSM493551,GSM493552,GSM493553
100110909_TGI_at,80285,Parp9,NM_030253,NM_030253,,MMG00285929,80285,7.039657153088183,7.0729600569905005,6.924706820839049,7.090636459556559,7.143069894468094,7.399501815969428,7.439251612371218,7.210755102889021,7.249584711437741,7.449791626213444,7.420569140411441,7.269790586967786,7.525761955872288,7.378169115928595
100110910_TGI_at,30052,Pcsk1n,NM_013892,NM_013892,,MMG00219913,30052,4.323586240933045,4.442810828136015,4.218455711143018,4.341309770205438,4.23350464001073,4.499922403686057,4.088396047918954,4.369536278529472,4.213782746584585,4.1576581802963615,4.3650835880332455,4.237984290105667,4.310500088007769,4.575481764786069
100110911_TGI_at,13841,Epha7,NM_010141,NM_010141,,MMG00229317,13841,3.7049162182267246,3.762752756226597,3.832484990287604,3.7049162182267246,3.987993845341129,3.674460651560259,3.6070580256072304,3.8981502952020883,3.2561501773866555,3.850219348716995,3.9861014280394205,3.7159482665747374,4.072663214647268,4.118019114025975
100110912_TGI_at,192970,BC022224,NM_177564,NM_177564,,MMG00262903,192970,8.832512839319403,9.00894733875269,8.99390698096741,8.89631454041899,8.978664417955136,8.940382022585771,8.965505529051528,8.944873668970349,8.863874352615841,8.740625393589932,8.779173029974059,8.673071934609974,8.730734706081316,8.717757293965915
100110913_TGI_at,328953,,AK043399,AK043399,,MMG00292912,328953,3.9180617824140627,4.291669856830737,4.300138371144827,3.8849690473303196,4.36570653300703,4.734070086892207,4.292178046437573,4.364670476200094,4.533463676720404,4.207268173112029,4.394198569350808,4.379745709307952,4.471980789540932,4.1756443549773765
100110914_TGI_at,75588,2310074N15Rik,AK010155,AK010155,,MMG00235922,75588,5.369791001186531,5.502683848153449,5.381882063623922,5.3428071665814585,5.1978732525738245,5.382203800711417,5.318656684347136,5.293675795859198,5.28689592942392,5.365594562729151,5.583810890797614,5.532930940426557,5.30006147496287,5.053046152982174
100110915_TGI_at,544707,EG544707,BC082775,BC082775,,MMG00363451,544707,4.269317467044656,4.48862426094937,4.25168122609745,4.30626223972785,4.294583991861831,4.078370731898802,4.196984663529218,4.2500444433220625,4.277769070580301,4.330465181136861,4.344984685840223,4.323831196570373,4.341523270853157,4.54114928728077
100110916_TGI_at,13656,Egr4,NM_020596,NM_020596,,MMG00233100,13656,2.6503280089065036,2.7021699142799744,2.866729978741086,2.9289198164710095,2.8883438653747726,2.8478165584028443,2.8167225710013017,2.914966279165291,2.8680545588962034,2.590434351931216,2.719205349123955,2.720169000151831,2.7163324802879876,2.801634646227915
100110917_TGI_at,212139,Cc2d1a,NM_145970,NM_145970,,MMG00255583,212139,5.873210309300302,5.865315091559553,5.823382526800116,5.878411464773662,5.939327675696229,6.089565945065796,6.028051916964378,5.867323224695312,5.841922814875818,5.854097909279312,5.6738531861371175,5.819044788224364,5.808305241977804,5.770308419278141
100110918_TGI_at,72739,Zkscan3,NM_023685,NM_023685,,MMG00270204,72739,8.53236761487045,8.454757839406032,8.166368485698436,8.497594802822825,8.514036232573329,8.437338031210123,8.599382517116704,8.649150891073571,8.50114731226005,8.469801746076085,8.599361314937347,8.377450887223336,8.417428080759592,8.450889561106234
